@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gc_array_int NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gc_at_least_most NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE gc_max_min_int NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE gc_diffn NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,0,1,0,1,1,0,0,7,0,0.009346,0,0,1,0,2,9.036174,9.831307,2.344549,736,736,4,0.990654,525,20,23.358974,1.55882,9.831307,0.021092,2.325768,0,1.008075,0.991989,39,2.017946,36376,743,0,49,18,0.055556,327527.24224,36,1.684737,13.903096,4.134441,357.382494,1,4.950202,0,0.332005,36376,624726,22.435233,1.156939,0.067295,-0.27998,0.426521,1,840.815612,36376,1.357019,0,9.667125,0.278195
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,0,0,1,1,0,0,0,0,0,0,0,0,5,0,2,1,1,3.013487,5320,5320,2,0.527116,2,13,0.013072,41.464452,16.955944,0.638157,2.660689,0,1.132597,0.882927,377,3.696004,489501,1590,0,463,-1,-1,750881.760939,-1,2.403366,8.937602,0.4938,101.735662,-1,6.916152,0,-1,489501,1015648,4.694991,1.157256,0.076048,0.677524,-1,0,165.038674,-1,-1,5,1.858078,0.358603
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/09.dzn,1,0,1,0,1,0,0,0,0,0,0,0,0,81,0,1,1,1,5.101911,1944,1944,2,0.612583,2,9,0.028571,4.368694,7.924813,0.420737,4.125828,0,1.236579,0.808683,70,4.853027,243,821,0,0,0.125,8,4303.654687,1,1.570342,4.356688,1.317199,33.284213,1,11.353048,0,0.557489,82,8625,4.472188,1.094559,0,2.233054,0.196005,1,3.924022,82,0.310104,0,1.077443,0.644739
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/10.dzn,1,0,1,0,1,0,0,0,0,0,0,0,0,100,0,1,1,1,5.113291,2400,2400,2,0.610778,2,9,0.028571,4.813023,8.174926,0.412219,4.13503,0,1.236579,0.808683,70,4.776876,289,1001,0,0,-1,-1,5359.587557,-1,1.582794,4.355424,1.298467,35.369401,-1,11.41207,0,-1,101,10789,4.472308,1.092753,0,2.219026,-1,1,3.994447,-1,-1,0,1.074275,0.645376
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_05.dzn,1,0,0,1,1,0,0,0,0,13,0,13,0,5,0,0,1,1,2.887728,186,186,0,0.373938,2,6,0.5,2.193825,5.426265,0.860159,3.133144,0,0.921671,1.084986,26,3.572204,43,159,0.036827,153,1,1,534.923833,3,1.538291,2.939948,1.228753,122.09903,3,21.853786,0,0.637561,13.333333,1624,7.382977,1.77042,0.399478,-0.641651,1.038879,0,4.240209,40,0.619175,0,1.843849,0.482795
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.2.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.731959,122,122,5,0.005882,2,11,0.0625,0.176749,1.036885,0.00282,5.4,0,0.876289,1.141176,32,0.866431,7,49,0,1200,12,0.083333,178.042416,48,0.940475,8.216495,0.585543,50.807355,1,22.185567,0,0.270588,7,393,5.410631,1.365459,6.190722,-62.338349,0.211329,1,2.025773,7,1.594261,0,1.000217,0.172762
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_6.dzn,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.253497,24.253497,2.536707,1,1,0,1,20000001,153,5000000.25,0,24.253497,0,1.650071,0,1.537332,0.650478,4,1.396447,20000001,3201,0,80,40,0.025,26421667987.75,40,1.010351,76.185255,1.14605,994.393366,1,27.646361,0,0.336012,20000001,64020003201,40.019995,3.15605,0.024992,0.988051,0.394212,0,20000001,20000001,1.400096,0,24.253497,0.975041
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/6ShipsMixed.dzn,1,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,1,1,3.050366,5705,5705,0,0.520057,2,14,0.012903,42.614001,15.708376,0.624156,2.632529,0,1.158721,0.863021,391,-1,320401,1449,0,567,-1,-1,501114.408082,-1,2.529774,8.487969,0.52971,109.958634,-1,6.387386,0,-1,320401,685403,4.780798,-1,0.085637,0.62244,-1,0,102.436557,-1,-1,6,1.887802,0.355358
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/48_24_6.1.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.675258,122,122,5,0.005882,2,10,0.066667,0.176749,1.036885,0.00282,5.335294,0,0.876289,1.141176,30,0.866431,7,49,0,1200,12,0.083333,178.084504,48,0.943378,7.768041,0.585543,50.807355,1,22.072165,0,0.270588,7,393,5.345926,1.365459,6.190722,-62.353064,0.213892,1,2.025773,7,1.594261,0,1.000217,0.172555
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_5_20_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,5.028169,380,400,3,0.496674,2,31,0.285714,2.980295,6.716793,0.543924,5.54102,0,0.907445,1.101996,32,3.531697,901,287,0.004435,1105,45,0.022222,7824.569745,45,0.985038,7.672032,2.201125,207.469667,1,28.519115,0,0.515285,901,16166,21.105576,1.290285,2.263581,-21.747981,0.19888,0,32.527163,901,0.697864,44,3.27153,0.691978
benchmarks/2DBinPacking/2DLevelPacking.mzn_AND_benchmarks/2DBinPacking/class_10/Class10_40_3.dzn,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.253497,24.253497,2.536707,1,1,0,1,20000001,153,5000000.25,0,24.253497,0,1.650071,0,1.537332,0.650478,4,1.396447,20000001,3201,0,80,40,0.025,26421667987.75,40,1.010264,76.185255,1.14605,994.393366,1,27.64886,0,0.336013,20000001,64020003201,40.019995,3.156119,0.024992,0.988051,0.394212,0,20000001,20000001,1.400092,0,24.253497,0.975041
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.1.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.903846,130,130,5,0.005495,2,11,0.0625,0.170873,1.034101,0.00252,5.604396,0,0.875,1.142857,32,0.976799,7,53,0,1404,10.4,0.096154,190.128146,52,0.943644,8.096154,0.586577,54.807355,1,23.932692,0,0.274302,7,421,5.614326,1.371493,6.754808,-69.604392,0.203922,1,2.024038,7,1.58114,0,1.000187,0.166965
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_5_20_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,5.721461,510,530,3,0.497462,2,41,0.285714,3.193293,7.227985,0.557252,6.360406,0,0.899543,1.111675,42,3.50768,1101,367,0.003384,1905,55,0.018182,11492.003225,55,1.013187,8.611872,2.087748,251.682057,1,36.748858,0,0.52213,1101,24541,26.853431,1.360711,2.929985,-30.795077,0.174781,0,37.35312,1101,0.698235,54,3.397614,0.87669
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff59.dzn,1,0,1,0,1,1,0,0,10,0,0.012658,0,0,1,0,2,8.870365,9.475733,2.341869,771,771,4,0.987342,468,43,24.551724,1.004767,9.475733,0.015857,2.31519,0,1.011524,0.988608,29,1.955615,19189,781,0,32,1.181818,0.846154,265736.270936,26,1.311141,25.861716,3.905051,254.232599,1,4.09219,0,0.324505,19189,518909,21.621886,1.101121,0.042254,-0.090918,0.427009,1,664.416133,19189,1.361095,0,9.354814,0.290814
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.2.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.886256,133,133,6,0.005405,2,11,0.0625,0.169688,1.034101,0.0025,5.572973,0,0.876777,1.140541,32,0.864139,7,53,0,1404,13,0.076923,193.080697,52,0.953467,8.293839,0.581067,54.807355,1,23.668246,0,0.27027,7,427,5.582742,1.384803,6.658768,-68.613653,0.204656,1,2.023697,7,1.599277,0,1.000184,0.156565
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/52_26_6.3.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,5.093596,125,125,6,0.00565,2,11,0.060606,0.172904,1.034101,0.002555,5.841808,0,0.871921,1.146893,33,0.880599,7,53,0,1404,10.4,0.096154,185.012898,52,0.916728,8.714286,0.596019,54.807355,1,24.70936,0,0.282486,7,411,5.852019,1.349332,6.921182,-71.353348,0.196325,1,2.024631,7,1.550433,0,1.000193,0.168836
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_3_30_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,3.839858,192,222,3,0.494382,2,15,0.243243,2.372341,6.056708,0.511989,4.041199,0,0.950178,1.052434,37,3.392545,781,199,0.007491,321,39,0.025641,4831.942053,39,1.060765,5.996441,2.518395,180.909558,1,16.868327,0,0.521603,781,9144,12.247367,1.237546,1.24911,-9.288786,0.260426,0,32.540925,781,0.689417,38,3.147076,0.327089
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model20-3-5.dzn,1,0,0,1,1,0,5,0,0,5,0,0,0,5,0,0,1,2,3.74537,141,141,0,0.459016,2,13,0.153846,14.585228,3.139517,0.28431,2.652459,0,1.412037,0.708197,13,2.90504,100016,76,0.016393,40,10,0.1,100180.902564,10,0.754759,8.884259,0.943064,48.76049,1,9.574074,0,0.53278,100016,100546,3.738665,1.144968,0.189815,1.108782,0.266996,0,465.490741,100016,0.4602,0,1.306239,0.378627
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model30-4-6.dzn,1,0,0,1,1,0,8,0,0,8,0,0,0,5,0,0,1,2,4.808656,313,313,0,0.392157,2,18,0.153846,20.828948,2.978127,0.358875,2.58701,0,1.85877,0.53799,16,3.038005,240025,127,0.009804,60,16,0.0625,240323.637296,16,0.753422,11.881549,0.993058,92.321928,1,12.984055,0,0.606333,240025,241169,3.944882,1.444957,0.138952,1.481071,0.207958,0,549.359909,240025,0.319896,0,1.378036,0.394721
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_5_3_20_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,4.27003,250,270,3,0.495177,2,21,0.285714,2.663326,6.210112,0.524348,4.62701,0,0.922849,1.083601,27,3.564783,701,207,0.006431,505,35,0.028571,4514.982966,35,0.954104,6.72997,2.287016,163.18438,1,20.189911,0,0.50823,701,8891,15.1888,1.199419,1.557864,-12.818364,0.23419,0,26.382789,701,0.692972,34,3.085834,0.470745
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model50-4-4.dzn,1,0,0,1,1,0,10,0,0,10,0,0,0,5,0,0,1,2,5.153846,591,591,0,0.425532,2,18,0.090909,27.021675,3.307478,0.390604,2.708511,0,1.902834,0.525532,22,3.116492,300041,151,0.007092,100,20,0.05,300533.366234,20,0.675835,13.25776,0.84223,168.681367,1,23.465587,0,0.695121,300041,302051,4.492383,1.92759,0.136302,1.376153,0.19403,0,407.626181,300041,0.290794,0,1.477287,0.243394
mznc12-problems/league/league.mzn_AND_mznc12-problems/league/model55-3-12.dzn,1,0,0,1,1,0,11,0,0,11,0,0,0,5,0,0,1,2,4.660752,705,705,0,0.425676,2,17,0.083333,30.584922,3.443816,0.408632,2.742629,0,1.699374,0.588452,24,2.97219,220045,254,0.006757,110,22,0.045455,220741.082234,22,0.997887,11.681628,0.654813,192.853702,1,16.279749,0,0.70576,220045,222564,4.65896,2.072155,0.115866,1.196414,0.214558,0,232.321503,220045,0.340301,0,1.501355,0.354253
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/hard_01.dzn,1,0,0,1,1,0,0,0,0,4,0,4,0,5,0,0,1,1,2.955836,191,191,0,0.460317,2,6,0.5,2.460887,6.129283,0.777129,2.478836,0,1.192429,0.838624,27,3.10533,70,67,0.010582,130,1.25,0.8,521.496187,5,1.690173,4.444795,1.207826,178.232075,5,12.700315,0,0.404373,17.5,2397,7.389592,1.314011,0.410095,-1.055595,1.691569,0,7.561514,65,0.927016,0,2.582405,0.35433
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/hard_03.dzn,1,0,0,1,1,0,0,0,0,12,0,12,0,5,0,0,1,1,2.69391,337,337,0,0.373134,2,6,0.5,2.803522,6.209453,0.835597,2.508955,0,1.073718,0.931343,35,3.517595,74,140,0.01791,252,0.6,1.666667,903.404984,3,1.924432,3.753205,1.227816,165.817427,3,13.346154,0,0.409185,23.333333,3476,6.831665,1.692347,0.403846,-1.275732,1.113623,0,5.570513,70,0.977403,0,2.207584,0.522964
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/11.dzn,1,0,1,0,1,0,0,0,0,0,0,0,0,121,0,1,1,1,5.122236,2904,2904,2,0.60929,2,9,0.028571,5.26117,8.405141,0.404559,4.142573,0,1.236486,0.808743,70,4.704956,339,1199,0,0,-1,-1,6546.180317,-1,1.592371,4.354423,1.283072,37.414795,-1,11.46683,0,-1,122,13239,4.472285,1.090971,0,2.207318,-1,1,4.066032,-1,-1,0,1.071664,0.645889
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.15.dzn,1,0,1,0,1,1,0,0,0,0,0,0,0,100,0,1,1,2,3.219451,226,226,2,0.81982,2,24,1,10.606967,19.507593,0.493897,2.326126,0,1.38404,0.722523,10,3.631813,2850001,201,0,69,-1,0,4320992.766667,5,0.476541,10.209476,2.603237,117.045556,1,4.294264,0,0.510616,2850001,5868121,16.148415,0.507939,0.187032,0.93785,0.310612,1,14633.718204,2850001,0.576686,0,7.049724,0.442342
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_7_5_30_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,6.02439,530,560,3,0.497623,2,41,0.285714,3.369892,7.520102,0.559529,6.654517,0,0.905308,1.104596,42,3.464376,1301,407,0.00317,2245,65,0.015385,20327.272533,65,1.023917,8.404591,2.15475,295.846038,1,38.470588,0,0.523843,1301,42151,28.892785,1.374427,3.263989,-35.221114,0.165992,0,60.474892,1301,0.701704,64,3.595807,0.878094
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m12_10_20.dzn,1,0,1,0,2,0,0,0,0,0,0,0,0,1451,0,2,7.179909,15.354835,2.351576,2642,2642,2,1,145,35,10.357143,8.002356,11.184066,0.020927,3.310974,0,0.710237,1.407981,14,1.666144,112230,4093,0,144,-1,0,471733.071429,2,0.850788,17.040557,1.610349,93.338818,1,10.353286,0,0.147815,112230,896279,24.681079,1.2359,0.035671,0.677107,0.425247,1,218.9785,112230,1.388628,0,7.557873,0.508349
mznc12-problems/train/train.mzn_AND_mznc12-problems/train/instance.2.dzn,1,0,1,0,1,1,0,0,0,0,0,0,0,100,0,1,1,2,3.201995,226,226,2,0.817518,2,24,1,10.606967,19.507593,0.497307,2.343066,0,1.366584,0.731752,9,3.592593,2850001,201,0,69,-1,0,4321097.358333,5,0.476541,10.209476,2.558131,117.045556,1,4.294264,0,0.503134,2850001,5868121,16.224959,0.501762,0.187032,0.892744,0.312305,1,14633.718204,2850001,0.577955,0,7.010044,0.442342
