@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC

@DATA
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0352,0.1715,0,0,25.094
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.0264,0.1023,0.2348,0,0,30.13
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.2279,0,0.3612,0.0055,0.897,59.106
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,1.3838,1.2435,2.2425,0.1402,0.0774,11.18
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.8863,0.9001,0.8177,0.1159,0.087,19.239
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.1199,0.3387,0.2092,0,0,17.346
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,1.0531,1.1831,1.2688,0.6215,0.3246,93.951
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0817,0.1006,0.2166,0,0,46.051
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.2874,0.2941,0.3663,0.0148,0,21.551
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,1.6796,2.2849,2.1075,1.0977,0.2421,5.5053
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,2.8301,4.4289,4.1397,0.003,0.2303,4.7206
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0,0,0,0.037,0.9833,0
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.2745,0.5915,0.3694,0,0.6731,15.273
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.2907,0.5971,0.384,0,0.6285,15.845
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0,0.1827,0,0.0175,26.922
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0751,0.0961,0.2261,0,0,43.682
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0,0.0352,0.1691,0,0,42.762
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.3167,0.6398,0.4768,0,0.6948,25.853
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.0325,0.0977,0.2433,0,0,34.104
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.965,1.1086,1.2945,0.1306,0.1968,15.45
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.0273,0,0.2996,0,0,26.756
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.7991,4.7326,5.6617,0.6018,0.9903,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0835,0.0988,0.2274,0,0,41.808
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,1.3286,1.2324,2.4745,0.1283,0.0848,11.352
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.2746,0.2773,0.3849,0.0026,0,23.566
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,1.3887,1.1824,2.3,0.1389,0.0809,12.154
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.2918,0.2523,0.4208,0.1154,0.951,25.611
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.262,0,0.3466,0.0013,0.9495,234.68
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0352,0.1599,0,0,25.496
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,2.4033,3.6777,2.8305,0.0299,0.9229,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,0.2917,0.2884,0.3976,0.0076,0,33.923
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v500-c2130-S9113894-047.SATISFIABLE.cnf,1,0.2746,0.2784,0.4011,0.0076,0,26.772
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1492329924-074.cnf,1,0.0153,0.102,0.2331,0,0,24.055
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_9_all.cnf,1,0.3677,0.4995,0.446,0,0.7132,24.108
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray02_32.cnf,1,0.4531,0.1969,0.3157,0.3226,0.3412,8.7391
SAT_RACE2008/cmu-bmc-longmult15.cnf,1,0.9753,1.179,1.259,1.3653,0.1273,32.196
SAT_RACE2008/schup-l2s-motst-2-k315.cnf,1,1.2043,1.2442,1.2849,1.5823,0.1924,0
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.7561,0.8045,0.9456,0.6937,0.6633,0
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/60/unif-k7-r89-v60-c5340-S1858385213-060.cnf,1,0,0.038,0.1361,0,0,22.455
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v40000-c168000-S845438593-067-UNKNOWN.cnf,1,0.2962,0.2922,0.4002,0.0071,0,33
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/2000/unif-k3-r4.2-v2000-c8400-S1442480583-017.cnf,1,0.2883,0.2879,0.3833,0.0044,0,28.208
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S2035161427-020.cnf,1,0.2883,0.291,0.4144,0.0067,0,24.779
SAT_Competition2009/CRAFTED/sgi/sgi-difficult7.cnf,1,0,0.1473,0.1713,0.0258,0.9792,0
SAT_RACE2008/goldb-heqc-alu4mul.cnf,1,2.2483,3.6102,3.3286,0.0024,0.2303,18.329
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-10-5p0.cnf,1,0.6419,0.7045,0.8682,0.6673,0.6039,20.435
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v250-c1065-S931339469-052.UNKNOWN.cnf,1,0.2769,0.2855,0.3872,0.0057,0,16.041
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s12930489-sat.cnf,1,0.0315,0,0.3372,0,0.8333,24.071
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_12_2_4_fbc.cnf,1,0.2362,2.1932,2.1078,0.0004,0.318,33.571
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/480/unif-k3-r4.25-v480-c2040-S1002348653-090.cnf,1,0.2816,0.2862,0.3967,0.0034,0,24.212
SAT_Competition2007/random/OnTreshold/3SAT/v600/unif-k3-r4.261-v600-c2556-S1104692480-03.SAT.shuffled.cnf,1,0.3057,0.3072,0.4039,0.0075,0,30.757
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1317485140-08.UNSAT.shuffled.cnf,1,0.009,0.0861,0.1958,0,0,18.991
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.2101,0.2241,0.2128,0.0236,0.9299,40.101
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,1,0,0,0,0,0,0
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.5111,0.5444,0.5373,0.6035,0.5856,0
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0.0257,0.0121,0.1899,0,0,35.074
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_34.cnf,1,0.0747,0.0034,0.0035,0,0.3937,35.966
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v1375c111739g6.cnf,1,0.1641,0.1472,0.1396,0.0125,0.9416,53
SAT_RACE2006/SAT-Race_TS_2/hoons-vbmc-s04-07.cnf,1,1.5269,1.552,2.0137,1.54,0.1826,24.152
SAT_RACE2008/ibm-2002-30r-k85.cnf,1,0.7488,0.9596,1.0149,0.3169,0.6204,9.9467
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-c6n.cnf,1,1.1417,1.2354,1.3564,1.4322,0.133,11.095
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-09.cnf,1,2.354,3.3786,2.4764,0.0265,0.8296,0
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-240-2.shuffled-as.sat05-2519.cnf,1,0.1169,0.2691,0.2099,0,0,4.7791
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.0252,0,0.3902,0,0.8333,29.071
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1286605994-07-SAT.cnf,1,0.4341,0.4002,0.4872,0.1584,0.2572,24.596
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S418266958-049.cnf,1,0.264,0.2696,0.3662,0.0035,0,22.287
SAT-Race-2010-CNF/software-verification/nec/hard-12-U-7061.cnf,1,2.3827,2.717,1.7805,1.7476,0.4172,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-24.cnf,1,1.8082,1.3478,1.994,0.3577,0.1576,14.258
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.1199,0.3387,0.2092,0,0,17.346
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S906020180-093.cnf,1,0.2864,0.2832,0.3949,0.0068,0,31.057
SAT-Race-2010-CNF/cryptography/md5gen/gus-md5-07.cnf,1,0.4568,0.586,0.5355,0.3875,0.0616,5.0588
SAT_Competition2011/SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.4914,0.5241,0.4105,2.2089,0.816,0
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_fb_unknown.cnf,1,1.1167,1.5018,2.3847,0.0045,0.0691,0
SAT_Competition2009/RANDOM/MEDIUM/7SAT/UNKNOWN/60/unif-k7-r89-v60-c5340-S1772751287-054.cnf,1,0,0.0378,0.1373,0,0,22.461
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/560/unif-k3-r4.25-v560-c2380-S45592023-054.cnf,1,0.2932,0.2977,0.4013,0.0042,0,28.886
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl008.sat05-2720.reshuffled-07.cnf,1,1.5253,4.1778,2.5595,0.1882,0.0933,10.537
SAT_Competition2011/SAT09/CRAFTED/edgematching/compact/em_12_2_4_cmp.cnf,1,0.2403,2.2842,2.2415,0.0006,0.1112,12.912
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v945c61409gyes5.cnf,1,0.2234,0.2208,0.2065,0.0202,0.9349,54.714
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n800-d0.02-s925928766.sat05-538.reshuffled-07.cnf,1,0.3308,0.3858,0.514,0.0204,0,41.73
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,1,0.7623,3.3383,4.0093,0.1326,0.9876,0
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf,1,0.0909,0,0.2818,0,0,18.939
SAT_Competition2007/crafted/Hard/contest05/others/mod2c-rand3bip-sat-220-1.sat05-2488.reshuffled-07.cnf,1,0.1214,0.2983,0.2136,0,0,4.8478
SAT_Competition2007/random/LargeSize/3SAT/v19000/unif-k3-r4.2-v19000-c79800-S1330787624-15.cnf,1,0.2931,0.2897,0.403,0.0064,0,36.231
SAT_RACE2008/velev-fvp-sat-3.0-b18.cnf,1,1.8787,1.1802,1.2442,0.0142,0.4972,6
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1910317962-059.UNKNOWN.cnf,1,0.2783,0.2819,0.3999,0.0105,0,24.872
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/desgen/gss-17-s100.cnf,1,0.7572,0.8034,0.9445,0.6921,0.6627,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-7x6.cnf,1,0,0,0,0.1212,0.0909,0
SAT_Competition2007/random/OnTreshold/5SAT/v90/unif-k5-r21.3-v90-c1917-S1282416669-17.SAT.shuffled.cnf,1,0.0101,0.0882,0.2488,0,0,20.947
SAT_Competition2007/industrial/industrial/anbulagan/diag-sat/dated-10-19-s.cnf,1,0.6174,0.622,0.5613,1.5799,0.542,0
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,1,0,0.1782,0.4383,0.0128,0.9738,55
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/90/unif-k5-r21.3-v90-c1917-S845966893-046.cnf,1,0.0111,0.0928,0.2088,0,0,21.25
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-ukn002.sat05-3842.reshuffled-07.cnf,1,1.3969,1.2917,2.393,0.1072,0.075,14.231
SAT_Competition2011/SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.5197,0.5124,0.5014,0.7468,0.0807,5.1929
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-180-100.cnf,1,0.0225,0,0,0,0.8333,31.874
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes8.cnf,1,0.1627,0.1338,0.1321,0.0177,0.9258,42.334
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0.069,0.1053,0.4635,0,0,16.721
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_443.cnf,1,0.0021,0.2403,0.357,0,0.0112,41.05
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-g7nidw.cnf,1,1.1611,1.2239,1.4553,1.335,0.1379,8.388
SAT_Competition2011/SAT09/CRAFTED/parity-games/instance_n8_i8_pp_ci_ce.cnf,1,1.3877,1.7537,2.012,0.0713,0.1575,17.229
SAT_Competition2009/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,1,0.8088,0.9094,1.0783,0.1548,0.235,0
SAT_RACE2006/SAT-Race_TS_1/grieu-vmpc-s05-24s.cnf,1,0.086,0.0058,0.2364,0,0.3914,35.845
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-12-07-08.sat05-1251.reshuffled-07.cnf,1,0.453,0.7001,0.7891,0.0045,0.063,24.037
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,1.4523,1.6275,1.7789,0.5577,0.1544,26.532
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.3976,0.9092,0.8985,0.2145,0.0371,8.6826
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1339293988-069.cnf,1,0.2714,0.2797,0.381,0.0059,0,23.332
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libmsrpc_vc1225336-tseitin.cnf,1,2.8496,2.9341,2.9475,1.8173,0.2605,2.9375
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v400-c1704-S1409021001-079.UNKNOWN.cnf,1,0.2846,0.2917,0.3861,0.0071,0,21.364
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S446351158-079.SATISFIABLE.cnf,1,0.0167,0.0831,0.2176,0,0,26.719
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,1.2345,3.5238,4.0806,0.0099,0.0943,23.529
SAT_RACE2008/simon-s02b-r4b1k1.1.cnf,1,0.5486,1.552,1.6283,0.0399,0.7751,30.632
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-4-4_511.cnf,1,0.2773,0.3019,0.3019,0,0,27.964
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/90/unif-k5-r21.3-v90-c1917-S824721511-001.cnf,1,0.0092,0.0836,0.217,0,0,20.726
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_14_7_3_fbc.cnf,1,0.2462,2.7444,2.3832,0,0.3425,37.75
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S45173584-020.cnf,1,0.0849,0.102,0.241,0,0,47.38
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S445910413-047.cnf,1,0,0.0386,0.1293,0,0,23.527
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,1.4777,1.806,1.2668,1.6362,0.1794,18.623
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-9x13.cnf,1,0,0,0,0.0404,0.0303,33.9
SAT_Competition2011/SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.4883,0.6085,0.5909,0.7748,0.0718,5.3143
SAT_Competition2007/random/OnTreshold/3SAT/v550/unif-k3-r4.26-v550-c2343-S1456038697-16.SAT.shuffled.cnf,1,0.2773,0.2806,0.3871,0.0117,0,28.444
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-ukn003.sat05-2726.reshuffled-07.cnf,1,1.51,3.9971,2.6098,0.2406,0.083,11.445
SAT_Competition2011/SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.6964,0.4774,0.3093,0.1342,0.0101,24.437
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-sat-1.0-b7.cnf,1,4.3846,6.9937,6.718,0.0053,0.9264,0
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.0159,0,0,0,0.9356,171.32
SAT_RACE2006/SAT-Race-Benchmarks/mizh-md5-48-2.cnf,1,0.4882,0.6084,0.5909,0.7751,0.0718,5.363
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl016.cnf,1,0.753,0.7969,0.8751,0.6367,0.3237,115.87
SAT_Competition2007/crafted/Hard/contest05/counting-php/easier-php-035-029.sat05-1179.reshuffled-07.cnf,1,0.3219,0,0.329,0.002,0.9329,177.77
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.0246,0,0.3081,0,0.8333,32.405
SAT_Competition2009/CRAFTED/edgematching/compact/em_7_4_9_cmp.cnf,1,0.315,0.8909,0.8768,0,0.2355,13.54
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v40000-c168000-S471691933-060-UNKNOWN.cnf,1,0.2933,0.29,0.4007,0.0059,0,26.5
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/380/unif-k3-r4.25-v380-c1615-S502087726-095.cnf,1,0.2805,0.2824,0.3713,0.0069,0,21.372
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_s.cnf,1,1.4628,3.4009,4.1381,0.9456,0.1883,15.847
