@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC

@DATA
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125,4998,0.090828,3041,589,0.520317
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986,13732,0.12517,7349,1185.666667,0.508913
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482,8796,0,7543,7543,0.581874
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526,25906,0.049117,14383,155.347826,0.515498
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705,2082,0.018382,1761,41.97561,0.564706
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119,8668,0.050611,5509,67.024691,0.5274
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149,6298,0.046998,4185,40.86,0.527745
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899,57332,0.049839,29335,201.317241,0.50619
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961,24442,0.049241,13241,89.69863,0.509098
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266,71893,0.054378,35747,152.424893,0.502997
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591,7254,0.04504,4665,41.807339,0.520087
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247,0.016249,1855,55.242424,0.551117
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669,0.045244,13063,133.680412,0.510326
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522,0.029851,2079,34.254237,0.543881
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801,0.049673,13395,90.753425,0.508017
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733,0.055938,24405,127.452632,0.505901
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741,0.037623,2273,25.137931,0.537077
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159,0.057064,49565,142.669565,0.500587
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307,0.073596,2737,652,0.514998
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324,0.05735,5389,59.561798,0.524501
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089,0.053099,29297,189.246753,0.505029
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939,0.050238,4551,37.576271,0.51707
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851,0.061688,13923,70.040816,0.505452
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335,6553,0.054383,4341,37.767857,0.526159
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.440566,24069,0.064824,13065,69.247312,0.51017
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.676058,72483,0.06941,35991,120.185185,0.503655
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.748267,119519,0.070741,57835,154.892183,0.501827
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.681284,76800,0.057153,38037,147.007782,0.503088
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.588671,2714,0.045529,2295,20.06422,0.53401
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.155031,9204,0.055619,5715,34.067485,0.513884
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.792484,144924,0.066565,69243,141.184805,0.499798
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.542839,17857,0.115635,9349,1513.166667,0.503302
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.220938,7796,0,7183,7183,0.599495
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1.359384,1880,0.021311,1689,38.302326,0.57623
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,2.536948,51067,0.072795,26483,138.389474,0.508388
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.716683,4211,0.053165,3099,45.268657,0.54358
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.346722,1901,0.015498,1693,57.413793,0.583605
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.40303,22353,0.064094,12277,68.761364,0.51154
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.931449,5917,0.059011,3997,35.678899,0.528422
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.523114,2337,0.053035,2055,16.878261,0.542173
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.095219,7839,0.067691,4999,28.069767,0.516708
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,2.675102,34830,0.151751,17347,2118.5,0.501541
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1.637125,4028,0.037722,3103,62.346939,0.523387
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,2.306727,21383,0.050159,12115,123.907216,0.505741
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,2.485384,41053,0.052765,21723,167.403101,0.50273
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.448062,41223,0.059641,22055,172.669291,0.505357
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.207306,12724,0.051531,7583,61.677686,0.50721
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,2.596324,50824,0.05711,25949,121.985782,0.500827
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,1.992324,8020,0.064395,5211,55.043011,0.522971
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.581318,60868,0.085862,31143,133.822511,0.505087
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,2.298831,14386,0.060657,8299,51.866242,0.508233
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.637466,55453,0.068674,27967,101.072993,0.501852
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.688829,75190,0.069886,37211,117.888179,0.500977
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.72763,97951,0.070803,47799,134.795455,0.500329
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.757931,123736,0.071521,59731,151.767263,0.49983
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.375499,1869,0.04318,1755,22.413333,0.547215
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.933718,5862,0.059374,3983,34.571429,0.52257
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.602547,48482,0.075033,24735,94.138462,0.504025
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.12507,8481,0.058414,5341,32.3875,0.510661
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,2.649269,52551,0.067441,26479,82.009404,0.501297
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,2.736275,51396,0.133358,25045,2735.666667,0.499912
BLOCKS3i.5.3-shuffled,1,12.594406,1989,0.049447,286,141,0.44018
BLOCKS3ii.5.2-shuffled,1,9.592199,2044,0.052826,282,139,0.494644
BLOCKS3iii.5-shuffled,1,4.996094,1679,0.077929,256,126,0.413624
BLOCKS4ii.7.2-shuffled,1,13.602186,12262,0.117033,915,454,0.354157
BLOCKS4iii.7-shuffled,1,7.433918,10635,0.155799,855,424,0.251172
blocks_enc_2_b3_ser--opt-9_-shuffled,1,9.261161,4472,0.074396,448,222,0.466005
blocks_enc_2_b4_ser--opt-26_-shuffled,1,11.868551,54618,0.103973,3043,1518,0.309172
c1_BMC_p1_k2048-shuffled,1,2.816883,4602842,0.033579,2202778,1101387,0.790047
c1_BMC_p2_k1024-shuffled,1,2.913312,2302874,0.066083,1112282,556139,0.77792
c1_BMC_p2_k128-shuffled,1,4.088913,290402,0.431892,158098,79047,0.641429
c1_BMC_p2_k8-shuffled,1,5.669493,41747,0.783066,28659,14328,0.448856
c2_Debug_s5_f1_e1_v3-shuffled,1,16.391092,38731,2.874489,64348,21446,0.101979
c3_BMC_p1_k256-shuffled,1,4.03651,73224,0.323326,49931,24963.5,0.634249
c3_BMC_p2_k1024-shuffled,1,3.30486,290808,0.091591,184091,92043.5,0.714365
c3_BMC_p2_k2048-shuffled,1,3.170664,580920,0.046834,362971,181483.5,0.729838
c3_BMC_p2_k512-shuffled,1,3.562171,145752,0.175399,94651,47323.5,0.68539
c3_Debug_s3_f2_e2_v2-shuffled,1,5.093693,3118513,0.007205,578132,289060.5,0.025715
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.630282,1057,0.015983,568,278,0.638638
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.630931,1058,0.015961,569,278.5,0.639139
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.709949,1146,0.001289,593,296,0.640232
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.710438,1147,0.001288,594,296.5,0.641339
C499.blif_0.10_0.20_0_0_inp_exact,1,3.147903,1780,0.015643,906,89.4,0.754791
C499.blif_0.10_0.20_0_0_out_exact,1,3.201671,1644,0.013372,838,413,0.749687
C499.blif_0.10_0.20_0_1_out_exact,1,3.202864,1644,0.013372,838,413,0.749687
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.231803,1786,0.001547,893,446,0.7471
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,3.237345,1778,0.001552,889,444,0.746315
c4_BMC_p1_k1024-shuffled,1,2.914502,24622,0.071273,16784,8390,0.712275
c4_BMC_p1_k2048-shuffled,1,2.818157,49198,0.036263,33232,16614,0.724213
c4_BMC_p1_k512-shuffled,1,3.101519,12334,0.137783,8560,4278,0.689598
c4_BMC_p2_k2048-shuffled,1,2.818157,49198,0.036263,33232,16614,0.724213
c4_Debug_s3_f1_e1_v3-shuffled,1,76.384183,1388,5.989524,50325,25156.5,0.001866
c4_Debug_s3_f1_e2_v3-shuffled,1,76.384362,1387,5.989524,50325,25156.5,0.001868
c4_Debug_s3_f2_e1_v3-shuffled,1,8.395476,623110,0.078323,54375,27181.5,0.106721
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,2.71348,11468,0.028519,5497,337.5,0.592788
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.734222,11137,0.027762,5324,2614.5,0.585606
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,2.71335,11469,0.028515,5498,337.5625,0.592775
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.734085,11138,0.027758,5325,2615,0.585594
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.774924,11925,0.000131,5607,2802.5,0.585095
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.775201,11921,0.000131,5605,2801.5,0.584986
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.775103,11924,0.000131,5607,2802.5,0.585161
c5_BMC_p1_k32-shuffled,1,5.344273,53822,0.664117,32939,16467.5,0.537325
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.950388,9458,0.006184,4636,2285,0.374071
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.966653,9667,0.003172,4708,2337,0.375505
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.96666,9668,0.003171,4709,2337.5,0.375595
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.971214,9554,0.003203,4655,2310.5,0.373353
c6_BMC_p1_k1024-shuffled,1,3.008792,290614,0.031982,135692,67844,0.755096
c6_BMC_p1_k256-shuffled,1,3.288294,72790,0.122244,34940,17468,0.722999
c6_BMC_p2_k128-shuffled,1,3.636599,36486,0.230815,18148,9072,0.684392
c6_BMC_p2_k2048-shuffled,1,2.960571,581046,0.016116,270028,135012,0.760738
c6_BMC_p2_k64-shuffled,1,4.260562,18334,0.415195,9752,4874,0.618828
C880.blif_0.10_0.20_0_0_inp_exact,1,2.601338,2055,0.010212,1046,93.636364,0.58888
C880.blif_0.10_0.20_0_0_out_exact,1,2.632066,1903,0.008857,973,479.5,0.572866
C880.blif_0.10_0.20_0_1_inp_exact,1,2.602294,2054,0.010212,1046,93.636364,0.589259
C880.blif_0.10_0.20_0_1_out_exact,1,2.632066,1903,0.008857,973,479.5,0.572866
C880.blif_0.10_1.00_0_0_inp_exact,1,2.629159,2022,0.009195,1022,504.5,0.58046
C880.blif_0.10_1.00_0_0_out_exact,1,2.643505,1960,0.009419,993,490,0.571821
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.644512,1959,0.009419,993,490,0.572214
CHAIN23v.24-shuffled,1,3.391185,18076,0.004679,3290,1633.5,0.380257
cmu.dme1.B-f2,1,2.450287,1882,0.160359,1046,469,0.533359
cmu.dme1.B-f3,1,2.529248,3308,0.114317,1795,816.5,0.523128
cmu.dme1.B-f4-shuffled,1,2.559605,4890,0.092999,2634,1209,0.517799
cmu.dme2.B-f2,1,2.548363,2404,0.140765,1313,601.5,0.513449
cmu.periodic.N-d2-shuffled,1,2.904467,9867,0.088237,5014,2475,0.448053
cmu.periodic.N-d4-shuffled,1,2.924205,22521,0.108695,11386,5629,0.446944
cmu.periodic.N-f4-shuffled,1,2.928948,24028,0.109459,12146,6009,0.447843
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,3.045161,562,0.01083,310,76.5,0.677497
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.133987,564,0.001188,306,152.5,0.665083
connect_5x4_3_R-shuffled,1,6.991061,1332,0.045291,5034,453.090909,0.772453
connect_5x4_4_W-shuffled,1,6.52113,1332,0.055098,4354,391.272727,0.777199
connect_6x5_4_D-shuffled,1,7.385425,2713,0.046359,9976,617.875,0.786262
connect_6x5_5_R-shuffled,1,6.803644,2713,0.055915,8836,546.625,0.783869
connect_7x6_4_R-shuffled,1,7.986378,4970,0.041609,19968,900.954545,0.791489
connect_7x6_6_W-shuffled,1,7.023348,4970,0.057258,16104,725.318182,0.788304
connect_8x7_3_D-shuffled,1,8.168013,8415,0.036135,40116,1375.586207,0.77845
connect_8x7_7_D-shuffled,1,7.191417,8415,0.057716,27124,927.586207,0.791676
connect_9x8_3_R-shuffled,1,8.366279,13408,0.03483,66766,1795.72973,0.779291
connect_9x8_6_D-shuffled,1,8.634693,13408,0.042567,50782,1363.72973,0.810841
connect_9x8_8_D-shuffled,1,7.329745,13408,0.058431,43006,1153.567568,0.794156
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,3.080319,4105,0.30233,1631,143.1,0.285054
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,3.086983,4105,0.300926,1621,142.6,0.283615
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,3.073068,4120,0.304902,1656,145.1,0.290753
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,3.090068,4110,0.300623,1621,142.6,0.284335
