@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC

@DATA
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,75031,75600,154.5,0.0001,68.1287,0.0003,66.5833,92.6154,0.0004,77.8333,1371.43,308.067,3863,0,17527,3808.6,3804,12,3309.43,0.2391,5,3840,0.0002,0.0002,3760,3874,0.3044,4,8.2292,8,6,0.0002,0.001,10,0,0.048,0.0005,21,0.0288,0,0.2632,0.441,0.0934,0.0955,0.2336,0.0799,0.0001,18000,0.0089,5.2043,0.0003,0.1258,6,0.2896,0.3951,0.2932,1.0179,0.7172,0.1772,0.0653,0.206,0.0862,0.1632,3.3695
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,6675,6675,27.5001,0.0111,26.9495,0.0933,26.958,27.5001,0.0111,26.9979,9.5164,8.9854,13,10,75,12.8971,13,4559,12.8651,0.6746,4325,16,0.0933,0.0933,10,16,0.7539,4325,4432.6,4376,4360,0.0933,0.0111,4543,0.0851,0,0.105,4559,0,0,0.0122,0.1987,0.0001,1.8009,0.0112,0.0001,0.0057,75,0.1978,2,0.0085,0.0001,2,0.0409,0.0619,0,2.0542,1.0035,0.0001,0,0.0184,0.0046,0,2.0191
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,2343,2343,25.37,0.0431,24.9022,0.0455,25.1176,25.37,0.0456,25.1631,9.8923,8.9041,22,17,110,21.9807,22,4378,21.9356,0.5592,4158,27,0.0455,0.0455,18,27,0.7097,4158,4253.875,4249,4202,0.0455,0.0465,4374,0.0359,0.001,0.0563,4378,0.0007,0,0.0146,0.1622,0.0017,1.1428,0.0469,0.0015,0.0088,110,0.1619,2.8257,0.0132,0.0021,3,0.0908,0.1611,0.0164,1.5687,0.8271,0.0031,0,0.0761,0.0236,0,2.859
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,2744,2769,38.434,0.0036,34.658,0.0079,33.687,38.434,0.0095,38.332,20.4265,16.5324,140,129,633,140.333,140,4067,140.408,0.31,3595,152,0.0048,0.0048,130,152,0.5247,3595,3772.7143,3736,3618,0.0047,0.0197,3919,0.0018,0.0486,0.0095,4067,0.0285,0,0.0717,0.0634,0.0945,0.2998,0.2307,0.082,0.0024,650,0.0619,4.0047,0.0062,0.1212,5,0.2888,0.4073,0.289,0.8944,0.7108,0.1878,0.0641,0.2271,0.0959,0.1482,3.3261
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,2130,2130,24.2114,0.0441,23.2729,0.05,23.5079,24.2114,0.046,23.6589,8.7154,7.8161,20,16,100,20.0942,20,4446,20.1016,0.5668,4231,25,0.05,0.05,16,24,0.7094,4231,4300.75,4286,4264,0.05,0.0465,4349,0.0376,0.001,0.0629,4446,0.0006,0,0.0228,0.1681,0.0019,1.2102,0.0469,0.0016,0.0101,100,0.1683,2.6364,0.0164,0.0025,3,0.1016,0.1768,0.0113,1.617,0.8473,0.0034,0,0.0696,0.0326,0,2.9781
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,8079,9344,44.001,0.0001,39.2389,0.0035,40.6912,44.001,0.0024,41.842,45.5847,37.1889,537,515,2574,538.215,539,2918,536.403,0.2236,1096,557,0.0012,0.0012,517,561,0.5327,955,1845,2126,1281,0.0008,0.0092,2169,0.0001,0.1031,0.0045,2918,0.058,0.2498,0.0978,0.0649,0.1819,0.1169,0.3186,0.1673,0.0005,3500,0.0293,5.5196,0.002,0.242,6,0.4184,0.4306,0.4475,0.5798,1.3895,0.3079,0.2736,0.2253,0.0906,1.1403,3.0603
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,2662,2662,29.0253,0.0432,27.8081,0.04,28.073,29.0253,0.0451,28.9496,10.7963,9.6553,25,20,125,24.8788,25,4304,24.9176,0.5531,4148,30,0.04,0.04,20,30,0.7022,4148,4201.375,4173,4165,0.04,0.0466,4304,0.0319,0.0009,0.0511,4304,0.0006,0,0.0311,0.1513,0.0017,1.0912,0.047,0.0014,0.0074,125,0.1521,2.9839,0.0113,0.0022,3,0.0945,0.1537,0.0178,1.5481,0.8293,0.0032,0,0.0657,0.0255,0,2.7843
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,6230,6230,25.9134,0.0111,25.6207,0.1,25.6413,25.9134,0.0111,25.862,8.9636,8.6014,12,9,70,12.0504,12,4583,12.0581,0.6792,4338,15,0.1,0.1,9,15,0.761,4338,4443.8333,4430,4386,0.1,0.0111,4521,0.0928,0,0.1085,4583,0,0,0.0083,0.2096,0.0001,1.8262,0.0112,0.0001,0.0065,70,0.2112,2,0.0087,0.0001,2,0.0362,0.0452,0,2.0366,1.0111,0.0001,0,0.0191,0.0102,0,1.729
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,18700,18700,60.3274,0.0117,48.776,0.0318,48.4732,50.9048,0.0117,49.6291,19.5931,20.0629,36,30,220,36,36,550,36.0753,0.6297,259,42,0.0318,0.0318,30,42,0.7456,247,457.0714,355,299,0.0318,0.0117,421,0.0281,0.0001,0.0355,2254,0.0001,0,0.062,0.1407,0.0001,1.225,0.0118,0.0001,0.002,220,0.1352,2,0.0029,0.0001,2,0.0397,0.061,0,1.5636,1.0069,0.0001,0,0.0221,0.0093,0,2.0229
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,2114,2125,31.9698,0.0043,28.3464,0.0102,27.8221,31.9698,0.0123,30.8476,17.4766,14.3831,108,98,488,107.542,107,3969,107.667,0.3184,3771,117,0.0062,0.0062,98,117,0.5791,3771,3844.8571,3811,3799,0.0061,0.0274,3911,0.0024,0.0446,0.0142,3969,0.0261,0,0.0752,0.0707,0.091,0.3382,0.2308,0.0764,0.003,500,0.0704,4,0.0066,0.1234,4,0.2975,0.3954,0.2937,0.9304,0.6891,0.173,0.0756,0.2089,0.0886,0.1626,3.3971
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,2538,2556,38.2884,0.0016,32.6051,0.0086,32.0491,38.2884,0.0104,34.4952,22.0558,17.357,128,118,582,127.932,128,3921,128.049,0.3103,3647,139,0.0052,0.0052,117,138,0.5324,3647,3788.875,3791,3753,0.0052,0.0217,3869,0.0008,0.044,0.0106,3921,0.0246,0,0.0766,0.0668,0.0864,0.3031,0.2293,0.0753,0.0026,600,0.0655,4.0155,0.0071,0.1167,5,0.2931,0.3869,0.2921,0.905,0.7418,0.159,0.0716,0.1986,0.0853,0.1974,3.3563
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,2202,2210,33.8667,0.0045,29.3443,0.0078,28.6012,33.8667,0.0117,31.4653,18.3676,14.8412,113,104,512,113.096,113,4148,113.286,0.3195,3797,123,0.0059,0.0059,103,124,0.5657,3797,3883.625,3839,3822,0.0059,0.0213,3965,0.0023,0.0431,0.0109,4148,0.0273,0,0.071,0.0704,0.0899,0.3267,0.2325,0.0741,0.0029,520,0.0692,4,0.0073,0.1202,4,0.2769,0.3885,0.2741,0.925,0.6933,0.1735,0.055,0.2009,0.081,0.1299,3.2966
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,18000,18000,69.4286,0.0136,54.4229,0.0056,53.4894,62.2881,0.0179,58.2034,50.1095,40.7395,172,159,900,172.177,172,65,172.208,0.4784,36,187,0.0056,0.0056,158,185,0.6069,31,51.3645,49,44,0.0056,0.0228,56,0.0038,0.0016,0.0075,104,0.0011,0,0.096,0.0758,0.0027,0.3585,0.05,0.0023,0.001,900,0.0657,3,0.002,0.0034,3,0.0984,0.1681,0.0799,1.0624,0.8331,0.0049,0,0.0722,0.0272,0,3.0119
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,1908,1917,28.8118,0.0052,26.5055,0.0113,26.3316,28.8118,0.0136,27.5872,15.3263,12.4421,98,89,441,97.9555,98,4060,97.9801,0.3284,3808,107,0.0069,0.0069,89,107,0.5753,3808,3902.375,3904,3854,0.0068,0.0309,3987,0.0026,0.0451,0.0157,4060,0.03,0,0.0435,0.0758,0.0897,0.3555,0.2311,0.0794,0.0032,450,0.0736,4,0.0079,0.1202,4,0.2808,0.4044,0.2776,0.9408,0.7246,0.1698,0.0625,0.2014,0.0958,0.1533,3.3313
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,2549,2556,38.0201,0.0024,32.2866,0.0068,31.4923,38.0201,0.01,35.5898,23.1834,18.656,130,120,591,130.654,131,3989,130.431,0.3072,3664,142,0.0051,0.0051,120,141,0.541,3664,3772.625,3744,3711,0.0051,0.0188,3842,0.0012,0.0425,0.0098,3989,0.028,0,0.086,0.0665,0.0859,0.3087,0.2319,0.072,0.0025,600,0.0685,4.0051,0.0067,0.1142,5,0.2694,0.3856,0.267,0.9123,0.6435,0.1626,0.0391,0.2012,0.0803,0.0742,3.3194
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,6230,26.2427,0.0111,25.8818,0.1,25.9741,26.2427,0.0111,26.2046,8.7181,8.4534,12,9,70,12.1367,12,4607,12.0972,0.6794,4395,15,0.1,0.1,9,15,0.756,4395,4457.8333,4447,4400,0.1,0.0111,4496,0.0894,0,0.1104,4607,0,0,0.0115,0.2057,0.0001,1.829,0.0112,0.0001,0.0069,70,0.2043,2,0.0095,0.0001,2,0.0393,0.0679,0,2.0192,1.0028,0.0001,0,0.0245,0.0105,0,2.1293
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,50088,50400,85.875,0.0001,54.4317,0.0005,53.3846,68.6364,0.0005,60.0357,437.2,228,2554.5,0,11696,2546.45,2547,20,2299.5,0.2346,8,2577,0.0003,0.0003,2504,2599,0.3125,6,13.8674,13,10,0.0003,0.0016,16,0,0.0469,0.0008,39,0.0277,0,0.1951,0.3519,0.0918,0.1443,0.2335,0.0781,0.0001,12000,0.0136,5.0194,0.0004,0.1224,6,0.2894,0.3934,0.2928,0.6772,0.7113,0.1776,0.0646,0.2061,0.0855,0.1579,3.3565
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,15300,15300,54.9692,0.0117,53.6173,0.0389,54.8552,54.9692,0.0117,54.9692,16.5683,16.5455,29,25,180,29.6766,29,4373,29.7098,0.6357,3968,35,0.0389,0.0389,24,35,0.7355,3968,4134,4162,4033,0.0389,0.0117,4373,0.0349,0.0001,0.0429,4373,0.0001,0,0.0247,0.1443,0.0001,1.3247,0.0118,0.0001,0.0026,180,0.1413,2,0.0036,0.0001,2,0.0398,0.0672,0,1.6327,1.0093,0.0002,0,0.0284,0.0117,0,2.1181
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,5785,5785,24.6635,0.0111,24.193,0.1077,24.2122,24.6635,0.0111,24.2336,8.5152,8.0183,11,8,65,11.2707,11,4588,11.2868,0.6863,4397,14,0.1077,0.1077,8,14,0.7661,4397,4477.5,4509,4406,0.1077,0.0111,4516,0.0984,0,0.12,4588,0,0,0.0098,0.2107,0.0001,1.8678,0.0112,0.0001,0.0067,65,0.2108,2,0.0086,0.0001,2,0.0429,0.0547,0,2.1171,0.9999,0.0001,0,0.0175,0.0095,0,1.9119
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,16683,16800,50.5474,0.0005,39.2148,0.0015,38.88,43.561,0.0016,42.1509,110.587,73.313,853,819,3902,849.574,851,77,851.661,0.2563,42,876,0.0008,0.0008,816,877,0.373,37,59.5468,55,49,0.0008,0.0041,66,0.0002,0.0469,0.002,150,0.0279,0,0.0933,0.0246,0.093,0.1132,0.2339,0.0803,0.0004,4000,0.0264,4.9991,0.0013,0.1256,5,0.2851,0.3953,0.288,0.6525,0.7135,0.1766,0.0641,0.2098,0.093,0.1574,3.3423
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1295462378-089.cnf,1,15300,15300,54.9991,0.0117,53.7805,0.0389,54.1639,54.9991,0.0117,54.9991,16.4436,16.9709,30,25,180,29.7648,30,4419,29.971,0.6311,3972,35,0.0389,0.0389,25,36,0.7295,3972,4143.75,4186,3998,0.0389,0.0117,4419,0.0352,0.0001,0.0435,4419,0.0001,0,0.0164,0.1517,0.0001,1.3475,0.0118,0.0001,0.0024,180,0.1445,2,0.0037,0.0001,2,0.0397,0.0632,0,1.6255,0.9983,0.0002,0,0.0257,0.0081,0,2.0782
