@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC

@DATA
aim-50-3_4-yes1-3-90-shuffled,1,2.485714,607,0.363506,280,115,0.50431,0.669231,0.599078,171,0.85554,230,351,0.74318,525,1.752874,1736
aim-50-6_0-yes1-3-50-shuffled,1,2.851259,1093,0.358974,437,193.5,0.513622,0.669533,0.59897,295,0.797017,387,641,0.694966,953,1.757212,3107
aim-50-6_0-yes1-4-90-shuffled,1,2.965686,1062,0.371594,408,179,0.500413,0.667402,0.599735,299,0.798859,358,606,0.687417,912,1.749794,3023
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125,4998,0.090828,3041,589,0.520317,0.750112,0.571392,2231,0.952201,2945,3483,0.981912,4462,2.151479,15618
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986,13732,0.12517,7349,1185.666667,0.508913,0.750041,0.571415,6114,0.922197,7114,9335,0.960935,12228,2.08292,42799
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482,8796,0,7543,7543,0.581874,0.700244,0.588151,3443,1,7543,6581,1,6886,2.217683,25082
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526,25906,0.049117,14383,155.347826,0.515498,0.74272,0.573816,11213,0.963607,14292,17695,0.979254,22608,2.213716,79360
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705,2082,0.018382,1761,41.97561,0.564706,0.731461,0.577547,841,1.006642,1721,1536,1.01022,1762,2.229412,6164
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119,8668,0.050611,5509,67.024691,0.5274,0.74122,0.57431,3689,0.970108,5429,6044,0.988316,7538,2.200349,26376
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149,6298,0.046998,4185,40.86,0.527745,0.748054,0.572065,2689,0.982551,4086,4413,0.999795,5576,2.215977,19316
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899,57332,0.049839,29335,201.317241,0.50619,0.746325,0.572631,25121,0.961788,29191,38595,0.976981,50530,2.221992,177018
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961,24442,0.049241,13241,89.69863,0.509098,0.74823,0.572007,10681,0.968192,13096,16563,0.984829,21652,2.223643,75548
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266,71893,0.054378,35747,152.424893,0.502997,0.749035,0.571744,31663,0.959496,35515,48174,0.976333,63790,2.218494,222890
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591,7254,0.04504,4665,41.807339,0.520087,0.749726,0.571518,3121,0.983865,4557,5023,1.00012,6458,2.224891,22358
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247,0.016249,1855,55.242424,0.551117,0.733505,0.576866,927,1.00303,1823,1628,1.007755,1918,2.244414,6726
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669,0.045244,13063,133.680412,0.510326,0.745358,0.572948,10319,0.96807,12967,16062,0.982813,20830,2.227045,72942
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522,0.029851,2079,34.254237,0.543881,0.747278,0.572319,1059,1.001986,2021,1822,1.009332,2234,2.239403,7702
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801,0.049673,13395,90.753425,0.508017,0.749283,0.571663,10875,0.967741,13250,16793,0.984369,22040,2.225375,76846
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733,0.055938,24405,127.452632,0.505901,0.749142,0.571709,20983,0.959344,24216,32151,0.977007,42344,2.214753,147862
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741,0.037623,2273,25.137931,0.537077,0.759106,0.568471,1165,1.005576,2187,1970,1.014811,2502,2.242094,8500
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159,0.057064,49565,142.669565,0.500587,0.750953,0.571117,45193,0.957699,49221,68214,0.975313,91074,2.217513,317728
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307,0.073596,2737,652,0.514998,0.750131,0.571386,1911,0.983254,2608,2953,1.005844,3822,2.185909,13378
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324,0.05735,5389,59.561798,0.524501,0.739896,0.574747,3529,0.965835,5301,5780,0.986183,7234,2.182214,25312
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089,0.053099,29297,189.246753,0.505029,0.745819,0.572797,24993,0.95924,29144,38358,0.975292,50292,2.214083,176230
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939,0.050238,4551,37.576271,0.51707,0.749346,0.571642,2977,0.981778,4434,4786,0.999629,6188,2.211322,21398
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851,0.061688,13923,70.040816,0.505452,0.749694,0.571528,11313,0.960356,13728,17428,0.981097,23016,2.200348,80122
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335,6553,0.054383,4341,37.767857,0.526159,0.748263,0.571996,2797,0.977902,4230,4586,0.996613,5816,2.200321,20126
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.440566,24069,0.064824,13065,69.247312,0.51017,0.749201,0.57169,10505,0.957736,12880,16354,0.979433,21380,2.192725,74446
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.676058,72483,0.06941,35991,120.185185,0.503655,0.749572,0.571568,31907,0.948155,35695,48646,0.96962,64406,2.188702,224806
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.748267,119519,0.070741,57835,154.892183,0.501827,0.749675,0.571535,52735,0.945298,57465,79934,0.966478,106210,2.187449,370966
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.681284,76800,0.057153,38037,147.007782,0.503088,0.749009,0.571752,33825,0.957323,37781,51486,0.974896,68162,2.212761,238152
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.588671,2714,0.045529,2295,20.06422,0.53401,0.761487,0.567702,1143,1.008074,2187,1947,1.016543,2502,2.222161,8434
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.155031,9204,0.055619,5715,34.067485,0.513884,0.755027,0.569792,3997,0.979922,5553,6329,0.999081,8318,2.213219,28628
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.792484,144924,0.066565,69243,141.184805,0.499798,0.750948,0.571119,64129,0.949568,68757,96641,0.969758,129230,2.198521,450848
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.542839,17857,0.115635,9349,1513.166667,0.503302,0.750032,0.571418,7924,0.927673,9079,11965,0.962172,15848,2.102006,55469
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.220938,7796,0,7183,7183,0.599495,0.683448,0.594019,2923,1,7183,5941,1,5846,2.179818,21602
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1.359384,1880,0.021311,1689,38.302326,0.57623,0.722922,0.580409,737,1.00601,1647,1406,1.01012,1558,2.2,5472
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,2.536948,51067,0.072795,26483,138.389474,0.508388,0.745666,0.572847,22269,0.943947,26294,34486,0.966222,44916,2.173129,157288
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.716683,4211,0.053165,3099,45.268657,0.54358,0.732984,0.577039,1729,0.973995,3033,3006,0.993221,3590,2.168174,12578
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.346722,1901,0.015498,1693,57.413793,0.583605,0.714286,0.583333,741,1.002694,1665,1431,1.005524,1538,2.200653,5472
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.40303,22353,0.064094,12277,68.761364,0.51154,0.74806,0.572063,9717,0.958396,12102,15204,0.980173,19784,2.191306,68940
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.931449,5917,0.059011,3997,35.678899,0.528422,0.746182,0.572678,2501,0.975091,3889,4146,0.996802,5218,2.184553,18066
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.523114,2337,0.053035,2055,16.878261,0.542173,0.76416,0.566842,967,1.010089,1941,1697,1.022326,2162,2.202556,7226
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.095219,7839,0.067691,4999,28.069767,0.516708,0.756245,0.569396,3377,0.975057,4828,5412,0.999603,7096,2.186939,24324
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,2.675102,34830,0.151751,17347,2118.5,0.501541,0.750016,0.571423,15468,0.890407,16948,23274,0.934522,30936,2.029803,108277
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1.637125,4028,0.037722,3103,62.346939,0.523387,0.729675,0.578143,1661,0.981973,3055,2775,0.995503,3418,2.195775,12042
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,2.306727,21383,0.050159,12115,123.907216,0.505741,0.742455,0.573903,9251,0.964217,12019,14358,0.980288,18694,2.209863,65586
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,2.485384,41053,0.052765,21723,167.403101,0.50273,0.744772,0.573141,17911,0.960117,21595,27440,0.976224,36078,2.211755,126482
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.448062,41223,0.059641,22055,172.669291,0.505357,0.74363,0.573516,17913,0.953917,21929,27640,0.971818,36078,2.195378,126598
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.207306,12724,0.051531,7583,61.677686,0.50721,0.746566,0.572552,5499,0.970826,7463,8583,0.988837,11238,2.210968,39158
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,2.596324,50824,0.05711,25949,121.985782,0.500827,0.748495,0.571921,22317,0.958629,25739,33903,0.976565,45054,2.210683,157382
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,1.992324,8020,0.064395,5211,55.043011,0.522971,0.740514,0.574543,3399,0.960904,5119,5555,0.984335,6982,2.168518,24402
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.581318,60868,0.085862,31143,133.822511,0.505087,0.746897,0.572444,26643,0.93292,30913,40907,0.958909,53746,2.149821,188022
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,2.298831,14386,0.060657,8299,51.866242,0.508233,0.749803,0.571493,6255,0.965867,8143,9753,0.987348,12822,2.198749,44522
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.637466,55453,0.068674,27967,101.072993,0.501852,0.749903,0.57146,24405,0.95026,27694,37116,0.972087,49356,2.189973,172124
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.688829,75190,0.069886,37211,117.888179,0.500977,0.749918,0.571455,33143,0.947916,36899,50237,0.969622,66910,2.188496,233474
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.72763,97951,0.070803,47799,134.795455,0.500329,0.749928,0.571452,43225,0.946146,47448,65358,0.96773,87152,2.187354,304232
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.757931,123736,0.071521,59731,151.767263,0.49983,0.749936,0.571449,54651,0.944764,59341,82479,0.966234,110082,2.186445,384398
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.375499,1869,0.04318,1755,22.413333,0.547215,0.746906,0.572441,755,1.00445,1681,1356,1.016476,1658,2.19209,5646
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.933718,5862,0.059374,3983,34.571429,0.52257,0.748494,0.571921,2493,0.975725,3872,4075,0.998037,5208,2.18851,17992
