@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC

@DATA
BF2_cpmp_16_5_48_10_36_12,1,5,0,9,2.1436,0.3125,4.36364,0.25
BF2_cpmp_16_5_48_10_36_13,1,5.90909,0,7,1.87193,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_14,1,4.9,0,7,1.82272,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_15,1,5,0,7,1.66639,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_17,1,5.45455,0,5,1.43164,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_18,1,5.4,0,6,1.55346,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_19,1,5,0,6,1.61091,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_2,1,5.90909,0,7,1.72008,0.3125,4.36364,0.25
BF2_cpmp_16_5_48_10_36_20,1,5,0,7,1.87193,0.3125,4.36364,0.25
BF2_cpmp_16_5_48_10_36_3,1,4.5,0,6,1.55346,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_4,1,5.8,0,7,1.77214,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_5,1,5.4,0,6,1.55346,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_6,1,4.6,0,6,1.55346,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_7,1,4.9,0,8,1.82272,0.3125,4.36364,375
BF2_cpmp_16_5_48_10_36_8,1,5.2,0,6,1.55346,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_9,1,5.1,0,7,1.77214,0.3125,4.36364,0.3125
BF20_cpmp_20_5_60_24_45_1,1,10.6667,0,5,0.938083,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_10,1,11.75,0,4,0.848528,0.25,2.4,0.4
BF20_cpmp_20_5_60_24_45_11,1,7.53846,0,7,1.49666,0.25,2.4,0.35
BF20_cpmp_20_5_60_24_45_12,1,11,0,5,1.09545,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_13,1,11.5385,0,5,1.2,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_14,1,10.8333,0,4,0.979796,0.25,2.4,0.35
BF20_cpmp_20_5_60_24_45_15,1,9.66667,0,4,0.8,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_17,1,13.6923,0,5,0.979796,0.25,2.4,0.25
BF20_cpmp_20_5_60_24_45_2,1,12.0833,0,4,0.894427,0.25,2.4,0.4
BF20_cpmp_20_5_60_24_45_20,1,12.5833,0,5,0.894427,0.25,2.4,0.25
BF20_cpmp_20_5_60_24_45_3,1,10.6154,0,5,1.09545,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_5,1,12.6667,0,4,0.894427,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_6,1,10,0,4,1.0198,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_7,1,9.33333,0,5,1.0198,0.25,2.4,0.3
BF20_cpmp_20_5_60_24_45_8,1,9.41667,0,5,1.0198,0.25,2.4,0.35
BF20_cpmp_20_5_60_24_45_9,1,13.1667,0,5,1.0583,0.25,2.4,0.3
BF21_cpmp_20_5_80_16_48_11,1,7375,0,6,1.22545,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_14,1,5.83333,0,6,1.36186,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_16,1,7.94118,0,7,1.4858,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_18,1,7.9375,0,9,1.63652,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_19,1,6.2,0,7,1.52488,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_2,1,5.9375,0,6,1.44567,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_3,1,5.66667,0,9,1.80733,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_4,1,6.76471,0,6,1.40439,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_5,1,6.82353,0,6,1.36186,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_7,1,4.86667,0,6,1.31796,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_8,1,6.8,0,7,1.52488,0.25,4.70588,0
BF21_cpmp_20_5_80_16_48_9,1,6.06667,0,7,1.52488,0.25,4.70588,0
BF22_cpmp_20_5_80_16_60_11,1,8.75,0,6,1.36186,0.25,4.70588,0.1
BF22_cpmp_20_5_80_16_60_16,1,8.05882,0,7,1.67208,0.25,4.70588,0.15
BF22_cpmp_20_5_80_16_60_4,1,8.44444,0,8,1.7069,0.25,4.70588,0.05
BF22_cpmp_20_5_80_16_60_6,1,7.25,0,8,1.52488,0.25,4.70588,0.15
BF22_cpmp_20_5_80_16_60_7,1,6375,0,7,1.77448,0.25,4.70588,0.2
BF22_cpmp_20_5_80_16_60_9,1,6.70588,0,7,1.52488,0.25,4.70588,0.15
BF23_cpmp_20_5_80_32_48_10,1,8.66667,0,5,1.07394,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_11,1,10.0588,0,4,0.985664,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_12,1,10.7778,0,6,1.20681,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_15,1,14.3125,0,5,0.922129,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_16,1,11.8889,0,7,1.39328,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_18,1,15.0769,0,5,1.25602,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_3,1,11.1765,0,4,0.888659,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_4,1,12.3333,0,5,0.922129,0.25,2.42424,0
BF23_cpmp_20_5_80_32_48_6,1,14.3529,0,6,1.41486,0.25,2.42424,0.05
BF23_cpmp_20_5_80_32_48_7,1,13.6667,0,5,1.04534,0.25,2.42424,0
BF24_cpmp_20_5_80_32_60_13,1,11.8235,0,4,0.853879,0.25,2.42424,0
BF24_cpmp_20_5_80_32_60_17,1,15125,0,4,0.779678,0.25,2.42424,0.15
BF24_cpmp_20_5_80_32_60_2,1,14625,0,5,0.888659,0.25,2.42424,0.1
BF24_cpmp_20_5_80_32_60_8,1,13375,0,5,1.1018,0.25,2.42424,0.2
BF25_cpmp_20_8_96_20_58_20,1,6875,0,9,1.56057,0.4,4.57143,0
BF26_cpmp_20_8_96_20_72_5,1,9.91667,0,8,1.62045,0.4,4.57143,0.2
BF27_cpmp_20_8_96_39_58_12,1,15.25,0,4,0.830662,0.4,2.4,0
BF27_cpmp_20_8_96_39_58_6,1,14.5625,0,4,0.860233,0.4,2.4,0
BF27_cpmp_20_8_96_39_58_9,1,15.0556,0,5,0.943398,0.4,2.4,0
BF28_cpmp_20_8_96_39_72_19,1,16.7857,0,6,1.09087,0.4,2.4,0.05
BF3_cpmp_16_5_48_20_29_1,1,8.45455,0,6,1.45219,0.3125,2.28571,0.1875
BF3_cpmp_16_5_48_20_29_11,1,8.22222,0,3,0.764875,0.3125,2.28571,125
BF3_cpmp_16_5_48_20_29_13,1,8.5,0,4,0.933139,0.3125,2.28571,125
BF3_cpmp_16_5_48_20_29_14,1,7.33333,0,5,1.16058,0.3125,2.28571,0.0625
BF3_cpmp_16_5_48_20_29_16,1,10.1111,0,5,1.07539,0.3125,2.28571,0.0625
BF3_cpmp_16_5_48_20_29_19,1,6.6,0,6,1.20091,0.3125,2.28571,0
BF3_cpmp_16_5_48_20_29_20,1,7.3,0,5,0.982846,0.3125,2.28571,0.1875
BF3_cpmp_16_5_48_20_29_3,1,6.44444,0,5,0.982846,0.3125,2.28571,0.0625
BF3_cpmp_16_5_48_20_29_5,1,8.09091,0,4,0.824786,0.3125,2.28571,0.1875
BF3_cpmp_16_5_48_20_29_6,1,9.6,0,4,0.933139,0.3125,2.28571,125
BF3_cpmp_16_5_48_20_29_8,1,9.08333,0,4,0.824786,0.3125,2.28571,0.1875
BF3_cpmp_16_5_48_20_29_9,1,5.5,0,4,0.880631,0.3125,2.28571,0.0625
BF4_cpmp_16_5_48_20_36_1,1,8.1,0,4,0.764875,0.3125,2.28571,375
BF4_cpmp_16_5_48_20_36_10,1,10,0,5,0.933139,0.3125,2.28571,375
BF4_cpmp_16_5_48_20_36_11,1,7,0,5,0.933139,0.3125,2.28571,375
BF4_cpmp_16_5_48_20_36_13,1,9.3,0,7,1.35023,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_14,1,13.4,0,5,1.11879,0.3125,2.28571,375
BF4_cpmp_16_5_48_20_36_15,1,9.3,0,6,1.20091,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_16,1,12.4,0,4,0.880631,0.3125,2.28571,375
BF4_cpmp_16_5_48_20_36_17,1,9.7,0,4,0.982846,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_18,1,7.1,0,5,0.933139,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_19,1,9.77778,0,4,1.11879,0.3125,2.28571,0.25
BF4_cpmp_16_5_48_20_36_2,1,10.4444,0,4,0.933139,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_20,1,10.3636,0,6,1.27775,0.3125,2.28571,0.25
BF4_cpmp_16_5_48_20_36_3,1,10.0909,0,4,0.933139,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_5,1,6.4,0,8,1.54744,0.3125,2.28571,0.3125
BF4_cpmp_16_5_48_20_36_6,1,10.4,0,3,0.699854,0.3125,2.28571,0.25
BF4_cpmp_16_5_48_20_36_7,1,7.1,0,4,0.824786,0.3125,2.28571,375
BF4_cpmp_16_5_48_20_36_8,1,7.90909,0,4,0.982846,0.3125,2.28571,0.25
BF4_cpmp_16_5_48_20_36_9,1,9.66667,0,4,0.764875,0.3125,2.28571,0.25
BF5_cpmp_16_5_64_13_39_1,1,4.46154,0,7,1.54524,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_10,1,6.53846,0,7,1.4983,0.3125,4.57143,0.0625
BF5_cpmp_16_5_64_13_39_11,1,5.46154,0,7,1.44984,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_12,1,6.25,0,7,1.63507,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_14,1,7.07143,0,9,1.80136,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_15,1,6.2,0,6,1.34771,0.3125,4.57143,0.0625
BF5_cpmp_16_5_64_13_39_17,1,5.78571,0,6,1.44984,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_2,1,7,0,10,2.16182,0.3125,4.57143,0.0625
BF5_cpmp_16_5_64_13_39_20,1,5.85714,0,6,1.39971,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_3,1,5.58333,0,6,1.4983,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_4,1,6.76923,0,6,1.44984,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_5,1,5.85714,0,7,1.54524,0.3125,4.57143,0.0625
BF5_cpmp_16_5_64_13_39_8,1,5.41667,0,6,1.34771,0.3125,4.57143,0
BF5_cpmp_16_5_64_13_39_9,1,5.85714,0,9,1.76126,0.3125,4.57143,0
BF6_cpmp_16_5_64_13_48_1,1,7.30769,0,7,1.63507,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_11,1,6.30769,0,7,1.63507,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_12,1,5.69231,0,6,1.59079,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_13,1,5.07692,0,7,1.63507,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_15,1,6.53846,0,7,1.54524,0.3125,4.57143,125
BF6_cpmp_16_5_64_13_48_16,1,6.35714,0,6,1.39971,0.3125,4.57143,125
BF6_cpmp_16_5_64_13_48_17,1,6.38462,0,7,1.4983,0.3125,4.57143,125
BF6_cpmp_16_5_64_13_48_18,1,5.53846,0,7,1.4983,0.3125,4.57143,0.0625
BF6_cpmp_16_5_64_13_48_19,1,7,0,7,1.59079,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_2,1,6.38462,0,6,1.39971,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_3,1,6.76923,0,7,1.59079,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_4,1,5.69231,0,8,1.72023,0.3125,4.57143,125
BF6_cpmp_16_5_64_13_48_6,1,6.30769,0,8,1.63507,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_7,1,6,0,6,1.44984,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_8,1,7.07692,0,7,1.59079,0.3125,4.57143,0.1875
BF6_cpmp_16_5_64_13_48_9,1,7.15385,0,8,1.76126,0.3125,4.57143,125
BF7_cpmp_16_5_64_26_39_1,1,9.61538,0,5,0.948611,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_10,1,8.85714,0,5,1.09369,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_11,1,10.0769,0,4,0.908729,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_12,1,9.61538,0,5,1.02372,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_13,1,11.4286,0,5,1.09369,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_14,1,9.64286,0,4,0.908729,0.3125,2.37037,125
BF7_cpmp_16_5_64_26_39_15,1,10.5,0,4,0.823189,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_16,1,9.75,0,4,0.908729,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_17,1,8.07692,0,5,1.09369,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_19,1,10.6667,0,4,0.823189,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_2,1,10.2,0,4,0.948611,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_20,1,9.21429,0,5,0.986882,0.3125,2.37037,0.0625
BF7_cpmp_16_5_64_26_39_3,1,10.2667,0,5,1.05929,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_6,1,10.3571,0,5,1.15944,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_7,1,9.21429,0,4,0.823189,0.3125,2.37037,0
BF7_cpmp_16_5_64_26_39_8,1,10.9231,0,4,0.908729,0.3125,2.37037,0
BF8_cpmp_16_5_64_26_48_1,1,13.2143,0,6,1.41809,0.3125,2.37037,125
BF8_cpmp_16_5_64_26_48_11,1,12.7857,0,5,0.948611,0.3125,2.37037,125
BF8_cpmp_16_5_64_26_48_12,1,9.15385,0,4,0.776895,0.3125,2.37037,125
BF8_cpmp_16_5_64_26_48_17,1,12.1538,0,4,0.908729,0.3125,2.37037,125
BF8_cpmp_16_5_64_26_48_20,1,12.1538,0,4,0.823189,0.3125,2.37037,125
BF8_cpmp_16_5_64_26_48_4,1,14,0,5,0.823189,0.3125,2.37037,0.1875
BF8_cpmp_16_5_64_26_48_5,1,13.2308,0,5,1.15944,0.3125,2.37037,125
BF8_cpmp_16_5_64_26_48_6,1,11.4286,0,4,0.823189,0.3125,2.37037,0.0625
BF8_cpmp_16_5_64_26_48_7,1,11.5385,0,6,1.02372,0.3125,2.37037,0.0625
BF9_cpmp_16_8_77_16_47_1,1,6.91667,0,9,2.40386,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_10,1,6.58333,0,6,1.33362,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_12,1,5.66667,0,7,1.71902,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_3,1,5.64286,0,6,1.28876,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_4,1,6.46154,0,7,1.4191,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_6,1,6.42857,0,6,1.4191,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_7,1,5.78571,0,8,1.81878,0.5,4.52941,0
BF9_cpmp_16_8_77_16_47_8,1,4.73333,0,8,1.68445,0.5,4.52941,0
LC2a_lc2a_1,1,3125,0,11,3.17271,0.5,4.54545,0
LC2a_lc2a_10,1,5625,0,9,2.46295,0.5,4.54545,0
LC2a_lc2a_2,1,4.1,0,9,2.70903,0.5,4.54545,0
LC2a_lc2a_3,1,3.66667,0,9,2.8079,0.5,4.54545,0
LC2a_lc2a_4,1,4,0,8,2.14746,0.5,4.54545,0
LC2a_lc2a_5,1,3.44444,0,9,2.49959,0.5,4.54545,0
LC2a_lc2a_7,1,3.5,0,8,2.27091,0.5,4.54545,0
LC2b_lc2b_1,1,4.2,0,14,3.4997,0.5,4.54545,0
LC2b_lc2b_2,1,4.4,0,9,2.14746,0.5,4.54545,0
LC2b_lc2b_3,1,4.16667,0,9,2.74238,0.5,4.54545,0
LC2b_lc2b_4,1,5.4,0,7,1.87634,0.5,4.54545,0.083333
LC2b_lc2b_5,1,5.1,0,8,2.34961,0.5,4.54545,0.083333
LC2b_lc2b_6,1,5,0,10,2.70903,0.5,4.54545,0.083333
LC2b_lc2b_7,1,3,0,6,1.61604,0.5,4.54545,0.083333
LC2b_lc2b_9,1,5,0,8,1.82725,0.5,4.54545,0
LC3a_lc3a_1,1,4.71429,0,9,2.31417,0.5,4.90909,0
LC3a_lc3a_10,1,4.66667,0,9,2.50289,0.5,4.90909,0
LC3a_lc3a_3,1,3875,0,9,2.31417,0.5,4.90909,0
LC3a_lc3a_4,1,3.77778,0,8,2.50289,0.5,4.90909,0
LC3a_lc3a_6,1,3.55556,0,8,2.02056,0.5,4.90909,0
LC3a_lc3a_7,1,3.54545,0,9,2.67835,0.5,4.90909,0
LC3a_lc3a_8,1,4.22222,0,9,2.50289,0.5,4.90909,0
LC3a_lc3a_9,1,3,0,9,2.96815,0.5,4.90909,0
LC3b_lc3b_1,1,4.41667,0,9,2.23422,0.5,4.90909,0
LC3b_lc3b_10,1,5.3,0,12,3.20382,0.5,4.90909,0
LC3b_lc3b_4,1,3.45455,0,11,2.74539,0.5,4.90909,0.083333
LC3b_lc3b_5,1,3.72727,0,10,2.42916,0.5,4.90909,0.083333
LC3b_lc3b_6,1,5,0,8,2.27454,0.5,4.90909,0
LC3b_lc3b_8,1,3.90909,0,8,2.27454,0.5,4.90909,0.083333
LC3b_lc3b_9,1,4.5,0,10,2.71208,0.5,4.90909,0
cv_data5-10-33,1,14.4,1,1,0,0.7,1,0
cv_data4-6-1,1,8,1,1,0,1,1,0
cv_data4-4-19,1,5.5,1,1,0,1.5,1,0
cv_data5-4-23,1,6,1,1,0,1.75,1,0
cv_data4-5-2,1,7.4,1,1,0,1.2,1,0
cv_data4-5-26,1,4.6,1,1,0,1.2,1,0
cv_data5-5-12,1,7.2,1,1,0,1.4,1,0
cv_data4-5-9,1,8.2,1,1,0,1.2,1,0
cv_data5-7-19,1,6.57143,1,1,0,1,1,0
cv_data4-6-18,1,7.66667,1,1,0,1,1,0
cv_data4-4-21,1,4.5,1,1,0,1.5,1,0
cv_data4-7-39,1,10.8333,1,1,0,0.857143,1,0
cv_data4-7-27,1,10.2857,1,1,0,0.857143,1,0
cv_data5-7-40,1,10.7143,1,1,0,1,1,0
cv_data5-6-26,1,4.83333,1,1,0,1.16667,1,0
cv_data5-6-6,1,12,1,1,0,1.16667,1,0
cv_data4-5-1,1,5.2,1,1,0,1.2,1,0
cv_data5-4-21,1,6.25,1,1,0,1.75,1,0
