@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC

@DATA
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247,0.016249
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669,0.045244
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522,0.029851
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801,0.049673
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733,0.055938
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741,0.037623
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159,0.057064
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307,0.073596
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324,0.05735
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089,0.053099
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939,0.050238
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851,0.061688
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335,6553,0.054383
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.440566,24069,0.064824
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.676058,72483,0.06941
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.748267,119519,0.070741
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.681284,76800,0.057153
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.588671,2714,0.045529
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.155031,9204,0.055619
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.792484,144924,0.066565
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.542839,17857,0.115635
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.220938,7796,0
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1.359384,1880,0.021311
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,2.536948,51067,0.072795
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.716683,4211,0.053165
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.346722,1901,0.015498
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.40303,22353,0.064094
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.931449,5917,0.059011
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.523114,2337,0.053035
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.095219,7839,0.067691
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,2.675102,34830,0.151751
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1.637125,4028,0.037722
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,2.306727,21383,0.050159
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,2.485384,41053,0.052765
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.448062,41223,0.059641
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.207306,12724,0.051531
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,2.596324,50824,0.05711
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,1.992324,8020,0.064395
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.581318,60868,0.085862
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,2.298831,14386,0.060657
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.637466,55453,0.068674
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.688829,75190,0.069886
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.72763,97951,0.070803
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.757931,123736,0.071521
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.375499,1869,0.04318
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.933718,5862,0.059374
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.602547,48482,0.075033
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.12507,8481,0.058414
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,2.649269,52551,0.067441
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,2.736275,51396,0.133358
BLOCKS3i.5.3-shuffled,1,12.594406,1989,0.049447
BLOCKS3ii.5.2-shuffled,1,9.592199,2044,0.052826
BLOCKS3iii.5-shuffled,1,4.996094,1679,0.077929
BLOCKS4ii.7.2-shuffled,1,13.602186,12262,0.117033
BLOCKS4iii.7-shuffled,1,7.433918,10635,0.155799
blocks_enc_2_b3_ser--opt-9_-shuffled,1,9.261161,4472,0.074396
blocks_enc_2_b4_ser--opt-26_-shuffled,1,11.868551,54618,0.103973
c1_BMC_p1_k2048-shuffled,1,2.816883,4602842,0.033579
c1_BMC_p2_k1024-shuffled,1,2.913312,2302874,0.066083
c1_BMC_p2_k128-shuffled,1,4.088913,290402,0.431892
c1_BMC_p2_k8-shuffled,1,5.669493,41747,0.783066
c2_Debug_s5_f1_e1_v3-shuffled,1,16.391092,38731,2.874489
c3_BMC_p1_k256-shuffled,1,4.03651,73224,0.323326
c3_BMC_p2_k1024-shuffled,1,3.30486,290808,0.091591
c3_BMC_p2_k2048-shuffled,1,3.170664,580920,0.046834
c3_BMC_p2_k512-shuffled,1,3.562171,145752,0.175399
c3_Debug_s3_f2_e2_v2-shuffled,1,5.093693,3118513,0.007205
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.630282,1057,0.015983
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.630931,1058,0.015961
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.709949,1146,0.001289
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.710438,1147,0.001288
C499.blif_0.10_0.20_0_0_inp_exact,1,3.147903,1780,0.015643
C499.blif_0.10_0.20_0_0_out_exact,1,3.201671,1644,0.013372
C499.blif_0.10_0.20_0_1_out_exact,1,3.202864,1644,0.013372
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.231803,1786,0.001547
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,3.237345,1778,0.001552
c4_BMC_p1_k1024-shuffled,1,2.914502,24622,0.071273
c4_BMC_p1_k2048-shuffled,1,2.818157,49198,0.036263
c4_BMC_p1_k512-shuffled,1,3.101519,12334,0.137783
c4_BMC_p2_k2048-shuffled,1,2.818157,49198,0.036263
c4_Debug_s3_f1_e1_v3-shuffled,1,76.384183,1388,5.989524
c4_Debug_s3_f1_e2_v3-shuffled,1,76.384362,1387,5.989524
c4_Debug_s3_f2_e1_v3-shuffled,1,8.395476,623110,0.078323
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,2.71348,11468,0.028519
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.734222,11137,0.027762
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,2.71335,11469,0.028515
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.734085,11138,0.027758
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.774924,11925,0.000131
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.775201,11921,0.000131
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.775103,11924,0.000131
c5_BMC_p1_k32-shuffled,1,5.344273,53822,0.664117
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.950388,9458,0.006184
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.966653,9667,0.003172
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.96666,9668,0.003171
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.971214,9554,0.003203
c6_BMC_p1_k1024-shuffled,1,3.008792,290614,0.031982
c6_BMC_p1_k256-shuffled,1,3.288294,72790,0.122244
c6_BMC_p2_k128-shuffled,1,3.636599,36486,0.230815
c6_BMC_p2_k2048-shuffled,1,2.960571,581046,0.016116
c6_BMC_p2_k64-shuffled,1,4.260562,18334,0.415195
C880.blif_0.10_0.20_0_0_inp_exact,1,2.601338,2055,0.010212
C880.blif_0.10_0.20_0_0_out_exact,1,2.632066,1903,0.008857
C880.blif_0.10_0.20_0_1_inp_exact,1,2.602294,2054,0.010212
C880.blif_0.10_0.20_0_1_out_exact,1,2.632066,1903,0.008857
C880.blif_0.10_1.00_0_0_inp_exact,1,2.629159,2022,0.009195
C880.blif_0.10_1.00_0_0_out_exact,1,2.643505,1960,0.009419
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.644512,1959,0.009419
CHAIN23v.24-shuffled,1,3.391185,18076,0.004679
cmu.dme1.B-f2,1,2.450287,1882,0.160359
cmu.dme1.B-f3,1,2.529248,3308,0.114317
cmu.dme1.B-f4-shuffled,1,2.559605,4890,0.092999
cmu.dme2.B-f2,1,2.548363,2404,0.140765
cmu.periodic.N-d2-shuffled,1,2.904467,9867,0.088237
cmu.periodic.N-d4-shuffled,1,2.924205,22521,0.108695
cmu.periodic.N-f4-shuffled,1,2.928948,24028,0.109459
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,3.045161,562,0.01083
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.133987,564,0.001188
connect_5x4_3_R-shuffled,1,6.991061,1332,0.045291
connect_5x4_4_W-shuffled,1,6.52113,1332,0.055098
connect_6x5_4_D-shuffled,1,7.385425,2713,0.046359
connect_6x5_5_R-shuffled,1,6.803644,2713,0.055915
connect_7x6_4_R-shuffled,1,7.986378,4970,0.041609
connect_7x6_6_W-shuffled,1,7.023348,4970,0.057258
connect_8x7_3_D-shuffled,1,8.168013,8415,0.036135
connect_8x7_7_D-shuffled,1,7.191417,8415,0.057716
connect_9x8_3_R-shuffled,1,8.366279,13408,0.03483
connect_9x8_6_D-shuffled,1,8.634693,13408,0.042567
connect_9x8_8_D-shuffled,1,7.329745,13408,0.058431
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,3.080319,4105,0.30233
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,3.086983,4105,0.300926
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,3.073068,4120,0.304902
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,3.090068,4110,0.300623
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,3.080319,4105,0.30233
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,3.079829,4115,0.303121
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,3.073289,4115,0.304513
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,3.08313,4115,0.302423
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,3.08313,4115,0.302423
Core1108_tbm_03.tex.module.000003,1,2.610302,1356,0.441907
Core1108_tbm_03.tex.module.000019,1,2.498199,1258,0.425532
Core1108_tbm_03.tex.module.000021,1,2.504202,1243,0.432341
Core1108_tbm_03.tex.module.000023,1,2.516206,1243,0.433931
Core1108_tbm_03.tex.module.000031,1,2.521945,1253,0.434662
Core1108_tbm_03.tex.module.000034,1,2.502387,1244,0.43089
Core1108_tbm_03.tex.module.000037,1,2.514215,1202,0.433526
Core1108_tbm_03.tex.module.000038,1,2.5,1188,0.435418
Core1108_tbm_03.tex.module.000039,1,2.5,1188,0.435418
Core1108_tbm_03.tex.module.000048,1,2.484355,1184,0.431442
Core1108_tbm_03.tex.module.000056,1,2.46124,1148,0.42698
Core1108_tbm_03.tex.module.000057,1,2.496689,1139,0.425798
Core1108_tbm_03.tex.module.000058,1,2.516869,1130,0.424588
Core1108_tbm_03.tex.module.000064,1,2.506793,1121,0.423348
Core1108_tbm_03.tex.module.000065,1,2.513774,1112,0.422078
Core1108_tbm_03.tex.module.000090,1,2.61747,1056,0.426913
Core1108_tbm_03.tex.module.000092,1,2.629231,1047,0.425606
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,2.974619,3623,0.301744
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,2.968474,3623,0.303342
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,2.968573,3628,0.303792
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,2.977792,3628,0.301398
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,2.974619,3623,0.301744
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,2.968573,3628,0.303792
Core1108_tbm_09.tex.module.000008,1,2.80837,2057,0.475916
Core1108_tbm_09.tex.module.000009,1,2.80837,2057,0.475916
Core1108_tbm_09.tex.module.000010,1,2.80837,2057,0.475916
Core1108_tbm_09.tex.module.000028,1,2.64411,1760,0.464789
Core1108_tbm_09.tex.module.000033,1,2.591146,1679,0.460847
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,3.033658,8656,0.244533
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,3.036979,8651,0.243545
Core1108_tbm_09.tex.moduleQ3.2S.000005,1,3.033658,8656,0.244533
Core1108_tbm_09.tex.moduleQ3.2S.000007,1,3.0433,8671,0.243069
Core1108_tbm_09.tex.moduleQ3.2S.000010,1,3.030322,8666,0.245766
Core1108_tbm_09.tex.moduleQ3.2S.000011,1,3.033658,8656,0.244533
Core1108_tbm_09.tex.moduleQ3.9S.000001,1,3.033658,8656,0.244533
Core1108_tbm_21.tex.module.000008,1,2.741638,1383,0.46034
Core1108_tbm_21.tex.module.000009,1,2.741638,1383,0.46034
Core1108_tbm_21.tex.module.000010,1,2.741638,1383,0.46034
Core1108_tbm_21.tex.module.000014,1,2.672749,1302,0.454545
Core1108_tbm_21.tex.module.000017,1,2.672749,1302,0.454545
Core1108_tbm_21.tex.module.000023,1,2.595882,1221,0.447635
Core1108_tbm_21.tex.module.000026,1,2.632124,1206,0.456081
Core1108_tbm_21.tex.module.000027,1,2.615187,1206,0.456081
Core1108_tbm_21.tex.module.000030,1,2.620076,1216,0.45657
Core1108_tbm_21.tex.module.000091,1,2.774074,943,0.444271
Core1108_tbm_21.tex.moduleQ3.2S.000002,1,2.976871,3485,0.323557
Core1108_tbm_21.tex.moduleQ3.2S.000007,1,2.983391,3470,0.320724
Core1108_tbm_21.tex.moduleQ3.2S.000011,1,2.983448,3475,0.321144
Core1108_tbm_21.tex.moduleQ3.2S.000014,1,2.976792,3480,0.323145
Core1108_tbm_21.tex.moduleQ3.2S.000015,1,2.983448,3475,0.321144
Core1108_tbm_21.tex.moduleQ3.2S.000019,1,2.983448,3475,0.321144
Core1108_tbm_21.tex.moduleQ3.2S.000024,1,2.983448,3475,0.321144
Core1108_tbm_21.tex.moduleQ3.2S.000027,1,2.983391,3470,0.320724
Core1108_tbm_28.tex.moduleQ2.2S.000003,1,2.911273,3213,0.274889
counter_16,1,3.917767,2242,0.479891
counter_32-shuffled,1,3.958607,8578,0.489613
counter_8-shuffled,1,3.837778,610,0.462192
counter_e_16,1,3.952797,2306,0.477088
counter_e_8-shuffled,1,3.897059,642,0.458234
