@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC

@DATA
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.362095,5,0,2025,0,0,17.402469,4.643856,8.701235,0.114926,2.321928,0,0,0,4.643856,3.790965,0,2,0,17.402469,0,0,2.321928
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.372612,6,0,3642,0,0,20.879736,5.169925,10.439868,0.095787,2.584963,0,0,0,5.169925,3.833265,0,2,0,20.879736,0,-1,2.584963
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.572503,4,0,1900,0,0,7.557895,4,3.778947,0.264624,2,0,0,0,4,1.408585,0,2,0,7.557895,0,0,2
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.756897,6,0,924,0,0,10.285714,5.169925,5.142857,0.194444,2.584963,0,0,0,5.169925,2.448476,0,2,0,10.285714,0,0,2.584963
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.883046,7,0,1078,0,0,10.285714,5.61471,5.142857,0.194444,2.807355,0,0,0,5.61471,2.448476,0,2,0,10.285714,0,0,2.807355
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.491187,5,0,1010,0,0,12.148515,4.643856,6.074257,0.164629,2.321928,0,0,0,4.643856,2.997733,0,2,0,12.148515,0,-1,2.321928
normalized-46s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.378053,1.801489,0,2904,0.221416,0,6.377792,3.649874,1.723945,0.580065,0.985662,1.350737,0,0,13,3.379324,0.71894,3.699532,0,10.408189,0.970936,0.067324,1
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.439498,3,0,843,0,0,7.44484,3.169925,3.72242,0.268642,1.584963,0,0,0,3.169925,1.588719,0,2,0,7.44484,0,0,1.584963
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.590743,4,0,208,0,0,7.730769,4,3.865385,0.258706,2,0,0,0,4,2.609496,0,2,0,7.730769,0,0,2
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604333,2,0,400,0,0,3.4,2.615385,1.3,0.769231,1,0.961237,0,0,3,1.157745,0,2.615385,0,5.62,0.186016,0,1
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736667,2,0,600,0,0,2.933333,2.444444,1.2,0.833333,1,0.991076,200,160,3,1.693646,0,2.444444,0,4.46,0.203279,0,1
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.406858,6,0,4140,0,0,19.275362,5.169925,9.637681,0.103759,2.584963,0,0,0,5.169925,3.730763,0,2,0,19.275362,0,-1,2.584963
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.272923,6,0,5112,0,0,28.640845,5.169925,14.320423,0.06983,2.584963,0,0,0,5.169925,5.055056,0,2,0,28.640845,0,0,2.584963
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.335645,4,0,5624,0,0,13.790896,4,6.895448,0.145023,2,0,0,0,4,2.317467,0,2,0,13.790896,0,0,2
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.419556,5,0,7030,0,0,13.790896,4.643856,6.895448,0.145023,2.321928,0,0,0,4.643856,2.317467,0,2,0,13.790896,0,0.000001,2.321928
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.5,2,0,400,0,0,4,2.666667,1.5,0.666667,1,0.918296,0,0,3,0,0,2.666667,0,6.71,0.176777,0,1
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737286,2,0,600,0,0,2.93,2.441667,1.2,0.833333,1,0.990159,200,160,3,1.690855,0,2.441667,0,4.386667,0.20338,0,1
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.667222,2,0,600,0,0,3.33,2.4975,1.333333,0.75,1,0.999982,200,200,3,0.948572,0,2.4975,0,5.133333,0.200198,0,1
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.502513,0,0.333333,0.666667,0,0.497487,0,0.670556,2,0,600,0,0,3.31,2.494975,1.326667,0.753769,1,0.999927,200,198,3,1.064214,0,2.494975,0,5.106667,0.200393,0,1
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.429377,3,0,1425,0,0,7.557895,3.169925,3.778947,0.264624,1.584963,0,0,0,3.169925,1.408585,0,2,0,7.557895,0,-1,1.584963
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500833,2,0,400,0,0,3.995,2.663333,1.5,0.666667,1,0.921593,0,0,3,0.045415,0,2.663333,0,6.7,0.177435,0,1
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737444,2,0,600,0,0,2.926667,2.438889,1.2,0.833333,1,0.989197,200,160,3,1.690855,0,2.438889,0,4.453333,0.203474,0,1
normalized-25s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.396665,1.787658,0,9067,0.228772,0,7.048107,3.716095,1.868099,0.535303,0.982142,1.29745,0,0,15,3.022216,0.745936,3.772876,0,12.044558,1.068341,0.075937,1
normalized-44s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.405183,1.761616,0,872,0.241877,0,5.705051,4.35861,1.278788,0.781991,0.971442,1.455197,0,0,13,3.364944,0.792342,4.461295,0,11.357576,0.958856,0.093598,1
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.329631,2,0,400,0,0,6.085,2.765909,2.2,0.454545,1,0.785075,0,0,3,0.591386,0,2.765909,0,10.2,0.153089,0,1
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736222,2,0,600,0,0,2.933333,2.444444,1.2,0.833333,1,0.991076,200,160,3,1.690126,0,2.444444,0,4.413333,0.203279,0,1
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.739222,2,0,600,0,0,2.926667,2.438889,1.2,0.833333,1,0.989197,200,160,3,1.709178,0,2.438889,0,4.373333,0.203474,0,1
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500833,2,0,400,0,0,3.995,2.663333,1.5,0.666667,1,0.921593,0,0,3,0.045415,0,2.663333,0,6.7,0.177435,0,1
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.60525,2,0,800,0,0,3.3975,2.613462,1.3,0.769231,1,0.962529,0,0,3,1.173211,0,2.613462,0,5.665,0.186326,0,1
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604917,2,0,800,0,0,3.3975,2.613462,1.3,0.769231,1,0.962529,0,0,3,1.166676,0,2.613462,0,5.595,0.186326,0,1
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.786161,6,0,684,0,0,9.491228,5.169925,4.745614,0.210721,2.584963,0,0,0,5.169925,2.572158,0,2,0,9.491228,0,0,2.584963
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.556328,0,0.333333,0.666667,0,0.443672,0,0.737722,2,0,1200,0,0,2.926667,2.442281,1.198333,0.834492,1,0.990366,400,319,3,1.692595,0,2.442281,0,4.39,0.203358,0,1
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.251734,3,0,4218,0,0,13.790896,3.169925,6.895448,0.145023,1.584963,0,0,0,3.169925,2.317467,0,2,0,13.790896,0,-1,1.584963
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.446332,5,0,2985,0,0,13.18593,4.643856,6.592965,0.151677,2.321928,0,0,0,4.643856,2.650763,0,2,0,13.18593,0,0,2.321928
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737056,2,0,1200,0,0,2.93,2.441667,1.2,0.833333,1,0.990159,400,320,3,1.694765,0,2.441667,0,4.43,0.20338,0,1
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.474668,7,0,4830,0,0,19.275362,5.61471,9.637681,0.103759,2.807355,0,0,0,5.61471,3.730763,0,2,0,19.275362,0,0,2.807355
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.501253,0,0.333333,0.666667,0,0.498747,0,0.668333,2,0,600,0,0,3.323333,2.498747,1.33,0.75188,1,0.999995,200,199,3,0.993203,0,2.498747,0,5.186667,0.2001,0,1
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736865,2,0,1200,0,0,2.933333,2.444444,1.2,0.833333,1,0.991076,400,320,3,1.707944,0,2.444444,0,4.48,0.203279,0,1
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736722,2,0,1200,0,0,2.931667,2.443056,1.2,0.833333,1,0.990623,400,320,3,1.689969,0,2.443056,0,4.426667,0.20333,0,1
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.55788,0,0.333333,0.666667,0,0.44212,0,0.740921,2,0,1200,0,0,2.916667,2.440725,1.195,0.83682,1,0.989838,400,317,3,1.696523,0,2.440725,0,4.43,0.203413,0,1
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667,2.498123,1.331667,0.750939,1,0.99999,400,399,3,0.972158,0,2.498123,0,5.146667,0.200149,0,1
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737833,2,0,1200,0,0,2.926667,2.438889,1.2,0.833333,1,0.989197,400,320,3,1.691436,0,2.438889,0,4.393333,0.203474,0,1
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667,2.498123,1.331667,0.750939,1,0.99999,400,399,3,0.972158,0,2.498123,0,5.166667,0.200149,0,1
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.668056,2,0,1200,0,0,3.325,2.496871,1.331667,0.750939,1,0.999972,400,399,3,0.982926,0,2.496871,0,5.196667,0.200247,0,1
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.784567,3,0,237,0,0,3.949367,3.169925,1.974684,0.50641,1.584963,0,0,0,3.169925,0.739735,0,2,0,3.949367,0,-1,1.584963
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.516058,8,0,8680,0,0,21.004608,6,10.502304,0.095217,3,0,0,0,6,3.541915,0,2,0,21.004608,0,0,3
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.502513,0,0.333333,0.666667,0,0.497487,0,0.671111,2,0,600,0,0,3.306667,2.492462,1.326667,0.753769,1,0.999836,200,198,3,1.079824,0,2.492462,0,5.14,0.200582,0,1
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.6045,2,0,400,0,0,3.395,2.611538,1.3,0.769231,1,0.9638,0,0,3,1.141914,0,2.611538,0,5.59,0.186633,0,1
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736444,2,0,600,0,0,2.933333,2.444444,1.2,0.833333,1,0.991076,200,160,3,1.700554,0,2.444444,0,4.406667,0.203279,0,1
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.227436,5,0,4260,0,0,28.640845,4.643856,14.320423,0.06983,2.321928,0,0,0,4.643856,5.055056,0,2,0,28.640845,0,0.000001,2.321928
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0,0.629286,0,0.552905,2,0,1200,0,0,4.725,2.627433,1.798333,0.55607,1,0.952623,400,679,3,1.278513,0,2.627433,0,7.61,0.184015,0,1
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.568182,0,0.333333,0.666667,0,0.431818,0,0.761111,2,0,300,0,0,2.846667,2.426136,1.173333,0.852273,1,0.9842,100,76,3,1.675398,0,2.426136,0,4.146667,0.203828,0,1
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328631,2,0,400,0,0,6.1,2.772727,2.2,0.454545,1,0.773227,0,0,3,0.481202,0,2.772727,0,10.24,0.15114,0,1
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500417,2,0,800,0,0,3.9975,2.665,1.5,0.666667,1,0.919953,0,0,3,0.025212,0,2.665,0,6.69,0.177107,0,1
normalized-43s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.386944,1.858003,0,6791,0.187862,0,6.894938,3.463829,1.966621,0.508486,0.987359,1.264645,0,0,15,3.323245,0.589446,3.505982,0,11.444596,1.05542,0.063734,1
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737111,2,0,1200,0,0,2.931667,2.443056,1.2,0.833333,1,0.990623,400,320,3,1.704794,0,2.443056,0,4.44,0.20333,0,1
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604667,2,0,400,0,0,3.4,2.615385,1.3,0.769231,1,0.961237,0,0,3,1.173387,0,2.615385,0,5.61,0.186016,0,1
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.605929,2,0,400,0,0,3.395,2.611538,1.3,0.769231,1,0.9638,0,0,3,1.158838,0,2.611538,0,5.58,0.186633,0,1
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736833,2,0,1200,0,0,2.931667,2.443056,1.2,0.833333,1,0.990623,400,320,3,1.700436,0,2.443056,0,4.443333,0.20333,0,1
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.252845,0,0.333333,0.666667,0,0.747155,0,0.468954,2,0,1200,0,0,7.231667,2.742731,2.636667,0.379267,1,0.822598,400,1182,3,1.344808,0,2.742731,0,12.48,0.159377,0,1
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.282717,7,0,14210,0,0,33.252217,5.61471,16.626108,0.060146,2.807355,0,0,0,5.61471,4.858298,0,2,0,33.252217,0,0.000001,2.807355
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500417,2,0,800,0,0,3.9975,2.665,1.5,0.666667,1,0.919953,0,0,3,0.025212,0,2.665,0,6.73,0.177107,0,1
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.434514,6,0,2430,0,0,17.402469,5.169925,8.701235,0.114926,2.584963,0,0,0,5.169925,3.790965,0,2,0,17.402469,0,-1,2.584963
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.5,2,0,200,0,0,4,2.666667,1.5,0.666667,1,0.918296,0,0,3,0,0,2.666667,0,6.7,0.176777,0,1
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500833,2,0,800,0,0,3.995,2.663333,1.5,0.666667,1,0.921593,0,0,3,0.045415,0,2.663333,0,6.715,0.177435,0,1
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.501253,0,0.333333,0.666667,0,0.498747,0,0.668333,2,0,600,0,0,3.323333,2.498747,1.33,0.75188,1,0.999995,200,199,3,0.993203,0,2.498747,0,5.126667,0.2001,0,1
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0,0.629286,0,0.552976,2,0,1200,0,0,4.725,2.627433,1.798333,0.55607,1,0.952623,400,679,3,1.302519,0,2.627433,0,7.573333,0.184015,0,1
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.501667,2,0,400,0,0,3.99,2.66,1.5,0.666667,1,0.924819,0,0,3,0.080793,0,2.66,0,6.75,0.178086,0,1
normalized-army8-9ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.295613,2,0,440,0,0,7.236364,4.795181,1.509091,0.662651,1,2.097437,0,0,64,1.899486,0,4.795181,0,49.290909,1.069877,0,1
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.666667,2,0,600,0,0,3.333333,2.5,1.333333,0.75,1,1,200,200,3,0.918296,0,2.5,0,5.16,0.2,0,1
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667,2.498123,1.331667,0.750939,1,0.99999,400,399,3,0.972158,0,2.498123,0,5.193333,0.200149,0,1
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.451551,7,0,7595,0,0,21.004608,5.61471,10.502304,0.095217,2.807355,0,0,0,5.61471,3.541915,0,2,0,21.004608,0,0,2.807355
normalized-army13-24bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.201246,2,0,980,0,0,12.265306,5.539171,2.214286,0.451613,1,2.195563,0,0,169,2.844593,0,5.539171,0,137.967347,1.378926,0,1
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.560224,0,0.333333,0.666667,0,0.439776,0,0.744111,2,0,600,0,0,2.9,2.436975,1.19,0.840336,1,0.988508,200,157,3,1.668793,0,2.436975,0,4.393333,0.203536,0,1
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328857,2,0,800,0,0,6.095,2.770455,2.2,0.454545,1,0.777218,0,0,3,0.485862,0,2.770455,0,10.425,0.151795,0,1
normalized-anna-10.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,3.763869,10,0,1380,0,0,7.144928,6.643856,3.572464,0.279919,3.321928,0,0,0,6.643856,3.71276,0,2,0,7.144928,0,-1,3.321928
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.501882,0,0.333333,0.666667,0,0.498118,0,0.669444,2,0,1200,0,0,3.316667,2.496863,1.328333,0.752823,1,0.999972,400,397,3,1.030736,0,2.496863,0,5.106667,0.200247,0,1
normalized-army12-21bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.201373,2,0,856,0,0,12.058411,5.478769,2.200935,0.454352,1,2.21476,0,0,144,2.885871,0,5.478769,0,118.088785,1.278587,0,1
normalized-army10-14ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.280994,2,0,632,0,0,7.696203,5.109244,1.506329,0.663866,1,2.096156,0,0,100,1.867368,0,5.109244,0,76.316456,1.31853,0,1
normalized-army12-21ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.272422,2,0,856,0,0,8.056075,5.354037,1.504673,0.664596,1,2.07194,0,0,144,1.810577,0,5.354037,0,110.682243,1.562104,0,1
