@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC

@DATA
1-insertions-6-5.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,184,0,0,0,20.879736,184,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,184,5,184,184,20.879736,5,184,5
1-insertions-6-6.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,169,0,0,0,20.879736,169,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,169,6,169,169,20.879736,6,169,6
1-insertions-6-7.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,154,0,0,0,20.879736,154,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,154,7,154,154,20.879736,7,154,7
2-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0,0.038462,0.038462,201,0.148669,263,0,0,0.063836,7.730769,263,0.096154,0,0.288462,0.134615,0.331856,0.058075,0.288462,263,4,263,263,7.730769,4,263,4
2-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0,0.038462,0.038462,201,0.148669,184,0,0,0.063836,7.730769,184,0.096154,0,0.288462,0.134615,0.331856,0.058075,0.288462,184,5,184,184,7.730769,5,184,5
2-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,263,0,0,0.021882,15.292453,263,0.04717,0,0.259434,0.061321,0.205428,0.038637,0.259434,263,4,263,263,15.292453,4,263,4
2-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,184,0,0,0.021882,15.292453,184,0.04717,0,0.259434,0.061321,0.205428,0.038637,0.259434,184,5,184,184,15.292453,5,184,5
2-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,169,0,0,0.021882,15.292453,169,0.04717,0,0.259434,0.061321,0.205428,0.038637,0.259434,169,6,169,169,15.292453,6,169,6
2-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,263,0,0,0.007851,28.640845,263,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,263,4,263,263,28.640845,4,263,4
2-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,184,0,0,0.007851,28.640845,184,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,184,5,184,184,28.640845,5,184,5
2-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,169,0,0,0.007851,28.640845,169,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,169,6,169,169,28.640845,6,169,6
2-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,154,0,0,0.007851,28.640845,154,0.021127,0,0.252347,0.029343,0.122158,0.023979,0.252347,154,7,154,154,28.640845,7,154,7
2-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0,0.054054,0.054054,72,0.105186,324,0,0,0,3.891892,324,0.081081,0,0.243243,0.108108,0.458347,0.025743,0.243243,324,3,324,324,3.891892,3,324,3
2-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0,0.054054,0.054054,72,0.105186,263,0,0,0,3.891892,263,0.081081,0,0.243243,0.108108,0.458347,0.025743,0.243243,263,4,263,263,3.891892,4,263,4
2-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,324,0,0,0,7.261745,324,0.033557,0,0.248322,0.053691,0.340533,0.021708,0.248322,324,3,324,324,7.261745,3,324,3
2-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,263,0,0,0,7.261745,263,0.033557,0,0.248322,0.053691,0.340533,0.021708,0.248322,263,4,263,263,7.261745,4,263,4
2-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0,0.013423,0.013423,541,0.048737,184,0,0,0,7.261745,184,0.033557,0,0.248322,0.053691,0.340533,0.021708,0.248322,184,5,184,184,7.261745,5,184,5
2-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,324,0,0,0,13.18593,324,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,324,3,324,324,13.18593,3,324,3
2-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,263,0,0,0,13.18593,263,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,263,4,263,263,13.18593,4,263,4
2-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,184,0,0,0,13.18593,184,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,184,5,184,184,13.18593,5,184,5
2-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0,0.00335,0.00335,3936,0.022087,169,0,0,0,13.18593,169,0.015075,0,0.249581,0.020101,0.229052,0.014236,0.249581,169,6,169,169,13.18593,6,169,6
3-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0,0.025,0.025,346,0.108125,184,0,0,0.051742,8.65,184,0.075,0,0.2375,0.0875,0.3083,0.049847,0.2375,184,5,184,184,8.65,5,184,5
3-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0,0.025,0.025,346,0.108125,169,0,0,0.051742,8.65,169,0.075,0,0.2375,0.0875,0.3083,0.049847,0.2375,169,6,169,169,8.65,6,169,6
3-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,184,0,0,0.01485,17.402469,184,0.02716,0,0.207407,0.037037,0.185323,0.026781,0.207407,184,5,184,184,17.402469,5,184,5
3-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,169,0,0,0.01485,17.402469,169,0.02716,0,0.207407,0.037037,0.185323,0.026781,0.207407,169,6,169,169,17.402469,6,169,6
3-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0,0.004938,0.004938,3524,0.042969,154,0,0,0.01485,17.402469,154,0.02716,0,0.207407,0.037037,0.185323,0.026781,0.207407,154,7,154,154,17.402469,7,154,7
3-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,184,0,0,0.004678,33.252217,184,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,184,5,184,184,33.252217,5,184,5
3-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,169,0,0,0.004678,33.252217,169,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,169,6,169,169,33.252217,6,169,6
3-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,154,0,0,0.004678,33.252217,154,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,154,7,154,154,33.252217,7,154,7
3-fullins-5-8.xml.watchless.minion.gz,1,0,0,0.016388,2030,2030,2030,0,0.000985,0.000985,33751,0.01638,136,0,0,0.004678,33.252217,136,0.010345,0,0.201478,0.014286,0.10708,0.013841,0.201478,136,8,136,136,33.252217,8,136,8
3-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.071429,56,56,56,0,0.035714,0.035714,110,0.070153,324,0,0,0,3.928571,324,0.053571,0,0.196429,0.071429,0.453656,0.01844,0.196429,324,3,324,324,3.928571,3,324,3
3-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.071429,56,56,56,0,0.035714,0.035714,110,0.070153,263,0,0,0,3.928571,263,0.053571,0,0.196429,0.071429,0.453656,0.01844,0.196429,263,4,263,263,3.928571,4,263,4
3-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,324,0,0,0,7.44484,324,0.017794,0,0.199288,0.02847,0.334833,0.013027,0.199288,324,3,324,324,7.44484,3,324,3
3-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,263,0,0,0,7.44484,263,0.017794,0,0.199288,0.02847,0.334833,0.013027,0.199288,263,4,263,263,7.44484,4,263,4
3-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.026589,281,281,281,0,0.007117,0.007117,1046,0.026494,184,0,0,0,7.44484,184,0.017794,0,0.199288,0.02847,0.334833,0.013027,0.199288,184,5,184,184,7.44484,5,184,5
3-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,324,0,0,0,13.790896,324,0.006401,0,0.199858,0.01138,0.221368,0.007218,0.199858,324,3,324,324,13.790896,3,324,3
3-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,263,0,0,0,13.790896,263,0.006401,0,0.199858,0.01138,0.221368,0.007218,0.199858,263,4,263,263,13.790896,4,263,4
3-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,184,0,0,0,13.790896,184,0.006401,0,0.199858,0.01138,0.221368,0.007218,0.199858,184,5,184,184,13.790896,5,184,5
3-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.009816,1406,1406,1406,0,0.001422,0.001422,9695,0.009809,169,0,0,0,13.790896,169,0.006401,0,0.199858,0.01138,0.221368,0.007218,0.199858,169,6,169,169,13.790896,6,169,6
4-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.083993,114,114,114,0,0.017544,0.017544,541,0.083256,169,0,0,0.044685,9.491228,169,0.061404,0,0.201754,0.061404,0.289676,0.043477,0.201754,169,6,169,169,9.491228,6,169,6
4-fullins-3-7.xml.watchless.minion.gz,1,0,0,0.083993,114,114,114,0,0.017544,0.017544,541,0.083256,154,0,0,0.044685,9.491228,154,0.061404,0,0.201754,0.061404,0.289676,0.043477,0.201754,154,7,154,154,9.491228,7,154,7
4-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.027976,690,690,690,0,0.002899,0.002899,6650,0.027935,169,0,0,0.011068,19.275362,169,0.018841,0,0.172464,0.021739,0.170563,0.019555,0.172464,169,6,169,169,19.275362,6,169,6
4-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.027976,690,690,690,0,0.002899,0.002899,6650,0.027935,154,0,0,0.011068,19.275362,154,0.018841,0,0.172464,0.021739,0.170563,0.019555,0.172464,154,7,154,154,19.275362,7,154,7
4-fullins-4-8.xml.watchless.minion.gz,1,0,0,0.027976,690,690,690,0,0.002899,0.002899,6650,0.027935,136,0,0,0.011068,19.275362,136,0.018841,0,0.172464,0.021739,0.170563,0.019555,0.172464,136,8,136,136,19.275362,8,136,8
4-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,184,0,0,0.003157,37.291365,184,0.00603,0,0.167631,0.007477,0.27407,0.008725,0.167631,184,5,184,184,37.291365,5,184,5
4-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,169,0,0,0.003157,37.291365,169,0.00603,0,0.167631,0.007477,0.27407,0.008725,0.167631,169,6,169,169,37.291365,6,169,6
4-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,154,0,0,0.003157,37.291365,154,0.00603,0,0.167631,0.007477,0.27407,0.008725,0.167631,154,7,154,154,37.291365,7,154,7
4-fullins-5-8.xml.watchless.minion.gz,1,0,0,0.008997,4146,4146,4146,0,0.000482,0.000482,77305,0.008995,136,0,0,0.003157,37.291365,136,0.00603,0,0.167631,0.007477,0.27407,0.008725,0.167631,136,8,136,136,37.291365,8,136,8
4-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.050633,79,79,79,0,0.025316,0.025316,156,0.049992,324,0,0,0,3.949367,324,0.037975,0,0.164557,0.050633,0.450984,0.013793,0.164557,324,3,324,324,3.949367,3,324,3
4-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.050633,79,79,79,0,0.025316,0.025316,156,0.049992,263,0,0,0,3.949367,263,0.037975,0,0.164557,0.050633,0.450984,0.013793,0.164557,263,4,263,263,3.949367,4,263,4
4-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.015945,475,475,475,0,0.004211,0.004211,1795,0.015911,324,0,0,0,7.557895,324,0.010526,0,0.166316,0.016842,0.331519,0.008453,0.166316,324,3,324,324,7.557895,3,324,3
4-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.015945,475,475,475,0,0.004211,0.004211,1795,0.015911,263,0,0,0,7.557895,263,0.010526,0,0.166316,0.016842,0.331519,0.008453,0.166316,263,4,263,263,7.557895,4,263,4
4-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.015945,475,475,475,0,0.004211,0.004211,1795,0.015911,184,0,0,0,7.557895,184,0.010526,0,0.166316,0.016842,0.331519,0.008453,0.166316,184,5,184,184,7.557895,5,184,5
5-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.067227,154,154,154,0,0.012987,0.012987,792,0.06679,169,0,0,0.039801,10.285714,169,0.051948,0,0.175325,0.045455,0.274114,0.038464,0.175325,169,6,169,169,10.285714,6,169,6
5-fullins-3-7.xml.watchless.minion.gz,1,0,0,0.067227,154,154,154,0,0.012987,0.012987,792,0.06679,154,0,0,0.039801,10.285714,154,0.051948,0,0.175325,0.045455,0.274114,0.038464,0.175325,154,7,154,154,10.285714,7,154,7
5-fullins-3-8.xml.watchless.minion.gz,1,0,0,0.067227,154,154,154,0,0.012987,0.012987,792,0.06679,136,0,0,0.039801,10.285714,136,0.051948,0,0.175325,0.045455,0.274114,0.038464,0.175325,136,8,136,136,10.285714,8,136,8
5-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,169,0,0,0.008712,21.004608,169,0.013825,0,0.147465,0.013825,0.158896,0.014867,0.147465,169,6,169,169,21.004608,6,169,6
5-fullins-4-7.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,154,0,0,0.008712,21.004608,154,0.013825,0,0.147465,0.013825,0.158896,0.014867,0.147465,154,7,154,154,21.004608,7,154,7
5-fullins-4-8.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,136,0,0,0.008712,21.004608,136,0.013825,0,0.147465,0.013825,0.158896,0.014867,0.147465,136,8,136,136,21.004608,8,136,8
5-fullins-4-9.xml.watchless.minion.gz,1,0,0,0.019377,1085,1085,1085,0,0.001843,0.001843,11395,0.019359,96,0,0,0.008712,21.004608,96,0.013825,0,0.147465,0.013825,0.158896,0.014867,0.147465,96,9,96,96,21.004608,9,96,9
abb313GPIA-10.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,104,0,0,0.440231,83.994862,104,0.043674,0,0.076429,0.041105,1.089224,0.012787,0.096981,104,10,104,104,68.53693,10,104,10
abb313GPIA-5.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,184,0,0,0.440231,83.994862,184,0.043674,0,0.076429,0.041105,1.089224,0.012787,0.096981,184,5,184,184,68.53693,5,184,5
abb313GPIA-7.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,154,0,0,0.440231,83.994862,154,0.043674,0,0.076429,0.041105,1.089224,0.012787,0.096981,154,7,154,154,68.53693,7,154,7
abb313GPIA-8.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,136,0,0,0.440231,83.994862,136,0.043674,0,0.076429,0.041105,1.089224,0.012787,0.096981,136,8,136,136,68.53693,8,136,8
abb313GPIA-9.xml.watchless.minion.gz,1,0,0,0.044047,1557,1557,1557,0,0.001285,0.001285,65390,0.044019,96,0,0,0.440231,83.994862,96,0.043674,0,0.076429,0.041105,1.089224,0.012787,0.096981,96,9,96,96,68.53693,9,96,9
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.071919,100,100,100,154,0.029935,0.029935,154,0.0712,273,100,0,0.300758,4.61,114,0.05,0,0.11,0.07,0.796046,0.016204,0.14,131.24026,2,121,136,7.12,2,121,2
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.071717,100,100,100,156,0.029936,0.029936,156,0.071,260,100,0,0.291397,4.67,114,0.05,0,0.09,0.07,0.795805,0.013229,0.11,127.647436,2,121,128,7.1,2,114,2
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.074141,100,100,100,156,0.03,0.03,156,0.0734,257,100,0,0.292261,4.68,114,0.05,0,0.09,0.07,0.795776,0.015951,0.12,126.884615,2,121,128,7.34,2,114,2
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.073333,100,100,100,157,0.03,0.03,157,0.0726,273,0,0,0.283001,4.71,114,0.05,0,0.11,0.07,0.795656,0.01671,0.13,125.949045,2,121,128,7.26,2,114,2
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.082828,100,100,100,157,0.03,0.03,157,0.082,273,0,0,0.256906,4.71,114,0.06,0,0.13,0.08,0.795656,0.019079,0.13,127.726115,2,121,136,8.2,2,114,2
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.078788,100,100,100,150,0.029867,0.029867,150,0.078,273,0,0,0.244708,4.48,114,0.05,0,0.13,0.08,0.796552,0.019131,0.15,136.14,2,121,136,7.8,2,121,2
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.080404,100,100,100,152,0.029934,0.029934,152,0.0796,273,0,0,0.262989,4.55,114,0.05,0,0.1,0.08,0.796287,0.017025,0.12,130.105263,2,121,136,7.96,2,121,2
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.08202,100,100,100,157,0.029873,0.029873,157,0.0812,266,0,0,0.233664,4.69,114,0.06,0,0.12,0.08,0.79571,0.018126,0.14,130.146497,2,121,136,8.12,2,121,2
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.090505,100,100,100,194,0.029948,0.029948,194,0.0896,257,0,0,0.256198,5.81,114,0.07,0,0.11,0.09,0.791291,0.011307,0.11,127.85567,2,121,128,8.96,2,121,2
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.093737,100,100,100,197,0.029898,0.029898,197,0.0928,260,0,0,0.266276,5.89,114,0.07,0,0.12,0.09,0.790977,0.011232,0.12,129.040609,2,121,136,9.28,2,121,2
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.089899,100,100,100,191,0.029948,0.029948,191,0.089,273,100,0,0.240865,5.72,114,0.06,0,0.1,0.09,0.791635,0.01253,0.12,132.303665,2,121,136,8.9,2,121,2
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,0,0,0.093131,100,100,100,195,0.03,0.03,195,0.0922,259,0,0,0.266799,5.85,114,0.07,0,0.12,0.09,0.79115,0.012048,0.12,127.6,2,121,136,9.22,2,121,2
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,0,0,0.104444,100,100,100,196,0.03,0.03,196,0.1034,257,0,0,0.203524,5.88,114,0.07,0,0.12,0.105,0.791037,0.012347,0.12,128.943878,2,121,136,10.34,2,121,2
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,0,0,0.102424,100,100,100,192,0.03,0.03,192,0.1014,273,0,0,0.210251,5.76,114,0.07,0,0.11,0.1,0.791492,0.012571,0.12,128.71875,2,121,136,10.14,2,114,2
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,0,0,0.099798,100,100,100,193,0.029896,0.029896,193,0.0988,266,0,0,0.213915,5.77,114,0.08,0,0.12,0.1,0.791431,0.01227,0.12,128.911917,2,121,136,9.88,2,114,2
