@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE CG_min NUMERIC

@DATA
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0,0.1568,2.1233,0.0001,0.1801,1108.87,0.0001,0.5318,0,0.0002,0.0002,0.0001,18664,1.8479,0.5719,1.7399,2.1745,1.5509,0.0016,0.1751,0.0045,0.2397,95209,1.7304,0.0037,0.196,0.8925,0.0023,0.0807,0.9924,1.1555,?
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0,0.1168,2.0429,0,0.1379,2472.33,0,0.1373,0,0.0001,0.0001,0,54723,1.3113,0.4033,3.7759,2.5669,0.8564,0.0004,0.5,0.001,0.5,318163,1.4221,0.0013,0.172,0.7576,0.0045,0.4008,1,1.1342,?
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0,0.0441,1.302,0,0.0643,3032.83,0,0.1317,0,0.0001,0.0001,0.0001,37512,1.0802,0.3408,1.0597,1.9732,2.1993,0.0031,0.0555,0.0033,0.3082,193019,1.8532,0.0033,0.1943,0.7391,0.0006,0.0399,0.9996,1.06,?
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0,0.2388,3.1522,0,0.1578,2576,0,0.6119,0,0,0,0,68668,0.5994,0.7836,2.5898,2.9225,0.5961,0.0001,0.0307,0.0001,0.1983,447274,0.5438,0.0001,0.1535,0.8261,0.0002,0.0138,0.9846,0.976,0
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.0003,0.147,1.9719,0.0001,0.2553,396.048,0,0.8199,0,0.0003,0.0003,0.0001,13881,1.9974,0.8322,10.0823,2.743,1.4871,0.0014,0.1038,0.0039,0.4592,179278,2.0361,0.0029,0.0774,0.9695,0.0185,0.0669,1,1.819,?
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.0007,0.221,2.8825,0.0005,0.238,25.499,0.0004,0.7019,0,0.0024,0.0024,0.001,1957,1.5188,0.8535,6.4492,3.3061,1.0689,0.0039,0.2276,0.0196,0.4725,17622,1.5715,0.0155,0.1111,0.8592,0.0342,0.0862,0.9927,1.8901,?
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0,0.2625,2.8426,0,0.1638,18164,0,0.7644,0,0,0,0,150440,0.5454,0.8447,0.9868,2.569,0.5132,0,0.0292,0,0.1345,868292,0.5361,0,0.1733,0.8182,0.0001,0.0156,0.9626,1.0373,?
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0,0.0735,1.9442,0.0003,0.1129,447.851,0.0001,0.2087,0,0.0005,0.0005,0.0003,6232,0.7131,0.3782,2.3864,2.357,1.2355,0.0079,0.074,0.0112,0.2875,34035,1.0258,0.0074,0.1831,0.7143,0.0059,0.0377,0.9697,1.2175,0.0001
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.0758,0.3877,1.471,0.0008,0.207,167.75,0.0003,0.8251,0,0.0009,0.0009,0.0004,5295,2.5291,0.8626,0.2585,1.8012,1.1089,0.0104,0.0471,0.0107,0.1496,63826,2.8796,0.006,0.083,0.9432,0.0064,0.0137,0.9787,2.0685,?
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829,0,0.1565,2788.8,0,0.6568,0,0.0001,0.0001,0,44244,0.4451,0.8079,2.1373,2.733,0.4511,0.0001,0.0322,0.0002,0.2053,248601,0.4571,0.0002,0.178,0.7647,0.0003,0.0155,0.9829,1.0132,0
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552,665.833,0,0.6706,0,0.0001,0.0001,0.0001,34133,0.4013,0.8056,2.1871,2.6926,0.4251,0.0002,0.0323,0.0002,0.2037,185161,0.4279,0.0002,0.1843,0.7333,0.0004,0.0158,0.9902,1.006,0
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,0.5002,4.0238,0,0.2372,116496,0,0.9971,0,0,0,0,188087,9.1027,0.9996,0.0753,4.077,1.8279,0.0033,0.1988,0.0068,0.5,4281700,7.206,0.0155,0.0439,0.9852,0.0035,0.0485,1,0.5717,?
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0,0.5141,4.0371,0,0.3273,61053,0,0.9995,0,0,0,0,81160,3.3798,1,0.7117,5.2307,2.3481,0.0011,0.3607,0.0043,0.5,4556456,2.4637,0.0033,0.0178,0.9849,0.0043,0.0967,1,0.7405,?
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0,0.1496,3.0198,0,0.1655,2460.5,0,0.4015,0,0.0001,0.0001,0,44729,2.5235,0.8011,5.2587,3.1072,1.9106,0.0045,0.1094,0.0097,0.4377,277657,1.6879,0.008,0.1611,1,0.004,0.0459,1,1.2399,?
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0,0.22,3.5936,0,0.1598,2466.5,0,0.6558,0,0.0001,0.0001,0,53933,1.2092,0.8338,2.2488,3.62,1.0416,0.0004,0.0871,0.0008,0.3401,396985,1.2791,0.0008,0.1359,0.7333,0.0005,0.0323,1,1.6117,?
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829,0,0.1565,2918.2,0,0.6567,0,0.0001,0.0001,0,44244,0.4451,0.8081,2.1373,2.733,0.4511,0.0001,0.0321,0.0002,0.2055,248601,0.4571,0.0002,0.178,0.7647,0.0003,0.0155,0.9829,1.0132,0
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0,0.2652,2.8925,0,0.1624,4009,0,0.744,0,0,0,0,105677,0.4866,0.8376,1.0622,2.5651,0.4772,0,0.0308,0.0001,0.1485,590731,0.4875,0.0001,0.1789,0.7895,0.0001,0.0161,0.9451,1.0274,0
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0,0.0915,1.6082,0,0.0874,1666.67,0,0.156,0,0.0001,0.0001,0.0001,29820,3.0847,0.1919,3.0716,1.7815,2.1576,0.0038,0.0791,0.0248,1,136385,2.1243,0.0062,0.2186,1,0.0024,0.0615,1,0.7897,?
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0,0.5141,4.0371,0,0.3273,54249,0,0.9995,0,0,0,0,81160,3.3798,1,0.7117,5.2304,2.3481,0.0011,0.3607,0.0043,0.5,4556496,2.4637,0.0033,0.0178,0.9848,0.0043,0.0967,1,0.7405,?
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0,0.0509,1.782,0.0032,0.0691,29.6313,0.0023,0.0252,0.0009,0.0078,0.0078,0.0044,450,0.291,0.1022,0.5733,2.6635,0.28,0.0059,0.1317,0.0154,0.135,2204,0.3008,0.0068,0.2042,0.25,0.0111,0.0676,0.3961,0.8766,0.0041
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0,0.061,2.0203,0,0.0712,3287.33,0,0.1209,0,0.0001,0.0001,0,57963,0.6056,0.2679,2.3211,2.7282,1.0087,0.0003,0.1155,0.0005,0.438,279680,0.8703,0.0005,0.2072,0.8261,0.0009,0.0543,1,1.001,0
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0,0.0501,1.7705,0.0024,0.0683,38.9153,0.0017,0.0252,0.0007,0.0059,0.0059,0.0033,602,0.2829,0.1023,0.515,2.6419,0.2773,0.0044,0.1317,0.0114,0.135,2976,0.2931,0.005,0.2023,0.25,0.0083,0.068,0.3961,0.8682,0.003
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.0003,0.4263,1.6649,0,0.326,1196960,0,0.9835,0,0,0,0,547237,1.9072,0.9919,0.2666,1.7591,0.6947,0.0004,0.0733,0.0004,0.5,9579475,2.1746,0.0006,0.0571,0.9938,0.0024,0.0354,0.999,0.1789,?
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.2637,2.898,0,0.1634,12347,0,0.7566,0,0,0,0,124771,0.5067,0.8425,1.092,2.5698,0.4918,0,0.0301,0.0001,0.1588,708950,0.5009,0.0001,0.176,0.8,0.0001,0.0158,0.9626,1.0292,0
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0,0.0726,2.7564,0,0.0605,263404,0,0.5335,0,0,0,0,453566,0.8793,0.6818,0.0308,4.0874,0.942,0,0.3457,0.0001,0.5,4453032,0.7653,0.0001,0.1019,0.5,0.0002,0.2415,1,0.8757,?
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0,0.2625,2.821,0,0.1635,11553,0,0.7541,0,0,0,0,129041,0.5444,0.8379,0.9554,2.5548,0.5111,0,0.0298,0.0001,0.1312,742042,0.5372,0.0001,0.1739,0.8182,0.0001,0.0159,0.9464,1.0378,?
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552,1266.6,0,0.6706,0,0.0001,0.0001,0.0001,34133,0.4013,0.8056,2.1871,2.6926,0.4251,0.0002,0.0323,0.0002,0.2037,185161,0.4279,0.0002,0.1843,0.7333,0.0004,0.0158,0.9902,1.006,0
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,0,0.2178,3.2658,0,0.1921,23017.7,0,0.7295,0,0.0001,0.0001,0,67417,3.4805,0.9999,6.9416,3.2201,3.268,0.0018,0.4009,0.0049,0.5,440409,2.7759,0.0052,0.1531,0.9858,0.0096,0.2014,1,1.6907,?
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0,0.3373,4.0219,0,0.2414,842493,0,0.9811,0,0,0,0,199855,3.6567,0.9995,0.1772,4.8329,3.4105,0.0059,0.5,0.0062,0.5,7992369,3.7814,0.0062,0.025,0.9618,0.0008,0.1099,1,0.9077,?
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0,0.0205,0.9718,0.0001,0.0385,2521.29,0,0.0104,0,0.0001,0.0001,0.0001,26689,0.6085,0.0878,1.5064,2.3627,0.4883,0.0002,0.0485,0.0005,0.1579,157349,0.5909,0.0002,0.1696,0.3333,0.0002,0.0312,0.6755,0.9018,0
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,0,0.061,1.6455,0.0001,0.1052,1051.94,0,0.0635,0,0.0003,0.0003,0.0001,14271,1.2728,0.2249,8.085,2.6941,1.2705,0.0008,0.084,0.0022,0.26,98894,1.0073,0.0014,0.1443,0.9403,0.0046,0.037,0.9845,1.1992,?
SAT_RACE2008/post-c32s-ss-8.cnf,1,0,0.19,1.76,0.0001,0.124,483.192,0.0001,0.6957,0,0.0002,0.0002,0.0001,13761,1.065,0.7286,2.9061,2.1911,0.8326,0.002,0.1335,0.003,0.217,65966,1.2377,0.0089,0.2086,0.9592,0.0073,0.0658,0.9901,1.0619,0.0001
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0,0.0314,1.8364,0,0.0506,7131.5,0,0.1663,0,0.0001,0.0001,0.0001,31688,1.515,0.4163,0.0891,4.8535,1.116,0.0006,0.1562,0.0011,0.3768,697544,2.39,0.0008,0.0454,0.5556,0.0003,0.0436,1,0.627,?
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,0,0.3658,3.1041,0.0002,0.1635,405.184,0,0.6832,0,0.0004,0.0004,0.0002,8333,1.4973,0.7361,3.1589,3.0333,1.9526,0.0039,0.126,0.0041,1,73221,1.2379,0.0116,0.1138,1,0.0012,0.0629,1,1.2942,?
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,0,0.1729,2.7152,0,0.1496,1965,0,0.6495,0,0.0001,0.0001,0.0001,39231,1.548,0.7691,5.0535,2.9175,1.4393,0.0014,0.1496,0.0031,0.4628,302951,1.923,0.002,0.1295,0.9732,0.0009,0.0744,1,1.6396,?
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0,0.1711,2.9052,0.0001,0.1516,971.667,0,0.6206,0,0.0002,0.0002,0.0001,22468,1.5143,0.7406,4.8307,3.0647,1.4341,0.0041,0.1473,0.0086,0.443,169202,1.8133,0.0065,0.1328,0.9487,0.0016,0.0786,1,1.6207,?
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.6857,0.5229,0.3614,0.0045,0.0021,18.5919,0.0013,0.6934,0.0044,0.0046,0.0046,0.0035,576,0.0058,0.6934,0,0.7668,0.086,0.0045,0,0.0046,0,67872,0.0058,0.0026,0.0085,0.5333,0.0417,0,0.704,0.6749,?
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0,0.1386,2.4435,0.0006,0.1231,63.1886,0.0013,0.8851,0.0001,0.0015,0.0015,0.0009,2114,1.552,0.9142,0.1466,2.6774,0.5487,0.0072,0.0259,0.016,0.0827,14244,1.6283,0.0099,0.1484,0.7273,0.0114,0.0178,0.9762,0.9445,0.0005
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.0096,0.2882,2.6677,0.0035,0.2792,357.75,0.0001,0.5448,0.0001,0.0056,0.0056,0.0026,763,1.086,0.592,0.675,4.1294,0.9001,0.0096,0.0232,0.0189,0.1719,67183,0.8587,0.0068,0.0114,0.9284,0.0315,0.0054,0.9638,0.5773,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,0,0.1777,3.3454,0.0002,0.1366,474.197,0.0001,0.6283,0,0.0004,0.0004,0.0002,8543,0.9423,0.8108,2.6433,3.4864,0.7595,0.002,0.0849,0.0042,0.3221,54690,0.8578,0.0039,0.1562,0.6923,0.0014,0.0331,0.9835,1.5217,0.0001
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0,0.0227,1.6787,0,0.0395,1586,0,0.1451,0,0.0001,0.0001,0.0001,31632,1.4593,0.4137,0.0534,4.9338,1.0746,0.0006,0.1493,0.0011,0.3432,760817,2.4028,0.0007,0.0416,0.5,0.0003,0.0397,1,0.6182,?
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,0,0.1757,2.9405,0.0001,0.1548,1030.76,0,0.6132,0,0.0002,0.0002,0.0001,16544,1.3359,0.7318,4.7944,3.1408,1.2956,0.0027,0.1482,0.0067,0.439,123377,1.5948,0.007,0.1341,0.9658,0.002,0.079,1,1.6385,?
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,0,0.2463,3.0643,0,0.1595,52781,0,0.6454,0,0,0,0,89874,0.5586,0.8105,1.9531,2.8214,0.5364,0.0001,0.0317,0.0001,0.2021,551972,0.5332,0.0001,0.1628,0.8182,0.0001,0.0148,0.9499,1.021,0
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0,0.1969,2.8303,0,0.1523,2192.5,0,0.6814,0,0.0001,0.0001,0,56393,1.7985,0.8418,5.5414,2.9222,1.6184,0.0016,0.1481,0.0034,0.435,456317,2.1584,0.0019,0.1236,0.9699,0.0007,0.0721,1,1.7163,?
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,0,0.1862,2.8716,0.0001,0.136,695.923,0,0.2098,0,0.0002,0.0002,0.0001,17498,1.9496,0.4758,3.0739,2.8718,1.0773,0.0127,0.3185,0.0197,0.9998,80000,1.5718,0.0045,0.2187,1,0.005,0.1651,1,1.3846,?
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0,0.4607,4.0488,0,0.2587,81595,0,0.9969,0,0,0,0,136989,7.5865,0.9999,0.1264,4.3628,1.3152,0.0094,0.3485,0.0187,0.5,3193200,5.2458,0.0103,0.0429,1,0.0265,0.0854,1,0.9783,?
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0,0.2707,2.8848,0,0.1602,3268.5,0,0.7517,0,0,0,0,76968,0.4219,0.834,1.1328,2.5265,0.4483,0.0001,0.0327,0.0001,0.1341,408968,0.4355,0.0001,0.1882,0.7333,0.0001,0.0169,0.9361,1.0079,0
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,0,0.0949,2.6334,0.0001,0.1396,338.222,0,0.0659,0,0.0014,0.0014,0.0004,4925,2.0992,0.2531,55.6739,3.9039,0.923,0.0007,0.4164,0.017,0.5,255997,1.6196,0.0012,0.0192,0.8,0.013,0.2,0.9966,1.0838,?
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.0006,0.2881,2.6131,0.0019,0.2849,169.5,0,0.5652,0,0.0031,0.0031,0.0014,1435,1.1579,0.7069,0.6139,4.1497,0.9829,0.0058,0.0175,0.0114,0.1933,215680,0.9143,0.0038,0.0067,0.9392,0.023,0.0052,0.9718,0.4562,?
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0,0.0496,1.7617,0.0019,0.0678,48.3278,0.0013,0.0252,0.0005,0.0047,0.0047,0.0027,754,0.2778,0.1024,0.4801,2.6242,0.2757,0.0035,0.1317,0.0091,0.135,3748,0.2743,0.004,0.2012,0.25,0.0066,0.0682,0.3961,0.863,0.0024
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,0,0.4002,4.2573,0.0004,0.312,671.727,0,0.8752,0,0.0005,0.0005,0.0002,10611,1.8552,0.9552,11.0477,5.724,1.6992,0.0052,0.4541,0.0055,0.5,453005,2.5013,0.0047,0.0234,0.9909,0.0557,0.1515,1,1.4949,?
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0,0.0776,2.0475,0.0011,0.0901,67.1916,0.001,0.1759,0.0004,0.0026,0.0026,0.0017,1165,0.2991,0.3456,0.4541,2.4287,0.5956,0.005,0.072,0.0052,0.3218,4834,0.5948,0.0072,0.241,0.5,0.0215,0.0486,0.8527,0.9511,0.001
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,0,0.2635,2.8612,0,0.1632,17977,0,0.7644,0,0,0,0,149672,0.5262,0.845,0.9945,2.5867,0.4989,0,0.0292,0,0.1344,854488,0.5202,0,0.1752,0.8095,0.0001,0.0157,0.9626,1.0364,?
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552,753.333,0,0.6706,0,0.0001,0.0001,0.0001,34133,0.4013,0.8056,2.1871,2.6926,0.4251,0.0002,0.0323,0.0002,0.2037,185161,0.4279,0.0002,0.1843,0.7333,0.0004,0.0158,0.9902,1.006,0
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.1556,0.0023,0.0896,0.0001,0.0352,1373.16,0,0.4906,0,0.0004,0.0004,0.0002,8694,0.8492,0.6,0.1567,4.8554,0.8254,0.0013,0.015,0.002,1,269998,0.9566,0.0035,0.0322,1,0.0016,0.0122,1,0.6022,?
