@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC

@DATA
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-25s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-44s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.556328,0,0.333333,0.666667,0
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.501253,0,0.333333,0.666667,0
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.55788,0,0.333333,0.666667,0
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.502513,0,0.333333,0.666667,0
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.568182,0,0.333333,0.666667,0
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-43s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.252845,0,0.333333,0.666667,0
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.501253,0,0.333333,0.666667,0
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army8-9ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army13-24bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.560224,0,0.333333,0.666667,0
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-anna-10.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.501882,0,0.333333,0.666667,0
normalized-army12-21bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army10-14ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army12-21ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.371402,0,0.333333,0.666667,0
normalized-army10-14bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.251731,0,0.333333,0.666667,0
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-anna-9.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army9-12ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army9-12bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-22s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army13-24ls.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.252685,0,0.333333,0.666667,0
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-army11-17bt.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-anna-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0.772727,0,0,0,1,0,102
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.059133,0,0.227752,0,0.214141,0.785859,101
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0.790698,0,0,0,1,0,136
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0.793103,0,0,0,1,0,138
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.058697,0,0.22486,0,0.212991,0.787009,136
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.059227,0,0.224034,0,0.21267,0.78733,138
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.052395,0,0.212575,1,0.198872,0.801128,140
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.060432,0,0.229819,1,0.212991,0.787009,137
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.055714,0,0.220008,0,0.206745,0.793255,137
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0.793103,0,0,0,1,0,138
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.054632,0,0.213381,1,0.207353,0.792647,138
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0.786982,0,0,0,1,0,133
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.055984,0,0.218256,0,0.207658,0.792342,138
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0.795455,0,0,0,1,0,140
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.062216,0,0.23297,2,0.215596,0.784404,137
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.061638,0,0.234131,1,0.216923,0.783077,134
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.057442,0,0.221803,0,0.210448,0.789552,137
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.055993,0,0.220241,0,0.209821,0.790179,135
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0.79661,0,0,0,1,0,141
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.056284,0,0.224714,0,0.209821,0.790179,133
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.056355,0,0.219424,0,0.204348,0.795652,141
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.058874,0,0.22684,0,0.21203,0.78797,136
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.059605,0,0.2247,0,0.21203,0.78797,139
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.056931,0,0.221535,1,0.207965,0.792035,138
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.055533,0,0.219718,0,0.20524,0.79476,138
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0.791908,0,0,0,1,0,137
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.056962,0,0.224473,0,0.20951,0.79049,135
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0.790698,0,0,0,1,0,136
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0.791908,0,0,0,1,0,137
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0.793103,0,0,0,1,0,138
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.054308,0,0.219682,0,0.207658,0.792342,133
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0.790698,0,0,0,1,0,136
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0.793103,0,0,0,1,0,138
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.059585,0,0.22582,1,0.212349,0.787651,138
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.063226,0,0.235704,0,0.217593,0.782407,136
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.062557,0,0.231371,0,0.218944,0.781056,136
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0.794286,0,0,0,1,0,139
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.058849,0,0.225586,0,0.210448,0.789552,138
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.059453,0,0.225834,0,0.210762,0.789238,139
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0.794286,0,0,0,1,0,139
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0.794286,0,0,0,1,0,139
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.055717,0,0.22079,0,0.209821,0.790179,134
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0,0,0.053478,56,0.117216,0.882784,0
normalized-bqwh-18-141-74_ext.xml.mzn_AND_NODATA,1,0.04937,0,0.201331,0,0.196927,0.803073,141
normalized-bqwh-18-141-58_glb.xml.mzn_AND_NODATA,1,0.791908,0,0,0,1,0,137
normalized-bqwh-18-141-82_glb.xml.mzn_AND_NODATA,1,0.795455,0,0,0,1,0,140
normalized-bqwh-18-141-61_ext.xml.mzn_AND_NODATA,1,0.057236,0,0.22036,0,0.207353,0.792647,140
normalized-bqwh-18-141-3_glb.xml.mzn_AND_NODATA,1,0.794286,0,0,0,1,0,139
normalized-bqwh-18-141-55_ext.xml.mzn_AND_NODATA,1,0.062724,0,0.229391,0,0.215926,0.784074,140
normalized-bqwh-15-106-14_ext.xml.mzn_AND_NODATA,1,0.049805,0,0.205078,0,0.201521,0.798479,102
normalized-bqwh-18-141-41_ext.xml.mzn_AND_NODATA,1,0.061243,0,0.230666,0,0.214612,0.785388,137
normalized-bqwh-18-141-9_glb.xml.mzn_AND_NODATA,1,0.791908,0,0,0,1,0,137
normalized-bqwh-18-141-77_ext.xml.mzn_AND_NODATA,1,0.054902,0,0.215294,1,0.204348,0.795652,140
normalized-bqwh-18-141-90_ext.xml.mzn_AND_NODATA,1,0.064114,0,0.234317,0,0.217257,0.782743,139
normalized-bibd-22-22-7-7-2_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-42_ext.xml.mzn_AND_NODATA,1,0.059053,0,0.227095,1,0.212349,0.787651,136
normalized-C1-1-20.xml.mzn_AND_NODATA,1,0,0,0.758621,0,0.138047,0.861953,0
normalized-C1-2-20.xml.mzn_AND_NODATA,1,0,0,0.76087,0,0.130827,0.869173,0
normalized-bqwh-18-141-20_glb.xml.mzn_AND_NODATA,1,0.79661,0,0,0,1,0,141
normalized-bqwh-18-141-83_ext.xml.mzn_AND_NODATA,1,0.062044,0,0.232664,2,0.21659,0.78341,136
normalized-bqwh-18-141-90_glb.xml.mzn_AND_NODATA,1,0.794286,0,0,0,1,0,139
normalized-bqwh-18-141-47_ext.xml.mzn_AND_NODATA,1,0.058403,0,0.222269,0,0.210448,0.789552,139
normalized-bqwh-18-141-71_ext.xml.mzn_AND_NODATA,1,0.057676,0,0.224343,1,0.210448,0.789552,136
normalized-4-fullins-5-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-block.xml.mzn_AND_NODATA,1,0.000438,0,0.515344,0,0.17933,0.82067,2
normalized-bibd-8-98-49-4-21_glb.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-bqwh-18-141-98_ext.xml.mzn_AND_NODATA,1,0.060992,0,0.229048,0,0.21267,0.78733,139
