@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC

@DATA
aim-100-6_0-yes1-4-90-shuffled,1,2.952555,2135,0.369852,822,361,0.500412,0.668043
aim-200-1_6-yes1-2-90-shuffled,1,1.762467,1193,0.360387,762,281,0.503351,0.670829
aim-200-1_6-yes1-4-90-shuffled,1,1.757853,1188,0.359643,764,282,0.509308,0.6715
aim-200-2_0-yes1-2-90-shuffled,1,1.971564,1469,0.360961,844,322,0.504505,0.669618
aim-200-3_4-yes1-1-90-shuffled,1,2.479893,2431,0.367207,1119,459.5,0.505586,0.668675
aim-200-3_4-yes1-4-90-shuffled,1,2.475045,2453,0.367398,1122,461,0.50018,0.668191
aim-50-1_6-yes1-1-00-shuffled,1,1.683453,431,0.262821,278,114,0.549145,0.692308
aim-50-1_6-yes1-1-90-shuffled,1,1.771277,296,0.369369,188,69,0.501502,0.671371
aim-50-1_6-yes1-2-00-shuffled,1,1.679856,428,0.246253,278,114,0.537473,0.692878
aim-50-1_6-yes1-2-50-shuffled,1,1.715517,359,0.288945,232,91,0.515075,0.683849
aim-50-1_6-yes1-3-00-shuffled,1,1.676259,421,0.248927,278,114,0.555794,0.693452
aim-50-1_6-yes1-4-50-shuffled,1,1.716814,352,0.31701,226,88,0.525773,0.683099
aim-50-1_6-yes1-4-90-shuffled,1,1.760638,295,0.371601,188,69,0.501511,0.672764
aim-50-2_0-yes1-1-90-shuffled,1,1.971429,363,0.363855,210,80,0.510843,0.668821
aim-50-2_0-yes1-2-50-shuffled,1,1.896825,422,0.3159,252,101,0.541841,0.680912
aim-50-2_0-yes1-3-90-shuffled,1,1.980952,366,0.362981,210,80,0.504808,0.670968
aim-50-3_4-yes1-2-90-shuffled,1,2.492806,604,0.366522,278,114,0.505051,0.668919
aim-50-3_4-yes1-3-90-shuffled,1,2.485714,607,0.363506,280,115,0.50431,0.669231
aim-50-6_0-yes1-3-50-shuffled,1,2.851259,1093,0.358974,437,193.5,0.513622,0.669533
aim-50-6_0-yes1-4-90-shuffled,1,2.965686,1062,0.371594,408,179,0.500413,0.667402
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125,4998,0.090828,3041,589,0.520317,0.750112
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986,13732,0.12517,7349,1185.666667,0.508913,0.750041
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482,8796,0,7543,7543,0.581874,0.700244
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526,25906,0.049117,14383,155.347826,0.515498,0.74272
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705,2082,0.018382,1761,41.97561,0.564706,0.731461
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119,8668,0.050611,5509,67.024691,0.5274,0.74122
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149,6298,0.046998,4185,40.86,0.527745,0.748054
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899,57332,0.049839,29335,201.317241,0.50619,0.746325
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961,24442,0.049241,13241,89.69863,0.509098,0.74823
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266,71893,0.054378,35747,152.424893,0.502997,0.749035
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591,7254,0.04504,4665,41.807339,0.520087,0.749726
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247,0.016249,1855,55.242424,0.551117,0.733505
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669,0.045244,13063,133.680412,0.510326,0.745358
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522,0.029851,2079,34.254237,0.543881,0.747278
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801,0.049673,13395,90.753425,0.508017,0.749283
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733,0.055938,24405,127.452632,0.505901,0.749142
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741,0.037623,2273,25.137931,0.537077,0.759106
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159,0.057064,49565,142.669565,0.500587,0.750953
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307,0.073596,2737,652,0.514998,0.750131
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324,0.05735,5389,59.561798,0.524501,0.739896
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089,0.053099,29297,189.246753,0.505029,0.745819
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939,0.050238,4551,37.576271,0.51707,0.749346
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851,0.061688,13923,70.040816,0.505452,0.749694
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335,6553,0.054383,4341,37.767857,0.526159,0.748263
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.440566,24069,0.064824,13065,69.247312,0.51017,0.749201
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.676058,72483,0.06941,35991,120.185185,0.503655,0.749572
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.748267,119519,0.070741,57835,154.892183,0.501827,0.749675
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.681284,76800,0.057153,38037,147.007782,0.503088,0.749009
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.588671,2714,0.045529,2295,20.06422,0.53401,0.761487
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.155031,9204,0.055619,5715,34.067485,0.513884,0.755027
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.792484,144924,0.066565,69243,141.184805,0.499798,0.750948
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.542839,17857,0.115635,9349,1513.166667,0.503302,0.750032
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.220938,7796,0,7183,7183,0.599495,0.683448
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1.359384,1880,0.021311,1689,38.302326,0.57623,0.722922
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,2.536948,51067,0.072795,26483,138.389474,0.508388,0.745666
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.716683,4211,0.053165,3099,45.268657,0.54358,0.732984
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.346722,1901,0.015498,1693,57.413793,0.583605,0.714286
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.40303,22353,0.064094,12277,68.761364,0.51154,0.74806
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.931449,5917,0.059011,3997,35.678899,0.528422,0.746182
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.523114,2337,0.053035,2055,16.878261,0.542173,0.76416
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.095219,7839,0.067691,4999,28.069767,0.516708,0.756245
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,2.675102,34830,0.151751,17347,2118.5,0.501541,0.750016
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1.637125,4028,0.037722,3103,62.346939,0.523387,0.729675
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,2.306727,21383,0.050159,12115,123.907216,0.505741,0.742455
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,2.485384,41053,0.052765,21723,167.403101,0.50273,0.744772
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.448062,41223,0.059641,22055,172.669291,0.505357,0.74363
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.207306,12724,0.051531,7583,61.677686,0.50721,0.746566
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,2.596324,50824,0.05711,25949,121.985782,0.500827,0.748495
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,1.992324,8020,0.064395,5211,55.043011,0.522971,0.740514
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.581318,60868,0.085862,31143,133.822511,0.505087,0.746897
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,2.298831,14386,0.060657,8299,51.866242,0.508233,0.749803
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.637466,55453,0.068674,27967,101.072993,0.501852,0.749903
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.688829,75190,0.069886,37211,117.888179,0.500977,0.749918
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.72763,97951,0.070803,47799,134.795455,0.500329,0.749928
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.757931,123736,0.071521,59731,151.767263,0.49983,0.749936
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.375499,1869,0.04318,1755,22.413333,0.547215,0.746906
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.933718,5862,0.059374,3983,34.571429,0.52257,0.748494
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.602547,48482,0.075033,24735,94.138462,0.504025,0.749563
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.12507,8481,0.058414,5341,32.3875,0.510661,0.755357
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,2.649269,52551,0.067441,26479,82.009404,0.501297,0.751715
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,2.736275,51396,0.133358,25045,2735.666667,0.499912,0.750011
BLOCKS3i.5.3-shuffled,1,12.594406,1989,0.049447,286,141,0.44018,0.647492
BLOCKS3ii.5.2-shuffled,1,9.592199,2044,0.052826,282,139,0.494644,0.569954
BLOCKS3iii.5-shuffled,1,4.996094,1679,0.077929,256,126,0.413624,0.421973
BLOCKS4ii.7.2-shuffled,1,13.602186,12262,0.117033,915,454,0.354157,0.442981
BLOCKS4iii.7-shuffled,1,7.433918,10635,0.155799,855,424,0.251172,0.307068
blocks_enc_2_b3_ser--opt-9_-shuffled,1,9.261161,4472,0.074396,448,222,0.466005,0.432458
blocks_enc_2_b4_ser--opt-26_-shuffled,1,11.868551,54618,0.103973,3043,1518,0.309172,0.309212
c1_BMC_p1_k2048-shuffled,1,2.816883,4602842,0.033579,2202778,1101387,0.790047,0.950659
c1_BMC_p2_k1024-shuffled,1,2.913312,2302874,0.066083,1112282,556139,0.77792,0.95266
c1_BMC_p2_k128-shuffled,1,4.088913,290402,0.431892,158098,79047,0.641429,0.969804
c1_BMC_p2_k8-shuffled,1,5.669493,41747,0.783066,28659,14328,0.448856,0.984751
c2_Debug_s5_f1_e1_v3-shuffled,1,16.391092,38731,2.874489,64348,21446,0.101979,0.971799
c3_BMC_p1_k256-shuffled,1,4.03651,73224,0.323326,49931,24963.5,0.634249,1.050977
c3_BMC_p2_k1024-shuffled,1,3.30486,290808,0.091591,184091,92043.5,0.714365,1.068689
c3_BMC_p2_k2048-shuffled,1,3.170664,580920,0.046834,362971,181483.5,0.729838,1.072911
c3_BMC_p2_k512-shuffled,1,3.562171,145752,0.175399,94651,47323.5,0.68539,1.06156
c3_Debug_s3_f2_e2_v2-shuffled,1,5.093693,3118513,0.007205,578132,289060.5,0.025715,0.476536
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.630282,1057,0.015983,568,278,0.638638,0.829539
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.630931,1058,0.015961,569,278.5,0.639139,0.830744
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.709949,1146,0.001289,593,296,0.640232,0.823258
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.710438,1147,0.001288,594,296.5,0.641339,0.824373
C499.blif_0.10_0.20_0_0_inp_exact,1,3.147903,1780,0.015643,906,89.4,0.754791,0.889582
C499.blif_0.10_0.20_0_0_out_exact,1,3.201671,1644,0.013372,838,413,0.749687,0.888705
C499.blif_0.10_0.20_0_1_out_exact,1,3.202864,1644,0.013372,838,413,0.749687,0.889331
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.231803,1786,0.001547,893,446,0.7471,0.884462
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,3.237345,1778,0.001552,889,444,0.746315,0.884178
c4_BMC_p1_k1024-shuffled,1,2.914502,24622,0.071273,16784,8390,0.712275,1.049428
c4_BMC_p1_k2048-shuffled,1,2.818157,49198,0.036263,33232,16614,0.724213,1.051749
c4_BMC_p1_k512-shuffled,1,3.101519,12334,0.137783,8560,4278,0.689598,1.04536
c4_BMC_p2_k2048-shuffled,1,2.818157,49198,0.036263,33232,16614,0.724213,1.051749
c4_Debug_s3_f1_e1_v3-shuffled,1,76.384183,1388,5.989524,50325,25156.5,0.001866,0.967399
c4_Debug_s3_f1_e2_v3-shuffled,1,76.384362,1387,5.989524,50325,25156.5,0.001868,0.967404
c4_Debug_s3_f2_e1_v3-shuffled,1,8.395476,623110,0.078323,54375,27181.5,0.106721,0.379015
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,2.71348,11468,0.028519,5497,337.5,0.592788,0.796455
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.734222,11137,0.027762,5324,2614.5,0.585606,0.793211
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,2.71335,11469,0.028515,5498,337.5625,0.592775,0.796476
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.734085,11138,0.027758,5325,2615,0.585594,0.793233
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.774924,11925,0.000131,5607,2802.5,0.585095,0.793665
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.775201,11921,0.000131,5605,2801.5,0.584986,0.793622
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.775103,11924,0.000131,5607,2802.5,0.585161,0.793756
c5_BMC_p1_k32-shuffled,1,5.344273,53822,0.664117,32939,16467.5,0.537325,0.969852
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.950388,9458,0.006184,4636,2285,0.374071,0.756192
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.966653,9667,0.003172,4708,2337,0.375505,0.756691
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.96666,9668,0.003171,4709,2337.5,0.375595,0.756812
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.971214,9554,0.003203,4655,2310.5,0.373353,0.756247
c6_BMC_p1_k1024-shuffled,1,3.008792,290614,0.031982,135692,67844,0.755096,0.943641
c6_BMC_p1_k256-shuffled,1,3.288294,72790,0.122244,34940,17468,0.722999,0.949615
c6_BMC_p2_k128-shuffled,1,3.636599,36486,0.230815,18148,9072,0.684392,0.955855
c6_BMC_p2_k2048-shuffled,1,2.960571,581046,0.016116,270028,135012,0.760738,0.942504
c6_BMC_p2_k64-shuffled,1,4.260562,18334,0.415195,9752,4874,0.618828,0.964618
C880.blif_0.10_0.20_0_0_inp_exact,1,2.601338,2055,0.010212,1046,93.636364,0.58888,0.81321
C880.blif_0.10_0.20_0_0_out_exact,1,2.632066,1903,0.008857,973,479.5,0.572866,0.808396
C880.blif_0.10_0.20_0_1_inp_exact,1,2.602294,2054,0.010212,1046,93.636364,0.589259,0.813752
C880.blif_0.10_0.20_0_1_out_exact,1,2.632066,1903,0.008857,973,479.5,0.572866,0.808396
C880.blif_0.10_1.00_0_0_inp_exact,1,2.629159,2022,0.009195,1022,504.5,0.58046,0.809337
C880.blif_0.10_1.00_0_0_out_exact,1,2.643505,1960,0.009419,993,490,0.571821,0.806699
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.644512,1959,0.009419,993,490,0.572214,0.807255
CHAIN23v.24-shuffled,1,3.391185,18076,0.004679,3290,1633.5,0.380257,0.344607
cmu.dme1.B-f2,1,2.450287,1882,0.160359,1046,469,0.533359,0.750293
cmu.dme1.B-f3,1,2.529248,3308,0.114317,1795,816.5,0.523128,0.750165
cmu.dme1.B-f4-shuffled,1,2.559605,4890,0.092999,2634,1209,0.517799,0.750111
cmu.dme2.B-f2,1,2.548363,2404,0.140765,1313,601.5,0.513449,0.750224
cmu.periodic.N-d2-shuffled,1,2.904467,9867,0.088237,5014,2475,0.448053,0.750052
