@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC

@DATA
aim-50-6_0-yes1-4-90-shuffled,1,2.965686
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.440566
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.676058
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.748267
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.681284
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.588671
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.155031
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.792484
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.542839
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.220938
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,1.359384
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,2.536948
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.716683
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.346722
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.40303
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.931449
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.523114
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.095219
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,2.675102
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,1.637125
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,2.306727
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,2.485384
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.448062
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.207306
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,2.596324
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,1.992324
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.581318
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,2.298831
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.637466
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.688829
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.72763
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,2.757931
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.375499
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.933718
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.602547
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.12507
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,2.649269
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,2.736275
BLOCKS3i.5.3-shuffled,1,12.594406
BLOCKS3ii.5.2-shuffled,1,9.592199
BLOCKS3iii.5-shuffled,1,4.996094
BLOCKS4ii.7.2-shuffled,1,13.602186
BLOCKS4iii.7-shuffled,1,7.433918
blocks_enc_2_b3_ser--opt-9_-shuffled,1,9.261161
blocks_enc_2_b4_ser--opt-26_-shuffled,1,11.868551
c1_BMC_p1_k2048-shuffled,1,2.816883
c1_BMC_p2_k1024-shuffled,1,2.913312
c1_BMC_p2_k128-shuffled,1,4.088913
c1_BMC_p2_k8-shuffled,1,5.669493
c2_Debug_s5_f1_e1_v3-shuffled,1,16.391092
c3_BMC_p1_k256-shuffled,1,4.03651
c3_BMC_p2_k1024-shuffled,1,3.30486
c3_BMC_p2_k2048-shuffled,1,3.170664
c3_BMC_p2_k512-shuffled,1,3.562171
c3_Debug_s3_f2_e2_v2-shuffled,1,5.093693
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.630282
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.630931
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.709949
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.710438
C499.blif_0.10_0.20_0_0_inp_exact,1,3.147903
C499.blif_0.10_0.20_0_0_out_exact,1,3.201671
C499.blif_0.10_0.20_0_1_out_exact,1,3.202864
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.231803
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,3.237345
c4_BMC_p1_k1024-shuffled,1,2.914502
c4_BMC_p1_k2048-shuffled,1,2.818157
c4_BMC_p1_k512-shuffled,1,3.101519
c4_BMC_p2_k2048-shuffled,1,2.818157
c4_Debug_s3_f1_e1_v3-shuffled,1,76.384183
c4_Debug_s3_f1_e2_v3-shuffled,1,76.384362
c4_Debug_s3_f2_e1_v3-shuffled,1,8.395476
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,2.71348
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.734222
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,2.71335
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,2.734085
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.774924
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,2.775201
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.775103
c5_BMC_p1_k32-shuffled,1,5.344273
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,2.950388
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,2.966653
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,2.96666
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.971214
c6_BMC_p1_k1024-shuffled,1,3.008792
c6_BMC_p1_k256-shuffled,1,3.288294
c6_BMC_p2_k128-shuffled,1,3.636599
c6_BMC_p2_k2048-shuffled,1,2.960571
c6_BMC_p2_k64-shuffled,1,4.260562
C880.blif_0.10_0.20_0_0_inp_exact,1,2.601338
C880.blif_0.10_0.20_0_0_out_exact,1,2.632066
C880.blif_0.10_0.20_0_1_inp_exact,1,2.602294
C880.blif_0.10_0.20_0_1_out_exact,1,2.632066
C880.blif_0.10_1.00_0_0_inp_exact,1,2.629159
C880.blif_0.10_1.00_0_0_out_exact,1,2.643505
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,2.644512
CHAIN23v.24-shuffled,1,3.391185
cmu.dme1.B-f2,1,2.450287
cmu.dme1.B-f3,1,2.529248
cmu.dme1.B-f4-shuffled,1,2.559605
cmu.dme2.B-f2,1,2.548363
cmu.periodic.N-d2-shuffled,1,2.904467
cmu.periodic.N-d4-shuffled,1,2.924205
cmu.periodic.N-f4-shuffled,1,2.928948
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,3.045161
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,3.133987
connect_5x4_3_R-shuffled,1,6.991061
connect_5x4_4_W-shuffled,1,6.52113
connect_6x5_4_D-shuffled,1,7.385425
connect_6x5_5_R-shuffled,1,6.803644
connect_7x6_4_R-shuffled,1,7.986378
connect_7x6_6_W-shuffled,1,7.023348
connect_8x7_3_D-shuffled,1,8.168013
connect_8x7_7_D-shuffled,1,7.191417
connect_9x8_3_R-shuffled,1,8.366279
connect_9x8_6_D-shuffled,1,8.634693
connect_9x8_8_D-shuffled,1,7.329745
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,3.080319
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,3.086983
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,3.073068
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,3.090068
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,3.080319
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,3.079829
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,3.073289
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,3.08313
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,3.08313
Core1108_tbm_03.tex.module.000003,1,2.610302
Core1108_tbm_03.tex.module.000019,1,2.498199
Core1108_tbm_03.tex.module.000021,1,2.504202
Core1108_tbm_03.tex.module.000023,1,2.516206
Core1108_tbm_03.tex.module.000031,1,2.521945
Core1108_tbm_03.tex.module.000034,1,2.502387
Core1108_tbm_03.tex.module.000037,1,2.514215
Core1108_tbm_03.tex.module.000038,1,2.5
Core1108_tbm_03.tex.module.000039,1,2.5
Core1108_tbm_03.tex.module.000048,1,2.484355
Core1108_tbm_03.tex.module.000056,1,2.46124
Core1108_tbm_03.tex.module.000057,1,2.496689
Core1108_tbm_03.tex.module.000058,1,2.516869
Core1108_tbm_03.tex.module.000064,1,2.506793
Core1108_tbm_03.tex.module.000065,1,2.513774
Core1108_tbm_03.tex.module.000090,1,2.61747
Core1108_tbm_03.tex.module.000092,1,2.629231
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,2.974619
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,2.968474
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,2.968573
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,2.977792
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,2.974619
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,2.968573
Core1108_tbm_09.tex.module.000008,1,2.80837
Core1108_tbm_09.tex.module.000009,1,2.80837
Core1108_tbm_09.tex.module.000010,1,2.80837
Core1108_tbm_09.tex.module.000028,1,2.64411
Core1108_tbm_09.tex.module.000033,1,2.591146
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,3.033658
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,3.036979
Core1108_tbm_09.tex.moduleQ3.2S.000005,1,3.033658
Core1108_tbm_09.tex.moduleQ3.2S.000007,1,3.0433
Core1108_tbm_09.tex.moduleQ3.2S.000010,1,3.030322
Core1108_tbm_09.tex.moduleQ3.2S.000011,1,3.033658
Core1108_tbm_09.tex.moduleQ3.9S.000001,1,3.033658
Core1108_tbm_21.tex.module.000008,1,2.741638
Core1108_tbm_21.tex.module.000009,1,2.741638
Core1108_tbm_21.tex.module.000010,1,2.741638
Core1108_tbm_21.tex.module.000014,1,2.672749
Core1108_tbm_21.tex.module.000017,1,2.672749
Core1108_tbm_21.tex.module.000023,1,2.595882
Core1108_tbm_21.tex.module.000026,1,2.632124
Core1108_tbm_21.tex.module.000027,1,2.615187
Core1108_tbm_21.tex.module.000030,1,2.620076
Core1108_tbm_21.tex.module.000091,1,2.774074
Core1108_tbm_21.tex.moduleQ3.2S.000002,1,2.976871
Core1108_tbm_21.tex.moduleQ3.2S.000007,1,2.983391
Core1108_tbm_21.tex.moduleQ3.2S.000011,1,2.983448
Core1108_tbm_21.tex.moduleQ3.2S.000014,1,2.976792
Core1108_tbm_21.tex.moduleQ3.2S.000015,1,2.983448
Core1108_tbm_21.tex.moduleQ3.2S.000019,1,2.983448
Core1108_tbm_21.tex.moduleQ3.2S.000024,1,2.983448
Core1108_tbm_21.tex.moduleQ3.2S.000027,1,2.983391
Core1108_tbm_28.tex.moduleQ2.2S.000003,1,2.911273
counter_16,1,3.917767
counter_32-shuffled,1,3.958607
counter_8-shuffled,1,3.837778
counter_e_16,1,3.952797
counter_e_8-shuffled,1,3.897059
counter_r_16,1,3.951632
counter_r_8-shuffled,1,3.892857
counter_re_16,1,4.002831
cube_c11_par---13_-shuffled,1,207.401202
cube_c3_ser--opt-6_-shuffled,1,8.8125
cube_c5_ser---14_-shuffled,1,16.251534
cube_c7_ser---23_-shuffled,1,30.805274
cube_c9_par--opt-11_-shuffled,1,123.436422
eijk.S1238.S-d3-shuffled,1,2.828736
eijk.S1423.S-d4-shuffled,1,2.913174
eijk.S208o.S-d4-shuffled,1,2.789474
eijk.S208o.S-f4-shuffled,1,2.766922
eijk.S298.S-f2-shuffled,1,2.713684
eijk.S298.S-f4,1,2.857275
eijk.S344.S-f3,1,2.787542
eijk.S349.S-f3,1,2.785156
eijk.S382.S-f4-shuffled,1,2.846483
eijk.S386.S-f2,1,2.77412
eijk.S420.S-f2,1,2.688048
eijk.S526.S-f4-shuffled,1,2.862142
eijk.S641.S-f2,1,2.696655
eijk.S713.S-f2,1,2.698156
emptyroom_e3_ser---19_-shuffled,1,9.286938
emptyroom_e3_ser--opt-20_-shuffled,1,9.126273
emptyroom_e4_par---21_-shuffled,1,22.39786
emptyroom_e4_ser--opt-44_-shuffled,1,14.079268
ev-pr-4x4-11-3-0-0-1-s-shuffled,1,14.476657
ev-pr-4x4-13-3-0-0-1-s-shuffled,1,14.630823
ev-pr-4x4-15-3-0-0-1-s-shuffled,1,14.741702
ev-pr-4x4-17-3-0-0-1-lg-shuffled,1,14.744217
ev-pr-4x4-17-3-0-0-1-s-shuffled,1,14.825281
ev-pr-4x4-5-3-0-0-1-lg-shuffled,1,13.058036
ev-pr-4x4-5-3-0-0-1-s-shuffled,1,13.142765
ev-pr-4x4-7-3-0-0-1-s-shuffled,1,13.872139
ev-pr-4x4-9-3-0-0-1-lg-shuffled,1,14.117061
ev-pr-4x4-9-3-0-0-1-s-shuffled,1,14.247708
ev-pr-6x6-11-5-0-1-2-lg-shuffled,1,17.771818
ev-pr-6x6-13-5-0-1-2-lg-shuffled,1,17.944264
ev-pr-6x6-15-5-0-1-2-lg-shuffled,1,18.071049
ev-pr-6x6-5-5-0-1-2-lg-shuffled,1,16.443981
ev-pr-6x6-5-5-0-1-2-s-shuffled,1,15.526762
ev-pr-6x6-7-5-0-1-2-s-shuffled,1,16.245564
ev-pr-8x8-11-7-0-1-2-lg-shuffled,1,19.687903
ev-pr-8x8-13-7-0-1-2-lg-shuffled,1,19.875539
ev-pr-8x8-19-7-0-1-2-lg-shuffled,1,20.202696
ev-pr-8x8-5-7-0-1-2-lg-shuffled,1,18.242305
ev-pr-8x8-7-7-0-1-2-lg-shuffled,1,18.995578
ev-pr-8x8-9-7-0-1-2-lg-shuffled,1,19.417805
f600-00-shuffled,1,2.424818
ii32c1-00,1,3.688705
ii32c1-50-shuffled,1,3.927189
ii32e1-00-shuffled,1,3.779923
ii32e1-50-shuffled,1,4.056277
ii8a1-00-shuffled,1,1.857143
ii8a1-90-shuffled,1,1.987805
ii8a3-90,1,2.608962
ii8c1-90-shuffled,1,2.497729
ii8d1-00-shuffled,1,2.29445
impl18-shuffled,1,2.945946
irst.dme4.B-d4-shuffled,1,2.591534
irst.dme5.B-d4-shuffled,1,2.611321
jnh1-50-shuffled,1,4.662069
jnh207-90-shuffled,1,4.686024
jnh218-00-shuffled,1,4.177109
jnh218-90-shuffled,1,4.650934
k3_1_2-shuffled,1,1.855019
k4_2_2-shuffled,1,1.897313
k5_2_2,1,1.875817
k5_3_2-shuffled,1,1.914503
k_branch_n-20-shuffled,1,6.891397
k_branch_n-4-shuffled,1,4.042341
k_branch_n-5-shuffled,1,4.239339
k_branch_n-6,1,4.417469
k_branch_n-7,1,4.583621
k_branch_n-8-shuffled,1,4.949377
k_branch_p-11-shuffled,1,5.406477
k_branch_p-14-shuffled,1,5.835739
k_branch_p-16-shuffled,1,6.341923
k_branch_p-17-shuffled,1,6.480684
k_branch_p-4-shuffled,1,4.043587
k_branch_p-6-shuffled,1,4.418112
k_branch_p-8-shuffled,1,4.949766
k_d4_n-11-shuffled,1,4.521956
k_d4_n-14-shuffled,1,4.556611
k_d4_n-15-shuffled,1,4.565185
k_d4_n-16-shuffled,1,4.572721
