@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC

@DATA
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,10.4022,0.1753,0.1789,0.5127,0.1157,0.0105,9.7488,0,0.0165,0.0886,1.1552,0,0.0024,0.6443,0.6999,55222,0.6385,0.0004,55222,0.0667,0.0002,0.1131,0.0027,0,0.0027,15.7149,0.0004,17.8289,1.5326,19.6128,23.3741,16.878
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,20.037,0.5229,0.0108,0.774,0.4251,0.7538,20.6012,0.0152,0.5846,0.4251,11.6955,0.3333,0.0011,0.8664,11.5795,48480,0.0002,0.425,47520,0.0167,0.425,0.0082,0.0151,0.0152,0.0151,26.7907,0.0041,28.8228,0,31.0847,31.3586,29.0299
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,138.3,0.4272,0.3587,0.4517,0.7946,0.7188,196.581,0.9443,0.4568,0.7644,2.4735,0,0.1079,0.7013,2.9634,43754,0.0932,0.7097,43754,0.0024,0.1221,0.0007,0.0004,0.947,0.0001,21.5465,0.0001,25.2998,2.5469,28.3841,32.1681,24.0455
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,3.62,0.3709,0.3712,0.6533,0.0696,0.231,2.9395,0,0.1105,0.0355,1.8582,0,0.3152,0.7689,1.4998,420,0.5914,0.0179,420,0.1667,0.007,0.1643,0.069,0.0262,0.069,0,0.0214,0,1.4434,0,0,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,1242.18,4.5569,5.1787,0.7814,0.8304,0.9523,184.575,0.9523,1.8079,0.791,44.9564,0.0345,12.1838,0.8974,51.7307,215164,0.082,0.7211,212446,0.0281,0.6041,0.0026,0.002,0.9523,0.001,56.25,0.0004,61.3041,2.6827,67.8447,72.4554,58.9625
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,1273.77,3.8441,3.5006,0.9186,0.9761,0.9829,5744.47,0.9829,2.4667,0.9785,97.7881,0.0209,1.5082,0.9574,99.2626,498568,0.0701,0.9566,496124,0.0426,0.1076,0.0017,0.0048,0.9829,0.0048,94.0535,0.0003,98.0399,3.3344,106.1429,108.2059,97.0272
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,373.5,1.066,1.3271,0.0566,0.0192,0.2613,822,0.0073,0.0583,0.0001,0.2524,1.0256,0.2287,0.1106,0.2318,123900,3.1172,0.0001,117774,0.0001,0,0.0013,0.0001,0.0332,0.0001,0,0,0,0.4008,0,0,0
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,47.1391,3.9242,4.5011,0.7325,0.4081,0.7532,45.6368,0.013,0.5836,0.408,11.9471,0.3333,0.0018,0.8098,10.8717,64155,0.0003,0.408,63063,0.0147,0.4077,0.0073,0.013,0.013,0.013,27.0061,0.0036,29.3595,0,32.0355,32.9809,28.708
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.6013,28.5849,1.2241,0.8507,0.457,0.7551,1.5435,0.0203,0.5871,0.457,7.0723,0.3333,0.0004,0.9633,5.9841,27360,0.0001,0.457,26640,0.0222,0.4568,0.011,0.0202,0.0203,0.0202,26.493,0.0055,28.6955,0,30.0563,32.7169,27.5762
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,45.4502,9.5123,15.4138,0.9047,0.9087,0.7464,11.9654,0.9787,1.8278,0.8978,38.6444,0.0345,2.6608,0.9711,37.6613,49070,0.0217,0.8796,48470,0.1,0.8552,0.0071,0.0119,0.9787,0.0119,73.157,0.0009,83.1068,3.0492,90.232,99.181,87.8974
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,18.45,10.5878,0.1085,0.445,0.9235,0.7281,141.434,0.9511,0.5835,0.9432,20.538,0.5513,2.805,0.8863,17.2005,88373,0.1168,0.7011,79229,0.0131,0.5791,0.0019,0.0014,0.9728,0.0002,27.4614,0,27.199,2.4732,27.8652,27.8652,27.8585
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,10.7719,1.8442,0.2592,0.6767,0.6217,0.1265,14.2115,0,0.8326,0.56,11.2954,0,2.0373,0.809,10.9847,9795,0.1629,0.5519,9795,0.0753,0.5364,0.0321,0.0163,0.8735,0.0146,35.3844,0.0014,36.8043,2.8836,39.3333,39.3333,37.7223
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,35.494,9.1035,2.3059,0.8669,0.8872,0.9714,346.25,0.9714,1.989,0.8722,53.1227,0.0327,13.3554,0.9483,53.8444,129272,0.0254,0.857,128166,0.0672,0.8144,0.0036,0.0083,0.9714,0.0083,59.5803,0.0008,70.1392,3.2305,75.1852,92.5301,66.9394
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,11.0207,0.0623,0.0844,0.7902,0.692,0.8333,10.5361,0.8333,0.9583,0.6919,2.6539,0,0.0014,0.8269,2.0976,726,0.0001,0.6919,726,0.0909,0.6918,0.0289,0.1653,0.8333,0.1653,47.0053,0.0138,46.437,0,48.5704,48.5704,48.2732
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,160.4,0.1525,3.3021,0.8838,0.9762,0.9819,25.5625,0.9819,2.5629,0.9705,88.9836,0.0199,1.2831,0.9362,78.0606,490309,0.0496,0.9515,487748,0.0406,0.2354,0.0019,0.0051,0.9819,0.0051,99.3162,0.0003,111.9684,3.3492,132.6667,133.1667,112.4
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,13.692,0.2669,6.8078,0.7061,0.7056,0.0831,15.7566,0.0031,1.105,0.657,23.0011,0,2.3313,0.8066,25.1053,22241,0.1013,0.6449,22241,0.1034,0.6329,0.0295,0.0091,0.9169,0.009,45.0426,0.0008,47.403,3.3339,49.7635,49.7635,49.7635
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,13.9374,0.2613,5.9256,0.6597,0.7095,0.0782,15.4287,0.0124,1.0967,0.6648,22.3937,0,2.3077,0.8034,23.8414,21509,0.1024,0.6474,21509,0.1045,0.6213,0.0291,0.0093,0.9218,0.0092,36.5443,0.0008,37.8653,3.5664,39.059,39.059,37.9927
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,42.4065,0.1731,13.0574,0.7373,0.7983,0.9299,24.5809,0.9299,1.3783,0.7848,23.9299,0.0556,4.4534,0.9048,28.2714,43649,0.0248,0.7734,42641,0.0486,0.7384,0.0076,0.005,0.9299,0.0026,41.0017,0.0014,48.4489,2.9323,57.2583,65.1125,44.7709
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,7.1515,0.1839,0.2791,0.5703,0.1178,0.0107,6.1613,0,0.016,0.0647,1.6871,0,0.0013,0.6947,0.9785,36888,0.6574,0.0375,36888,0.1053,0.0348,0.1204,0.0025,0,0.0025,18.0426,0.0006,18.4401,1.6947,19.0106,19.7884,18.5081
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,13.3078,3.8385,0.252,0.6841,0.6932,0.0873,20.8631,0.0032,1.0699,0.6422,21.9479,0,2.3978,0.803,24.563,20607,0.1077,0.6301,20607,0.1026,0.6107,0.0305,0.0094,0.9127,0.0093,36.6908,0.001,39.8879,3.3218,42.5313,42.5313,40.4414
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,27.6506,0.1298,0.1453,0.2067,0.0391,0.2504,27.7525,0,0.1608,0.0025,1.572,0,0.2011,0.4878,0.9852,2596,1.4426,0.0002,2596,0.0169,0,0.0277,0.0034,0,0.0027,26.0462,0.0012,28.9103,0.9674,33.6687,42.1051,32.4906
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,15.9889,0.1163,0.1419,0.8331,0.7578,0.8824,16.5052,0.8824,1.2368,0.7577,3.5387,0,0.0023,0.8745,2.9757,2176,0.0002,0.7576,2176,0.0625,0.7575,0.0142,0.085,0.8824,0.085,78.9748,0.0069,80.3554,0,81.2825,81.2825,80.8087
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,18.2982,4.8589,6.3842,0.7105,0.7191,0.0769,27.2359,0.0024,1.1742,0.6777,27.3461,0,2.5317,0.8383,31.1432,34386,0.0904,0.6664,34386,0.0909,0.6532,0.0239,0.0073,0.9231,0.0073,52.4617,0.0006,58.792,3.3188,65.3275,65.3275,58.5868
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,5.8605,0.2689,0.2577,0.6879,0.5832,0.6484,3.377,0.8333,0.4472,0.5832,1.1568,0,0.0001,0.8353,0.6404,384,0.0001,0.5831,384,0.0313,0.5831,0.0156,0.031,0.8333,0.0286,29.3702,0,30.3632,0,30.3993,33.1963,30.1183
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,7.7162,0.3223,0.4112,0.2282,0.1128,0.2945,8.4172,0.0371,0.1226,0.0153,0.33,1.1104,0.2819,0.6422,0.1286,2355,1.3536,0.0047,1939,0.0065,0.0001,0.0201,0.0061,0.1398,0.0031,10.3493,0.0005,15.0866,1.0023,13.3077,17.0097,11.9361
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,18.9421,0.1485,0.8017,0.0758,0.2458,0.5668,23.3935,0.2481,0.3607,0.0814,1.4237,1.6948,0.2901,0.2912,0.2982,23817,0.9029,0.0339,14631,0.0034,0.0001,0.2288,0.0015,0.5538,0.0004,15.0051,0,17.3156,2.2265,19.393,20.4465,17.2678
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,5.8135,0.5634,21.1475,0.7089,0.5268,0.5096,1.261,0.0175,0.3031,0.5267,11.0015,0,0.0142,0.9146,9.087,24824,0.0015,0.5267,24824,0.0333,0.5186,0.0035,0.0046,0.9988,0.0045,33.3194,0.0011,39.7944,0.0252,41.8503,56.8522,40.4414
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,552.595,7.0432,6.2059,0.7862,0.8314,0.9494,525.9,0.9494,1.7337,0.8085,40.4446,0.037,6.3213,0.8976,48.0292,171155,0.0409,0.7825,168781,0.0302,0.7356,0.0029,0.0022,0.9494,0.0011,54.3318,0.0006,58.2835,2.7378,59.8145,64.8169,56.4847
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,14.9568,0.2336,0.2364,0.6685,0.7216,0.073,22.1837,0.0099,1.1668,0.6803,27.3145,0,2.4589,0.7873,30.593,34014,0.0916,0.668,34014,0.0909,0.647,0.0235,0.0074,0.927,0.0073,43.3438,0.0005,44.5029,3.5293,45.6619,45.6619,45.6619
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,15.6557,0.391,0.2327,0.6938,0.6592,0.1062,22.3273,0,0.9613,0.6083,15.8477,0,2.2495,0.81,16.5202,21616,0.1295,0.6021,21616,0.0609,0.5916,0.0217,0.011,0.8938,0.0099,48.9495,0.0008,51.8289,2.8893,52.9108,58.0339,52.8652
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.2882,49.5278,45.8912,0.9528,0.5028,0.7577,0.0069,0.0306,0.592,0.5027,6.8911,0.3333,0.0003,0.9962,6.7749,12240,0.0001,0.5027,11760,0.0333,0.5026,0.0163,0.0305,0.0306,0.0305,29.2469,0.0082,29.2469,0,29.2469,29.2469,29.2469
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,39.9948,0.1502,0.1991,0.2363,0.735,0.14,51.2065,0.0794,0.386,0.6662,0.7141,0.0321,0.3457,0.5014,0.0912,17983,0.2052,0.6063,16118,0.0049,0,0.0208,0.003,0.0985,0.0001,15.6307,0,16.0678,2.8275,16.976,17.4026,16.3387
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,22.3005,0.1925,0.1884,0.7082,0.6903,0.0915,33.6683,0,1.0759,0.6469,21.2435,0,2.4221,0.8318,23.8546,41212,0.1062,0.6427,41212,0.0515,0.6326,0.0159,0.0081,0.9085,0.0073,49.3248,0.0005,52.1581,2.9878,53.6056,56.8655,51.7031
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,956.105,5.0777,4.2196,0.8414,0.8489,0.9546,2695.93,0.9546,1.9116,0.8496,51.0022,0.0313,9.358,0.9271,55.1258,305320,0.1838,0.6876,302680,0.0246,0.1356,0.0021,0.0017,0.9546,0.0009,74.9182,0.0004,84.4247,2.571,88.0722,104.8772,81.5904
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,7.8171,0.4557,0.2916,0.2989,0.0519,0.3109,7.9255,0.0018,0.0275,0,0.5364,53.8514,0.011,0.6806,0.1313,124752,2.7129,0,2229,0.0044,0,0.0045,0.0055,0.0031,0.0022,6.8758,0,9.4616,0.3978,10.9715,14.5433,8.201
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,1.8504,0.6686,0.4184,0.9026,0.8006,0.8831,0.8798,0.8831,1.284,0.8006,2.2866,0,0,0.9273,1.7426,693,0,0.8006,693,0.1111,0.8006,0.0245,0.1759,0.8831,0.1732,0,0.0115,0,0,0,0,0
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,47.7751,0.0982,0.1512,0.2713,0.6283,0.8448,61.9426,0,0.2498,0.5808,3.1008,0.3333,1.0254,0.7147,2.9724,13289,0.1107,0.5395,13008,0.0083,0.4265,0.0099,0.0015,0.8448,0.0009,45.1105,0.002,45.6649,2.6708,47.5355,47.561,46.4552
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,1.8401,0.2446,0.3367,0.8838,0.757,0.8372,1.0747,0.8372,1.0176,0.7569,1.9216,0,0,0.9116,1.4979,301,0,0.7569,301,0.1429,0.7569,0.0432,0.2591,0.8372,0.2558,35.2235,0.0199,35.7445,0,36.3196,37.273,35.9611
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,92.1546,10.7595,11.1013,0.8665,0.8751,0.9682,99.2536,0.9682,1.7983,0.8619,37.763,0.0394,15.7362,0.957,39.9038,67279,0.03,0.8374,66487,0.0787,0.7717,0.0048,0.0103,0.9682,0.0028,52.0458,0.001,58.1833,3.2079,71.232,74.1814,54.0684
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,8.6485,0.2183,0.1977,0.8664,0.8977,0.7118,11.5737,0.9756,1.9114,0.8879,39.5103,0.0345,3.1726,0.9522,40.138,66810,0.0212,0.8685,66030,0.0769,0.8382,0.0058,0.0114,0.9756,0.0114,59.4153,0.0007,64.1928,3.1332,67.8378,72.0557,62.8876
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,13.4185,0.1068,0.0896,0.8681,0.8682,0.9669,14.0778,0.9669,1.5366,0.854,30.9983,0.0476,4.5829,0.9466,28.6553,35586,0.0382,0.8245,35036,0.0971,0.7183,0.0065,0.0104,0.9669,0.0078,54.9899,0.0017,59.571,3.3946,60.5019,73.9372,60.2725
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,42.3919,0.1039,0.6504,0.3025,0.6203,0.8432,51.8103,0,0.2489,0.5674,3.4495,0.3333,1.1816,0.6844,3.3594,9695,0.1189,0.5258,9504,0.0122,0.4494,0.0153,0.0021,0.8432,0.0012,28.5177,0.0027,30.1261,2.7486,32.5755,32.5755,29.285
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,1.326,0.0589,0.3624,0.8885,0.6799,0.7619,1.0035,0.7619,0.7454,0.6799,1.5092,0,0.0001,0.9249,1.3375,105,0,0.6799,105,0.2,0.6799,0.0857,0.3429,0.7619,0.3333,0,0.0381,0,0,0,0,0
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,11.2841,0.1761,0.2501,0.2832,0.7766,0.5443,15.6248,0.5255,0.7449,0.6636,2.6775,1.0575,0.7789,0.8422,1.0838,12666,0.3044,0.425,2721,0.0443,0.0007,0.0382,0.0091,0.7192,0.0004,0,0,0,3.1098,0,0,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,2068.63,4.2549,4.2994,0.8653,0.8473,0.9536,318.667,0.9536,1.8783,0.8497,50.2069,0.0323,6.4195,0.9403,56.4269,266431,0.191,0.6709,264031,0.0258,0.1467,0.002,0.0019,0.9536,0.0009,70.3905,0.0005,79.3154,2.651,81.4519,91.0714,78.7411
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.0009,38.5616,33.1361,1,0.9305,0.9822,0.0195,0.9822,2.3509,0.9304,13.5107,0.037,0.0094,1,13.5515,18954,0.0001,0.9303,18226,0.0769,0.9302,0.0042,0.0385,0.9822,0.0385,0,0.0028,0,0,0,0,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,8.1399,0.7271,0.2778,0.6727,0.5916,0.1451,9.3027,0,0.7362,0.5185,8.702,0,1.8631,0.8003,8.015,5251,0.1935,0.5092,5251,0.0889,0.4959,0.0432,0.022,0.8549,0.0198,27.384,0.0023,27.6296,2.7087,27.8709,28.8626,27.4099
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,13.5208,0.2327,0.2346,0.682,0.6338,0.119,17.521,0,0.8775,0.5764,12.7827,0,2.1374,0.8151,13.0056,13362,0.1503,0.5694,13362,0.0688,0.5548,0.0275,0.014,0.881,0.0126,39.446,0.0011,43.4275,2.9328,46.8134,46.8134,44.0231
