@relation 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute BINARYp numeric
@attribute vars_clauses_ratio numeric
@attribute SP_bias_q50 numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data
0.3935,0.0061,0.6916,picosat
0.1962,0.1714,0.1741,allfair
0.5147,0.1437,0.7756,ebglucose
0.3935,0.0061,0.6916,picosat
0.4138,0.1742,0.4539,glueminisat
0.381,0.0422,0.667,lrglshr
0.6627,0.2406,0.8525,minisatpsm
0.5811,0.1487,0.6646,lingeling
0.1605,0.1489,0.5839,glueminisat
0.1144,0.1259,0.6315,picosat
0.9588,0.0716,0.9333,allfair
0.2645,0.2139,0.2559,allfair
0.5776,0.1666,0.6352,lingeling
0.8762,0.0604,0.9961,clasp2
0.1253,0.1805,0.1568,allfair
0.3399,0.2468,0.1062,allfair
0.8293,0.0178,0.9995,mxc09
0.7751,0.1484,0.8851,cryptominisat2011
0.1643,0.1522,0.4477,clasp2
0.9263,0.0121,1,clasp2
0.0807,0.171,0.0044,cryptominisat2011
0.8795,0.0584,0.9936,picosat
?,?,?,clasp2
0.585,0.1733,0.7644,cryptominisat2011
0.401,0.0718,0.7812,allfair
0.3922,0.0075,0.692,ebglucose
0.1291,0.1264,0.6619,ebglucose
0.2904,0.2016,0.3069,glucose2
0.1248,0.1314,0.6297,glucose2
0.2993,0.2009,0.337,glucose2
0.2298,0.1571,0.6866,glueminisat
0.3196,0.2434,0.0917,allfair
0.0229,0.0096,0.5366,allfair
0.4007,0.2383,0.4935,ebminisat
0.0244,0.0101,0.5248,allfair
0.1381,0.1291,0.6562,glucose2
0.0718,0.1696,0.0104,mphaseSAT64
0.0826,0.172,0.006,mxc09
0.7671,0.0747,0.9003,lrglshr
0.6349,0.1832,0.6811,lingeling
0.0718,0.1696,0.0103,cryptominisat2011
0.3324,0.2051,0.4679,glucose2
0.093,0.2103,0.156,picosat
0.1379,0.1345,0.6115,lrglshr
0.9607,0.0573,0.9834,clasp2
0.8536,0.1112,0.7047,clasp2
0.3914,0.0085,0.6934,ebglucose
0.3927,0.007,0.6916,ebglucose
0.1544,0.1827,0.1584,cryptominisat2011
0.1217,0.1378,0.6214,picosat
0.4291,0.08,0.7862,minisatpsm
0.9608,0.057,0.9835,lrglshr
0.2605,0.2003,0.3059,picosat
0.5133,0.1451,0.7735,mphaseSAT64
0.6615,0.2411,0.8533,precosat
0.5753,0.1656,0.6486,allfair
0.5625,0.155,0.7734,lingeling
0.1674,0.1786,0.1194,qutersat
0.5361,0.2059,0.9116,mphaseSAT64
0.7715,0.1476,0.8832,cryptominisat2011
0.3015,0.1873,0.2953,restartsat
0.1856,0.2233,0.2595,mphaseSAT64
0.6204,0.1296,0.626,minisatpsm
0.3897,0.1467,0.7588,picosat
0.1379,0.1345,0.6115,lrglshr
0.392,0.0078,0.6923,rcl
0.6431,0.1944,0.5688,lingeling
0.0805,0.1709,0.0043,restartsat
0.8151,0.0673,0.9929,picosat
0.1583,0.1805,0.1159,restartsat
0.6848,0.0242,0.8566,glucose2
?,?,?,cryptominisat2011
0.7426,0.0808,0.8718,glueminisat
0.8955,0.0332,0.9916,lingeling
0.6352,0.0363,0.9987,glucose2
0.961,0.0569,0.9835,glucose2
0.1273,0.1341,0.6128,glucose2
0.8385,0.0302,0.9967,cryptominisat2011
0.8645,0.051,1,glueminisat
0.5118,0.1559,0.5813,spear-hw
0.2775,0.1868,0.4698,glueminisat
?,?,?,ebminisat
0.0026,0.1733,0.1527,picosat
0.5979,0.1643,0.6919,ebminisat
0.8645,0.051,1,glueminisat
0.3925,0.0073,0.6918,sol
0.9091,0.1515,0.8452,sol
0.2303,0.1565,0.6453,lrglshr
0.5844,0.1767,0.619,minisatpsm
0.2829,0.1935,0.3149,allfair
0.0694,0.0977,0.6575,lrglshr
0.243,0.1736,0.3841,allfair
0.0722,0.1699,0.0107,cryptominisat2011
0.6521,0.1648,0.7828,qutersat
0.6234,0.1828,0.7391,allfair
0.2203,0.1769,0.2147,clasp1
0.1428,0.1301,0.6454,lrglshr
0.9898,0.1447,0.9466,rcl
0.3052,0.1997,0.2335,allfair
0.5394,0.2054,0.9491,ebminisat
0.1794,0.1378,0.5882,glucose2
0.3773,0.0267,0.8995,ebminisat
0.1238,0.1343,0.6295,glucose2
0.114,0.133,0.6042,picosat
0.2297,0.1555,0.6884,glueminisat
0.3842,0.0422,0.6682,allfair
0.3121,0.1818,0.3926,clasp2
0.5336,0.2057,0.8816,ebminisat
0.1805,0.1374,0.53,lrglshr
0.1212,0.141,0.5918,glueminisat
0.0403,0.029,0.6451,picosat
0.1674,0.1786,0.1194,qutersat
0.9227,0.0418,0.999,ebglucose
0.7657,0.0322,0.4921,mphaseSAT64
0.1001,0.2369,0.1201,allfair
0.6564,0.2404,0.8522,mphaseSAT
0.5298,0.1364,0.6023,ebminisat
0.1428,0.1301,0.6454,lrglshr
0.6615,0.2411,0.8533,precosat
0.503,0.1397,0.6744,glucose2
0.8293,0.1515,0.8295,sol
0.2604,0.2004,0.3508,picosat
0.512,0.1447,0.7791,allfair
0.2727,0.1739,0.3271,spear-sw
0.5114,0.1561,0.583,ebminisat
0.9501,0.0233,0.9992,lrglshr
?,?,?,mxc09
0.3179,0.1963,0.4133,cryptominisat2011
0.1486,0.145,0.6008,glueminisat
0.0266,0.0111,0.5234,allfair
0.2259,0.1634,0.7033,glueminisat
0.2361,0.2155,0.1825,minisatpsm
0.8694,0.0692,0.895,lrglshr
0.9227,0.1096,0.7917,ebglucose
0.3105,0.2017,0.4213,ebminisat
0.3719,0.0774,0.8199,ebglucose
0.3778,0.1994,0.4902,sattime
0.6355,0.0364,0.9987,picosat
0.9264,0.0121,1,sapperlot
0.282,0.2853,0.3152,allfair
0.1381,0.1291,0.6561,glucose2
?,?,?,picosat
0.4984,0.266,0.4975,qutersat
0.0805,0.1709,0.0043,restartsat
0.1576,0.2152,0.1393,glucose2
0.0943,0.0371,0.8508,clasp2
0.3237,0.1991,0.1591,precosat
0.1302,0.1918,0.1397,picosat
0.5033,0.1487,0.6154,restartsat
0.142,0.1309,0.6519,ebglucose
0.0718,0.1696,0.0104,cryptominisat2011
0.555,0.1567,0.7127,lingeling
0.4074,0.0714,0.7815,allfair
0.6586,0.2406,0.8516,mphaseSAT64
0.8831,0.0267,0.6517,picosat
0.0114,0.0192,0.0659,lrglshr
0.5573,0.1558,0.6198,lrglshr
0.143,0.2042,0.1557,ebglucose
0.9164,0.1185,0.7916,lingeling
0.6535,0.2405,0.8499,allfair
0.5209,0.2107,0.6994,lrglshr
0.1463,0.1399,0.5964,lrglshr
0.186,0.1147,0.6827,glucose2
0.0806,0.171,0.0044,cryptominisat2011
0.7343,0.0229,0.885,glucose2
0.127,0.1341,0.6132,glucose2
0.1765,0.1404,0.3712,glucose2
0.5295,0.2678,0.5113,qutersat
0.0132,0.0056,0.6105,mphaseSAT64
0.1588,0.148,0.5817,glueminisat
?,?,?,clasp2
0.271,0.1569,0.545,lrglshr
0.4535,0.1377,0.9938,picosat
0.0825,0.1719,0.006,lingeling
0.5303,0.1366,0.6204,restartsat
0.5255,0.1474,0.7771,qutersat
0.5792,0.1665,0.5312,ebminisat
0.8762,0.0604,0.9961,clasp2
0.9227,0.0418,0.999,ebglucose
0.2608,0.2143,0.2633,allfair
0.2291,0.1575,0.7043,restartsat
0.88,0.0633,0.9346,lrglshr
0.0826,0.172,0.006,mxc09
0.1177,0.1803,0.1567,allfair
0.7698,0.1235,0.8343,ebminisat
0.1291,0.1264,0.6619,ebglucose
0.1395,0.1894,0.2144,mxc09
0.5464,0.1516,0.6143,allfair
0.4644,0.0923,0.737,glucose2
0.1361,0.1285,0.6469,glueminisat
0.6352,0.0363,0.9987,glucose2
0.3246,0.1973,0.1417,precosat
?,?,?,mxc09
0.0741,0.1442,0.0632,glueminisat
0.134,0.1811,0.1572,allfair
0.9842,0.0404,0.9765,glucose2
0.5855,0.1764,0.6197,ebglucose
0.0231,0.0098,0.3512,allfair
0.1277,0.1255,0.6556,lrglshr
0.1406,0.1333,0.6003,glueminisat
0.3925,0.0073,0.6918,sattime
0.3412,0.2222,0.1233,qutersat
0.0615,0.1744,0.0144,cryptominisat2011
0.1486,0.1315,0.5357,ebminisat
0.2505,0.2833,0.1916,qutersat
0.9782,0.1539,0.9466,allfair
0.9282,0.0123,1,allfair
0.217,0.241,0.1759,allfair
0.5298,0.1364,0.6023,ebminisat
0.5243,0.1468,0.7926,qutersat
0.3917,0.0081,0.6928,clasp1
0.2783,0.1738,0.4565,qutersat
0.6423,0.1881,0.7498,allfair
0.2501,0.1011,0.8121,qutersat
0.0125,0.0055,0.6139,picosat
0.0123,0.0054,0.6406,spear-sw
0.2034,0.1833,0.166,glueminisat
0.3917,0.0081,0.6928,clasp1
0.9636,0.0605,0.9018,mphaseSATm
0.186,0.1147,0.6827,glucose2
0.8928,0.0187,1,ebglucose
0.8674,0.0607,0.9922,picosat
0.9005,0.1563,0.8123,qutersat
0.6614,0.2408,0.8535,mphaseSAT64
0.5343,0.1466,0.5438,minisatpsm
0.9582,0.0726,0.924,mphaseSAT64
0.5856,0.1739,0.7541,qutersat
0.6001,0.0429,0.9969,lrglshr
0.7681,0.0176,0.8347,glucose2
0.1605,0.1489,0.5839,glueminisat
0.0617,0.1747,0.0145,cryptominisat2011
0.631,0.0256,0.8287,minisatpsm
0.1279,0.1806,0.1569,allfair
0.8385,0.0302,0.9967,cryptominisat2011
0.1229,0.1328,0.6206,glucose2
0.1418,0.1291,0.6523,lrglshr
0.1486,0.145,0.6008,glueminisat
0.6557,0.2406,0.8512,allfair
0.1172,0.1932,0.0831,ebminisat
0.1357,0.1325,0.6133,lrglshr
0.9911,0.1425,0.9444,allfair
0.158,0.206,0.184,ebminisat
0.1254,0.1252,0.6551,rcl
0.8762,0.0604,0.9961,clasp2
0.6068,0.1649,0.6737,lingeling
0.3401,0.2239,0.1208,allfair
0.5867,0.1615,0.5473,mphaseSATm
0.6153,0.178,0.6568,ebglucose
0.6512,0.0309,0.8387,glucose2
0.8949,0.1503,0.8313,mphaseSAT64
0.1742,0.1644,0.3256,ebglucose
0.1406,0.1337,0.6039,glueminisat
0.9225,0.0443,0.9985,lrglshr
0.1224,0.1415,0.5979,glueminisat
0.122,0.1336,0.647,restartsat
0.072,0.1696,0.0103,precosat
0.6068,0.2092,0.3573,lingeling
0.2303,0.1549,0.6913,lingeling
0.5836,0.1674,0.6295,glueminisat
0.2762,0.2402,0.1051,clasp2
0.5476,0.1645,0.5719,minisatpsm
0.1969,0.2186,0.2166,lrglshr
0.0806,0.171,0.0044,minisatpsm
0.7799,0.0171,0.8382,glucose2
0.0158,0.0228,0.0551,lrglshr
0.3938,0.0058,0.6918,tnm
0.0741,0.1442,0.0632,glueminisat
0.8596,0.0753,0.873,precosat
?,?,?,ebminisat
0.0097,0.013,0.1973,picosat
?,?,?,picosat
0.8293,0.0178,0.9995,picosat
0.6535,0.2405,0.85,allfair
0.1532,0.2085,0.1538,ebminisat
0.3102,0.2017,0.4213,glueminisat
0.1455,0.1376,0.5911,glueminisat
0.0223,0.2081,0.0253,lingeling
0.5939,0.1704,0.6354,cryptominisat2011
0.093,0.2103,0.156,picosat
0.1489,0.1962,0.5502,ebglucose
0.1291,0.1264,0.6619,ebglucose
0.145,0.1427,0.5921,glueminisat
0.0724,0.17,0.0107,picosat
0.0489,0.019,0.9504,minisatpsm
?,?,?,mxc09
0.1891,0.1153,0.6824,glucose2
0.1211,0.1373,0.6209,ebminisat
0.139,0.1314,0.6232,lrglshr
0.0928,0.2099,0.156,picosat
0.5243,0.1468,0.7926,qutersat
0.3917,0.0081,0.6928,clasp1
0.5673,0.1586,0.6145,ebminisat
?,?,?,mxc09
0.0157,0.0063,0.5049,allfair
0.9262,0.0121,1,glucose2
0.9,0.15,0.8422,sol
0.3399,0.2468,0.1062,allfair
0.3929,0.0068,0.6916,sol
0.6328,0.1854,0.7424,ebminisat
0.8552,0.0269,0.7346,glueminisat
0.6162,0.2033,0.4139,sapperlot
0.5146,0.1867,0.5068,picosat
0.1844,0.1144,0.6829,glucose2
0.6057,0.175,0.6509,clasp2
0.9264,0.0121,1,ebglucose
0.0616,0.1745,0.0144,qutersat
0.499,0.1503,0.6199,lrglshr
0.7681,0.0176,0.8347,glucose2
0.0806,0.171,0.0044,lingeling
0.4054,0.025,0.9814,minisatpsm
0.3931,0.0065,0.6915,mphaseSATm
0.1155,0.1804,0.1568,allfair
0.3937,0.006,0.6917,cryptominisat2011
0.3067,0.2027,0.4203,clasp2
0.3922,0.0075,0.692,ebglucose
0.8928,0.0187,1,ebglucose
0.6135,0.1761,0.6654,lingeling
0.3922,0.1,0.7195,restartsat
0.3377,0.25,0.106,allfair
0.6199,0.0475,0.9963,lrglshr
0.9087,0.0476,0.9918,lrglshr
0.3989,0.2101,0.5328,glueminisat
0.0722,0.1699,0.0107,cryptominisat2011
0.1786,0.1815,0.293,ebglucose
0.0097,0.013,0.1973,picosat
0.5165,0.1453,0.772,glucose2
0.666,0.2411,0.851,precosat
0.5707,0.1696,0.7465,cryptominisat2011
0.1439,0.2025,0.115,picosat
0.0147,0.0062,0.4507,allfair
0.9796,0.1112,0.9994,ebglucose
0.0266,0.0111,0.5234,allfair
0.2331,0.1991,0.3083,picosat
0.5394,0.2054,0.9491,mxc09
0.5664,0.1587,0.6216,allfair
0.381,0.0422,0.667,ebminisat
0.6329,0.1856,0.7454,glucose2
0.1267,0.1291,0.6433,glucose2
0.6569,0.2405,0.8519,mphaseSATm
0.1225,0.1334,0.6239,glueminisat
0.3121,0.1818,0.3926,minisatpsm
